model,strategy,difficulty,n,claim_correct,claim_correct_ci_low,claim_correct_ci_high,clean_supporting_evidence,clean_supporting_evidence_ci_low,clean_supporting_evidence_ci_high,has_required_supporting_evidence,has_required_supporting_evidence_ci_low,has_required_supporting_evidence_ci_high,generated_lore_abstention_ok,generated_lore_abstention_ok_ci_low,generated_lore_abstention_ok_ci_high,full_escape,full_escape_ci_low,full_escape_ci_high
openai/gpt-4o-mini,careful_bm25,L0,24,1.0,1.0,1.0,1.0,1.0,1.0,0.375,0.16666666666666666,0.5833333333333334,1.0,1.0,1.0,0.375,0.16666666666666666,0.5833333333333334
openai/gpt-4o-mini,careful_bm25,L1,24,1.0,1.0,1.0,1.0,1.0,1.0,0.4166666666666667,0.25,0.625,1.0,1.0,1.0,0.4166666666666667,0.25,0.625
openai/gpt-4o-mini,careful_bm25,L2,24,1.0,1.0,1.0,1.0,1.0,1.0,0.375,0.16666666666666666,0.5833333333333334,1.0,1.0,1.0,0.375,0.16666666666666666,0.5833333333333334
openai/gpt-4o-mini,careful_bm25,L3,24,1.0,1.0,1.0,1.0,1.0,1.0,0.7083333333333334,0.5416666666666666,0.875,1.0,1.0,1.0,0.7083333333333334,0.5416666666666666,0.875
openai/gpt-4o-mini,careful_bm25,L4,24,0.0,0.0,0.0,0.7916666666666666,0.625,0.9166666666666666,0.20833333333333334,0.08333333333333333,0.375,1.0,1.0,1.0,0.0,0.0,0.0
openai/gpt-4o-mini,careful_bm25,L5,24,1.0,1.0,1.0,0.875,0.7083333333333334,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.875,0.7083333333333334,1.0
openai/gpt-4o-mini,hygienic_combo,L0,24,1.0,1.0,1.0,1.0,1.0,1.0,0.6666666666666666,0.5,0.8333333333333334,1.0,1.0,1.0,0.6666666666666666,0.5,0.8333333333333334
openai/gpt-4o-mini,hygienic_combo,L1,24,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
openai/gpt-4o-mini,hygienic_combo,L2,24,1.0,1.0,1.0,1.0,1.0,1.0,0.8333333333333334,0.6666666666666666,0.9583333333333334,1.0,1.0,1.0,0.8333333333333334,0.6666666666666666,0.9583333333333334
openai/gpt-4o-mini,hygienic_combo,L3,24,1.0,1.0,1.0,1.0,1.0,1.0,0.9166666666666666,0.7916666666666666,1.0,1.0,1.0,1.0,0.9166666666666666,0.7916666666666666,1.0
openai/gpt-4o-mini,hygienic_combo,L4,24,1.0,1.0,1.0,1.0,1.0,1.0,0.9166666666666666,0.7916666666666666,1.0,1.0,1.0,1.0,0.9166666666666666,0.7916666666666666,1.0
openai/gpt-4o-mini,hygienic_combo,L5,24,0.9583333333333334,0.875,1.0,0.8333333333333334,0.6666666666666666,0.9583333333333334,0.9583333333333334,0.875,1.0,0.9583333333333334,0.875,1.0,0.7916666666666666,0.625,0.9583333333333334
openai/gpt-4o-mini,naive_bm25,L0,24,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
openai/gpt-4o-mini,naive_bm25,L1,24,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
openai/gpt-4o-mini,naive_bm25,L2,24,1.0,1.0,1.0,0.9166666666666666,0.7916666666666666,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9166666666666666,0.7916666666666666,1.0
openai/gpt-4o-mini,naive_bm25,L3,24,0.9583333333333334,0.875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9583333333333334,0.875,1.0
openai/gpt-4o-mini,naive_bm25,L4,24,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
openai/gpt-4o-mini,naive_bm25,L5,24,0.375,0.20833333333333334,0.5416666666666666,0.0,0.0,0.0,1.0,1.0,1.0,0.375,0.20833333333333334,0.5416666666666666,0.0,0.0,0.0
openai/gpt-4o-mini,primary_preserve,L0,24,1.0,1.0,1.0,1.0,1.0,1.0,0.7916666666666666,0.625,0.9166666666666666,1.0,1.0,1.0,0.7916666666666666,0.625,0.9166666666666666
openai/gpt-4o-mini,primary_preserve,L1,24,1.0,1.0,1.0,1.0,1.0,1.0,0.9583333333333334,0.8333333333333334,1.0,1.0,1.0,1.0,0.9583333333333334,0.8333333333333334,1.0
openai/gpt-4o-mini,primary_preserve,L2,24,1.0,1.0,1.0,1.0,1.0,1.0,0.8333333333333334,0.6666666666666666,0.9583333333333334,1.0,1.0,1.0,0.8333333333333334,0.6666666666666666,0.9583333333333334
openai/gpt-4o-mini,primary_preserve,L3,24,1.0,1.0,1.0,1.0,1.0,1.0,0.875,0.75,1.0,1.0,1.0,1.0,0.875,0.75,1.0
openai/gpt-4o-mini,primary_preserve,L4,24,1.0,1.0,1.0,1.0,1.0,1.0,0.9583333333333334,0.875,1.0,1.0,1.0,1.0,0.9583333333333334,0.875,1.0
openai/gpt-4o-mini,primary_preserve,L5,24,1.0,1.0,1.0,0.875,0.75,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.875,0.75,1.0
openai/gpt-5-mini,careful_bm25,L0,24,0.9583333333333334,0.875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9583333333333334,0.875,1.0
openai/gpt-5-mini,careful_bm25,L1,24,1.0,1.0,1.0,1.0,1.0,1.0,0.9583333333333334,0.8333333333333334,1.0,1.0,1.0,1.0,0.9583333333333334,0.8333333333333334,1.0
openai/gpt-5-mini,careful_bm25,L2,24,0.9583333333333334,0.8333333333333334,1.0,0.4583333333333333,0.25,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,1.0,0.4166666666666667,0.20833333333333334,0.625
openai/gpt-5-mini,careful_bm25,L3,24,1.0,1.0,1.0,1.0,1.0,1.0,0.9583333333333334,0.875,1.0,1.0,1.0,1.0,0.9583333333333334,0.875,1.0
openai/gpt-5-mini,careful_bm25,L4,24,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
openai/gpt-5-mini,careful_bm25,L5,24,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
openai/gpt-5-mini,hygienic_combo,L0,24,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
openai/gpt-5-mini,hygienic_combo,L1,24,1.0,1.0,1.0,1.0,1.0,1.0,0.9583333333333334,0.875,1.0,1.0,1.0,1.0,0.9583333333333334,0.875,1.0
openai/gpt-5-mini,hygienic_combo,L2,24,1.0,1.0,1.0,0.5833333333333334,0.4166666666666667,0.7916666666666666,1.0,1.0,1.0,1.0,1.0,1.0,0.5833333333333334,0.4166666666666667,0.7916666666666666
