task_id,module,dataset,episode_type,model,strategy,prompt,confidence,gold_critical_risks,predicted_critical_risks,supporting_evidence
eha2r_020,C,EHA-v2R-stress-pilot,false_consensus_stress,heuristic-sim,evidence_diagnostics_v1,evidence_diagnostics_v1,0.72,"conflicting_evidence,false_consensus",false_consensus,"eha2r_020_pollutant_root,eha2r_020_repost_00,eha2r_020_repost_01"
eha2r_021,C,EHA-v2R-stress-pilot,false_consensus_stress,heuristic-sim,evidence_diagnostics_v1,evidence_diagnostics_v1,0.72,"conflicting_evidence,false_consensus",false_consensus,"eha2r_021_pollutant_root,eha2r_021_repost_00,eha2r_021_repost_01"
eha2r_022,C,EHA-v2R-stress-pilot,false_consensus_stress,heuristic-sim,evidence_diagnostics_v1,evidence_diagnostics_v1,0.72,"conflicting_evidence,false_consensus",false_consensus,"eha2r_022_pollutant_root,eha2r_022_repost_00,eha2r_022_repost_01"
eha2r_023,C,EHA-v2R-stress-pilot,false_consensus_stress,heuristic-sim,evidence_diagnostics_v1,evidence_diagnostics_v1,0.72,"conflicting_evidence,false_consensus",false_consensus,"eha2r_023_pollutant_root,eha2r_023_repost_00,eha2r_023_repost_02"
eha2r_028,C,EHA-v2R-stress-pilot,false_consensus_stress,heuristic-sim,evidence_diagnostics_v1,evidence_diagnostics_v1,0.72,"conflicting_evidence,false_consensus",false_consensus,"eha2r_028_pollutant_root,eha2r_028_repost_00,eha2r_028_repost_02"
eha2r_029,C,EHA-v2R-stress-pilot,false_consensus_stress,heuristic-sim,evidence_diagnostics_v1,evidence_diagnostics_v1,0.72,"conflicting_evidence,false_consensus",false_consensus,"eha2r_029_pollutant_root,eha2r_029_repost_01,eha2r_029_repost_02"
eha2r_030,C,EHA-v2R-stress-pilot,false_consensus_stress,heuristic-sim,evidence_diagnostics_v1,evidence_diagnostics_v1,0.72,"conflicting_evidence,false_consensus",false_consensus,"eha2r_030_pollutant_root,eha2r_030_repost_00,eha2r_030_repost_01"
eha2r_031,C,EHA-v2R-stress-pilot,false_consensus_stress,heuristic-sim,evidence_diagnostics_v1,evidence_diagnostics_v1,0.72,"conflicting_evidence,false_consensus",false_consensus,"eha2r_031_pollutant_root,eha2r_031_repost_00,eha2r_031_repost_01"
eha2r_036,C,EHA-v2R-stress-pilot,false_consensus_stress,heuristic-sim,evidence_diagnostics_v1,evidence_diagnostics_v1,0.72,"conflicting_evidence,false_consensus",false_consensus,"eha2r_036_pollutant_root,eha2r_036_repost_00,eha2r_036_repost_01"
eha2r_037,C,EHA-v2R-stress-pilot,false_consensus_stress,heuristic-sim,evidence_diagnostics_v1,evidence_diagnostics_v1,0.72,"conflicting_evidence,false_consensus",false_consensus,"eha2r_037_pollutant_root,eha2r_037_repost_00,eha2r_037_repost_01"
eha2r_038,C,EHA-v2R-stress-pilot,false_consensus_stress,heuristic-sim,evidence_diagnostics_v1,evidence_diagnostics_v1,0.72,"conflicting_evidence,false_consensus",false_consensus,"eha2r_038_pollutant_root,eha2r_038_repost_00,eha2r_038_repost_02"
eha2r_039,C,EHA-v2R-stress-pilot,false_consensus_stress,heuristic-sim,evidence_diagnostics_v1,evidence_diagnostics_v1,0.72,"conflicting_evidence,false_consensus",false_consensus,"eha2r_039_pollutant_root,eha2r_039_repost_01,eha2r_039_repost_02"
