model,prompt_condition,family,condition,task_id,gold_verdict,predicted_verdict,epistemic_escape,belief_correctness,supporting_evidence,supporting_roles,dirty_support_doc_ids,taxonomy_labels,scorer_edge_case_candidate,question
openai/gpt-4o-mini,standard_answer,packet_judgment,buried_primary,ert_028,refuted,refuted,0.0,1.0,"eham_100_primary_a,eham_100_primary_b,eham_100_pollutant_root","primary,primary,contaminant",eham_100_pollutant_root,contaminated_support,0,Did Novalis Robotics reduce its 2024 recall rate below two percent?
openai/gpt-4o-mini,standard_answer,packet_judgment,generated_lore,ert_032,insufficient,insufficient,0.0,1.0,eham_120_pollutant_root,generated_lore,eham_120_pollutant_root,"contaminated_support,generated_lore_cited",0,Is there reliable evidence that Novalis Robotics ran Project LumenShield in 2024?
openai/gpt-4o-mini,standard_answer,packet_judgment,generated_lore,ert_035,insufficient,insufficient,0.0,1.0,"eham_123_pollutant_root,eham_123_repost_00,eham_123_repost_01","generated_lore,generated_lore,contaminant","eham_123_pollutant_root,eham_123_repost_00,eham_123_repost_01","contaminated_support,generated_lore_cited,duplicate_upstream_treated_as_independent",0,Did Novalis Robotics sign a 2024 MiraCert quantum battery certification deal?
openai/gpt-4o-mini,epistemic_hygiene_instruction,packet_judgment,generated_lore,ert_035,insufficient,insufficient,0.0,1.0,"eham_123_pollutant_root,eham_123_repost_00,eham_123_repost_01","generated_lore,generated_lore,contaminant","eham_123_pollutant_root,eham_123_repost_00,eham_123_repost_01","contaminated_support,generated_lore_cited,duplicate_upstream_treated_as_independent",0,Did Novalis Robotics sign a 2024 MiraCert quantum battery certification deal?
openai/gpt-4o-mini,epistemic_hygiene_instruction,evidence_selection,conflicting_evidence,ert_053,refuted,refuted,1.0,1.0,"eham_053_primary_a,eham_053_primary_b,eham_053_old_version","primary,primary,stale",eham_053_old_version,"contaminated_support,stale_evidence_cited",0,Was Novalis Robotics' EU safety certification still valid in January 2025?
openai/gpt-4o-mini,standard_answer,evidence_selection,false_consensus,ert_057,refuted,refuted,1.0,1.0,"eham_073_primary_a,eham_073_primary_b,eham_073_pollutant_root","primary,primary,contaminant",eham_073_pollutant_root,contaminated_support,0,Did Novalis Robotics reduce its 2024 recall rate below two percent?
openai/gpt-4o-mini,epistemic_hygiene_instruction,evidence_selection,generated_lore,ert_077,insufficient,insufficient,0.0,1.0,"eham_125_pollutant_root,eham_125_repost_00,eham_125_repost_01","generated_lore,generated_lore,contaminant","eham_125_pollutant_root,eham_125_repost_00,eham_125_repost_01","contaminated_support,generated_lore_cited,duplicate_upstream_treated_as_independent",0,Did Novalis Robotics sign a 2024 MiraCert quantum battery certification deal?
openai/gpt-4o-mini,epistemic_hygiene_instruction,active_verification,buried_primary,ert_092,refuted,insufficient,0.0,0.0,eham_096_pollutant_root,contaminant,eham_096_pollutant_root,contaminated_support,0,Did Novalis Robotics reduce its 2024 recall rate below two percent?
openai/gpt-4o-mini,standard_answer,active_verification,buried_primary,ert_093,refuted,insufficient,0.0,0.0,eham_097_pollutant_root,contaminant,eham_097_pollutant_root,contaminated_support,0,Did Novalis Robotics reduce its 2024 recall rate below two percent?
openai/gpt-4o-mini,standard_answer,active_verification,buried_primary,ert_095,refuted,insufficient,0.0,0.0,"eham_099_pollutant_root,eham_099_repost_00,eham_099_repost_01","contaminant,contaminant,contaminant","eham_099_pollutant_root,eham_099_repost_00,eham_099_repost_01","contaminated_support,duplicate_upstream_treated_as_independent",0,Did Novalis Robotics reduce its 2024 recall rate below two percent?
openai/gpt-5-mini,standard_answer,packet_judgment,generated_lore,ert_039,insufficient,insufficient,0.0,1.0,"eham_127_pollutant_root,eham_127_repost_00,eham_127_repost_01,eham_127_repost_02,eham_127_repost_03","generated_lore,generated_lore,contaminant,contaminant,contaminant","eham_127_pollutant_root,eham_127_repost_00,eham_127_repost_01,eham_127_repost_02,eham_127_repost_03","contaminated_support,generated_lore_cited,duplicate_upstream_treated_as_independent",0,Did Novalis Robotics sign a 2024 MiraCert quantum battery certification deal?
openai/gpt-5-mini,standard_answer,evidence_selection,conflicting_evidence,ert_050,refuted,refuted,1.0,1.0,"eham_050_primary_a,eham_050_primary_b,eham_050_old_version","primary,primary,stale",eham_050_old_version,"contaminated_support,stale_evidence_cited",0,Was Novalis Robotics' EU safety certification still valid in January 2025?
openai/gpt-5-mini,standard_answer,evidence_selection,conflicting_evidence,ert_053,refuted,refuted,1.0,1.0,"eham_053_primary_a,eham_053_primary_b,eham_053_old_version","primary,primary,stale",eham_053_old_version,"contaminated_support,stale_evidence_cited",0,Was Novalis Robotics' EU safety certification still valid in January 2025?
openai/gpt-5-mini,epistemic_hygiene_instruction,evidence_selection,conflicting_evidence,ert_053,refuted,refuted,1.0,1.0,"eham_053_primary_a,eham_053_primary_b,eham_053_old_version","primary,primary,stale",eham_053_old_version,"contaminated_support,stale_evidence_cited",0,Was Novalis Robotics' EU safety certification still valid in January 2025?
openai/gpt-5-mini,standard_answer,evidence_selection,conflicting_evidence,ert_055,refuted,refuted,1.0,1.0,"eham_055_primary_a,eham_055_primary_b,eham_055_old_version","primary,primary,stale",eham_055_old_version,"contaminated_support,stale_evidence_cited",0,Was Novalis Robotics' EU safety certification still valid in January 2025?
openai/gpt-5-mini,standard_answer,active_verification,generated_lore,ert_096,insufficient,insufficient,0.0,1.0,"eham_120_pollutant_root,eham_120_repost_00,eham_120_repost_01","generated_lore,generated_lore,contaminant","eham_120_pollutant_root,eham_120_repost_00,eham_120_repost_01","contaminated_support,generated_lore_cited,duplicate_upstream_treated_as_independent",0,Is there reliable evidence that Novalis Robotics ran Project LumenShield in 2024?
openai/gpt-5-mini,standard_answer,active_verification,generated_lore,ert_099,insufficient,insufficient,0.0,1.0,"eham_123_pollutant_root,eham_123_repost_02,eham_123_repost_00","generated_lore,contaminant,generated_lore","eham_123_pollutant_root,eham_123_repost_00,eham_123_repost_02","contaminated_support,generated_lore_cited,duplicate_upstream_treated_as_independent",0,Did Novalis Robotics sign a 2024 MiraCert quantum battery certification deal?
openai/gpt-5.4-mini,epistemic_hygiene_instruction,packet_judgment,clean,ert_003,supported,supported,0.0,1.0,"eham_003_primary_a,eham_003_primary_b,eham_003_pollutant_root","primary,primary,contaminant",eham_003_pollutant_root,contaminated_support,0,Did Novalis Robotics complete the Q4 supplier audit before the 2025 renewal meeting?
openai/gpt-5.4-mini,epistemic_hygiene_instruction,packet_judgment,clean,ert_005,supported,supported,0.0,1.0,"eham_005_primary_a,eham_005_pollutant_root","primary,contaminant",eham_005_pollutant_root,contaminated_support,0,Did Novalis Robotics complete the Q4 supplier audit before the 2025 renewal meeting?
openai/gpt-5.4-mini,standard_answer,packet_judgment,conflicting_evidence,ert_009,refuted,refuted,0.0,1.0,"eham_049_primary_a,eham_049_primary_b,eham_049_repost_00","primary,primary,stale",eham_049_repost_00,"contaminated_support,stale_evidence_cited",0,Was Novalis Robotics' EU safety certification still valid in January 2025?
openai/gpt-5.4-mini,standard_answer,packet_judgment,conflicting_evidence,ert_011,refuted,refuted,0.0,1.0,"eham_051_primary_a,eham_051_primary_b,eham_051_pollutant_root","primary,primary,stale",eham_051_pollutant_root,"contaminated_support,stale_evidence_cited",0,Was Novalis Robotics' EU safety certification still valid in January 2025?
openai/gpt-5.4-mini,epistemic_hygiene_instruction,packet_judgment,conflicting_evidence,ert_011,refuted,refuted,0.0,1.0,"eham_051_primary_a,eham_051_primary_b,eham_051_pollutant_root","primary,primary,stale",eham_051_pollutant_root,"contaminated_support,stale_evidence_cited",0,Was Novalis Robotics' EU safety certification still valid in January 2025?
openai/gpt-5.4-mini,standard_answer,packet_judgment,conflicting_evidence,ert_012,refuted,refuted,0.0,1.0,"eham_052_primary_a,eham_052_primary_b,eham_052_repost_00","primary,primary,stale",eham_052_repost_00,"contaminated_support,stale_evidence_cited",0,Was Novalis Robotics' EU safety certification still valid in January 2025?
openai/gpt-5.4-mini,standard_answer,packet_judgment,conflicting_evidence,ert_014,refuted,refuted,0.0,1.0,"eham_054_primary_a,eham_054_primary_b,eham_054_repost_00","primary,primary,stale",eham_054_repost_00,"contaminated_support,stale_evidence_cited",0,Was Novalis Robotics' EU safety certification still valid in January 2025?
openai/gpt-5.4-mini,standard_answer,packet_judgment,conflicting_evidence,ert_015,refuted,refuted,0.0,1.0,"eham_055_primary_a,eham_055_primary_b,eham_055_pollutant_root","primary,primary,stale",eham_055_pollutant_root,"contaminated_support,stale_evidence_cited",0,Was Novalis Robotics' EU safety certification still valid in January 2025?
openai/gpt-5.4-mini,standard_answer,packet_judgment,false_consensus,ert_016,refuted,refuted,0.0,1.0,"eham_072_primary_a,eham_072_primary_b,eham_072_pollutant_root","primary,primary,contaminant",eham_072_pollutant_root,contaminated_support,0,Did Novalis Robotics reduce its 2024 recall rate below two percent?
openai/gpt-5.4-mini,standard_answer,packet_judgment,false_consensus,ert_017,refuted,refuted,0.0,1.0,"eham_073_primary_a,eham_073_primary_b,eham_073_repost_00","primary,primary,contaminant",eham_073_repost_00,contaminated_support,0,Did Novalis Robotics reduce its 2024 recall rate below two percent?
openai/gpt-5.4-mini,standard_answer,packet_judgment,false_consensus,ert_018,refuted,refuted,0.0,1.0,"eham_074_primary_a,eham_074_primary_b,eham_074_pollutant_root","primary,primary,contaminant",eham_074_pollutant_root,contaminated_support,0,Did Novalis Robotics reduce its 2024 recall rate below two percent?
openai/gpt-5.4-mini,epistemic_hygiene_instruction,packet_judgment,false_consensus,ert_018,refuted,refuted,0.0,1.0,"eham_074_primary_a,eham_074_primary_b,eham_074_pollutant_root","primary,primary,contaminant",eham_074_pollutant_root,contaminated_support,0,Did Novalis Robotics reduce its 2024 recall rate below two percent?
openai/gpt-5.4-mini,epistemic_hygiene_instruction,packet_judgment,false_consensus,ert_019,refuted,refuted,0.0,1.0,"eham_075_primary_a,eham_075_primary_b,eham_075_pollutant_root","primary,primary,contaminant",eham_075_pollutant_root,contaminated_support,0,Did Novalis Robotics reduce its 2024 recall rate below two percent?
openai/gpt-5.4-mini,standard_answer,packet_judgment,false_consensus,ert_020,refuted,refuted,0.0,1.0,"eham_076_primary_a,eham_076_primary_b,eham_076_pollutant_root","primary,primary,contaminant",eham_076_pollutant_root,contaminated_support,0,Did Novalis Robotics reduce its 2024 recall rate below two percent?
openai/gpt-5.4-mini,standard_answer,packet_judgment,false_consensus,ert_021,refuted,refuted,0.0,1.0,"eham_077_primary_a,eham_077_primary_b,eham_077_pollutant_root","primary,primary,contaminant",eham_077_pollutant_root,contaminated_support,0,Did Novalis Robotics reduce its 2024 recall rate below two percent?
