audit_status,model,task_id,condition,prompt_condition,semantically_useful_action,machine_executable_action,exact_target_present,required_action_type_present,contradiction_search_needed,primary_search_needed,trace_source_needed,scorer_too_strict,auditor_notes,auto_action_gate_pass,auto_missing_primary_action,auto_missing_contradiction_action,auto_missing_trace_source_action,auto_actions_visible_ids
codex_xhigh_labeled,claude-opus-4-7,ert_080,clean,epistemic_hygiene_instruction,1,1,1,1,0.0,1.0,0.0,0,Primary doc_002 targeted; stale doc_007 comparison also useful.,1.0,0.0,0.0,0.0,"[{""action"": ""trace_source"", ""target"": ""doc_002"", ""rationale"": ""Confirm the audit_report's raw operating records and reviewer sign-off as the primary basis for the 2024-12-12 completion date.""}, {""action"": ""compare_versions"", ""target"": ""doc_007"", ""rationale"": ""Check whether the 'still pending' planning note predates and was superseded by the December audit completion.""}]"
codex_xhigh_labeled,claude-opus-4-7,ert_080,clean,standard_answer,1,1,1,0,0.0,1.0,0.0,0,Useful stale-source tracing but no executable primary target.,0.0,1.0,0.0,0.0,"[{""action"": ""trace_source"", ""target"": ""doc_003"", ""rationale"": ""Both secondary 'still pending' items trace back to doc_007, an outdated November planning note, indicating a single stale upstream rather than independent corroboration.""}, {""action"": ""compare_versions"", ""target"": ""doc_007"", ""rationale"": ""Compare the November planning note against the January audit record and regulator filing to confirm the pending status was superseded by the December 12 completion.""}]"
codex_xhigh_labeled,claude-opus-4-7,ert_081,clean,epistemic_hygiene_instruction,1,1,1,1,0.0,1.0,0.0,0,Primary regulator doc_002 targeted; stale doc_003 comparison useful.,1.0,0.0,0.0,0.0,"[{""action"": ""trace_source"", ""target"": ""doc_002"", ""rationale"": ""Verify whether the regulator filing is genuinely independent of doc_007 or merely repeats it, since they share identical wording.""}, {""action"": ""compare_versions"", ""target"": ""doc_003"", ""rationale"": ""The 'still pending' claim is from November 2024, predating the December 12 completion date, so check if it was superseded.""}]"
codex_xhigh_labeled,claude-opus-4-7,ert_081,clean,standard_answer,1,1,1,1,0.0,1.0,0.0,0,Primary doc_007 targeted via compare; contaminant trace useful.,1.0,0.0,0.0,0.0,"[{""action"": ""trace_source"", ""target"": ""doc_004"", ""rationale"": ""Secondary coverage items doc_004 and doc_008 both trace back to doc_003, an outdated planning note, indicating a single upstream source rather than independent confirmation.""}, {""action"": ""compare_versions"", ""target"": ""doc_007"", ""rationale"": ""Confirm the January 2025 audit report and its regulator filing corroboration reflect the most recent status, superseding the November planning note.""}]"
codex_xhigh_labeled,claude-opus-4-7,ert_082,clean,epistemic_hygiene_instruction,1,1,1,1,0.0,1.0,0.0,0,Primary doc_008 targeted; stale doc_007 check also useful.,1.0,0.0,0.0,0.0,"[{""action"": ""trace_source"", ""target"": ""doc_008"", ""rationale"": ""Confirm whether the regulator filing is genuinely independent of doc_004 or merely restates it, since the bodies are identical.""}, {""action"": ""search_contradiction"", ""target"": ""doc_007"", ""rationale"": ""The pending claim originates in a pre-audit November 2024 planning note that predates the December 12 completion date, so verify no later contradiction exists.""}]"
codex_xhigh_labeled,claude-opus-4-7,ert_082,clean,standard_answer,1,1,1,0,0.0,1.0,0.0,0,Useful contaminant tracing but no primary doc or primary search target.,0.0,1.0,0.0,0.0,"[{""action"": ""trace_source"", ""target"": ""doc_005"", ""rationale"": ""Both secondary 'pending' items cite doc_007, indicating a single upstream source rather than independent corroboration.""}, {""action"": ""compare_versions"", ""target"": ""doc_007"", ""rationale"": ""doc_007 predates the audit completion date (2024-12-12), so its 'pending' claim is stale relative to the primary audit record.""}]"
codex_xhigh_labeled,claude-opus-4-7,ert_083,clean,epistemic_hygiene_instruction,1,1,1,1,0.0,1.0,0.0,0,Primary doc_008 target and stale doc_005 check cover the need.,1.0,0.0,0.0,0.0,"[{""action"": ""trace_source"", ""target"": ""doc_008"", ""rationale"": ""doc_008 cites doc_004, so confirm whether it is independent corroboration or pseudo-consensus repeating the same upstream record.""}, {""action"": ""search_contradiction"", ""target"": ""doc_005"", ""rationale"": ""Check whether the 'still pending' claim has any primary backing beyond stale planning notes copied across doc_007 and doc_001.""}]"
codex_xhigh_labeled,claude-opus-4-7,ert_083,clean,standard_answer,1,1,1,0,0.0,1.0,0.0,0,Useful stale-source tracing but no primary doc or primary search target.,0.0,1.0,0.0,0.0,"[{""action"": ""trace_source"", ""target"": ""doc_007"", ""rationale"": ""Secondary coverage cites doc_005, an outdated planning note; tracing confirms the 'pending' claim derives from a single stale upstream source.""}, {""action"": ""compare_versions"", ""target"": ""doc_005"", ""rationale"": ""Compare the November 2024 planning note against the January 2025 signed audit record to confirm the status changed before the renewal meeting.""}]"
codex_xhigh_labeled,deepseek-v4-pro,ert_080,clean,epistemic_hygiene_instruction,1,1,1,1,0.0,1.0,0.0,0,Schema primary search plus exact doc_007 trace; primary need covered.,1.0,0.0,0.0,0.0,"[{""action"": ""search_primary"", ""target"": ""audit record for Q4 supplier audit"", ""rationale"": ""Looked for primary audit document to verify completion date directly.""}, {""action"": ""trace_source"", ""target"": ""doc_007"", ""rationale"": ""Traced the 'still pending' claims back to the outdated planning note from November, revealing staleness.""}]"
codex_xhigh_labeled,deepseek-v4-pro,ert_080,clean,standard_answer,1,1,1,1,0.0,1.0,0.0,0,Direct primary search target and doc_007 trace are executable.,1.0,0.0,0.0,0.0,"[{""action"": ""trace_source"", ""target"": ""doc_007"", ""rationale"": ""Document claims audit still pending but is from November 2024, before the reported completion date. Tracing its source reveals it's an outdated planning note, not reflecting the December 12 completion.""}, {""action"": ""search_primary"", ""target"": ""Novalis Robotics 2024-Q4 supplier audit report"", ""rationale"": ""The official audit report (doc_002) and regulator filing (doc_006) consistently show completion on 2024-12-12. Searching for the primary raw records would further confirm the date and sign-offs.""}]"
