baseline,view,task_id,family,condition,gold_verdict,predicted_verdict,verdict_accuracy,evidence_precision,clean_support_recall,polluted_support_rate,role_reconstruction_accuracy,action_target_score,operational_epistemic_escape,supporting_evidence,selected_doc_ids
id_only,neutral_metadata_visible,uncued_000,packet_judgment,clean,supported,supported,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,uncued_000_d01
document_order_only,neutral_metadata_visible,uncued_000,packet_judgment,clean,supported,supported,1.0,0.0,0.0,0.0,0.0,0.0,0.0,uncued_000_d01,uncued_000_d01
title_only,neutral_metadata_visible,uncued_000,packet_judgment,clean,supported,insufficient,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,uncued_000_d01
source_type_only,neutral_metadata_visible,uncued_000,packet_judgment,clean,supported,supported,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,uncued_000_d01
metadata_only,neutral_metadata_visible,uncued_000,packet_judgment,clean,supported,supported,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,uncued_000_d04
timestamp_only,neutral_metadata_visible,uncued_000,packet_judgment,clean,supported,supported,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,uncued_000_d01
citation_graph_only,neutral_metadata_visible,uncued_000,packet_judgment,clean,supported,insufficient,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,"uncued_000_d01,uncued_000_d04"
claim_overlap_only,neutral_metadata_visible,uncued_000,packet_judgment,clean,supported,insufficient,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,"uncued_000_d02,uncued_000_d04"
cue_phrase_only,neutral_metadata_visible,uncued_000,packet_judgment,clean,supported,supported,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,
random_valid_schema,neutral_metadata_visible,uncued_000,packet_judgment,clean,supported,supported,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,uncued_000_d01
always_insufficient,neutral_metadata_visible,uncued_000,packet_judgment,clean,supported,insufficient,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
simple_heuristic,neutral_metadata_visible,uncued_000,packet_judgment,clean,supported,supported,1.0,1.0,1.0,0.0,0.0,0.0,1.0,uncued_000_d02,"uncued_000_d02,uncued_000_d04,uncued_000_d03"
id_only,neutral_metadata_visible,uncued_001,packet_judgment,clean,refuted,supported,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,uncued_001_d01
document_order_only,neutral_metadata_visible,uncued_001,packet_judgment,clean,refuted,supported,0.0,0.0,0.0,0.0,0.0,0.0,0.0,uncued_001_d04,uncued_001_d04
title_only,neutral_metadata_visible,uncued_001,packet_judgment,clean,refuted,insufficient,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,uncued_001_d04
source_type_only,neutral_metadata_visible,uncued_001,packet_judgment,clean,refuted,supported,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,uncued_001_d04
metadata_only,neutral_metadata_visible,uncued_001,packet_judgment,clean,refuted,supported,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,uncued_001_d04
timestamp_only,neutral_metadata_visible,uncued_001,packet_judgment,clean,refuted,supported,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,uncued_001_d02
citation_graph_only,neutral_metadata_visible,uncued_001,packet_judgment,clean,refuted,insufficient,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,"uncued_001_d04,uncued_001_d02"
claim_overlap_only,neutral_metadata_visible,uncued_001,packet_judgment,clean,refuted,insufficient,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,"uncued_001_d01,uncued_001_d04"
cue_phrase_only,neutral_metadata_visible,uncued_001,packet_judgment,clean,refuted,supported,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
random_valid_schema,neutral_metadata_visible,uncued_001,packet_judgment,clean,refuted,refuted,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,uncued_001_d03
always_insufficient,neutral_metadata_visible,uncued_001,packet_judgment,clean,refuted,insufficient,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
simple_heuristic,neutral_metadata_visible,uncued_001,packet_judgment,clean,refuted,supported,0.0,1.0,1.0,0.0,0.0,0.0,0.0,uncued_001_d01,"uncued_001_d01,uncued_001_d04,uncued_001_d03"
id_only,neutral_metadata_visible,uncued_002,packet_judgment,conflicting_evidence,refuted,supported,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,uncued_002_d01
document_order_only,neutral_metadata_visible,uncued_002,packet_judgment,conflicting_evidence,refuted,supported,0.0,0.0,0.0,0.0,0.0,0.0,0.0,uncued_002_d03,uncued_002_d03
title_only,neutral_metadata_visible,uncued_002,packet_judgment,conflicting_evidence,refuted,insufficient,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,uncued_002_d03
source_type_only,neutral_metadata_visible,uncued_002,packet_judgment,conflicting_evidence,refuted,supported,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,uncued_002_d03
metadata_only,neutral_metadata_visible,uncued_002,packet_judgment,conflicting_evidence,refuted,supported,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,uncued_002_d04
timestamp_only,neutral_metadata_visible,uncued_002,packet_judgment,conflicting_evidence,refuted,supported,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,uncued_002_d01
citation_graph_only,neutral_metadata_visible,uncued_002,packet_judgment,conflicting_evidence,refuted,insufficient,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,"uncued_002_d03,uncued_002_d02"
claim_overlap_only,neutral_metadata_visible,uncued_002,packet_judgment,conflicting_evidence,refuted,insufficient,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,"uncued_002_d04,uncued_002_d02"
cue_phrase_only,neutral_metadata_visible,uncued_002,packet_judgment,conflicting_evidence,refuted,supported,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
random_valid_schema,neutral_metadata_visible,uncued_002,packet_judgment,conflicting_evidence,refuted,insufficient,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,uncued_002_d03
always_insufficient,neutral_metadata_visible,uncued_002,packet_judgment,conflicting_evidence,refuted,insufficient,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
simple_heuristic,neutral_metadata_visible,uncued_002,packet_judgment,conflicting_evidence,refuted,supported,0.0,1.0,1.0,0.0,0.0,0.0,0.0,uncued_002_d04,"uncued_002_d04,uncued_002_d02,uncued_002_d03"
id_only,neutral_metadata_visible,uncued_003,packet_judgment,conflicting_evidence,refuted,supported,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,uncued_003_d01
document_order_only,neutral_metadata_visible,uncued_003,packet_judgment,conflicting_evidence,refuted,supported,0.0,1.0,1.0,0.0,0.0,0.0,0.0,uncued_003_d02,uncued_003_d02
title_only,neutral_metadata_visible,uncued_003,packet_judgment,conflicting_evidence,refuted,insufficient,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,uncued_003_d02
source_type_only,neutral_metadata_visible,uncued_003,packet_judgment,conflicting_evidence,refuted,supported,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,uncued_003_d02
metadata_only,neutral_metadata_visible,uncued_003,packet_judgment,conflicting_evidence,refuted,supported,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,uncued_003_d04
timestamp_only,neutral_metadata_visible,uncued_003,packet_judgment,conflicting_evidence,refuted,supported,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,uncued_003_d04
citation_graph_only,neutral_metadata_visible,uncued_003,packet_judgment,conflicting_evidence,refuted,insufficient,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,"uncued_003_d01,uncued_003_d02"
claim_overlap_only,neutral_metadata_visible,uncued_003,packet_judgment,conflicting_evidence,refuted,insufficient,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,"uncued_003_d02,uncued_003_d03"
cue_phrase_only,neutral_metadata_visible,uncued_003,packet_judgment,conflicting_evidence,refuted,supported,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
random_valid_schema,neutral_metadata_visible,uncued_003,packet_judgment,conflicting_evidence,refuted,insufficient,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,uncued_003_d02
always_insufficient,neutral_metadata_visible,uncued_003,packet_judgment,conflicting_evidence,refuted,insufficient,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
simple_heuristic,neutral_metadata_visible,uncued_003,packet_judgment,conflicting_evidence,refuted,supported,0.0,1.0,1.0,0.0,0.0,0.0,0.0,uncued_003_d02,"uncued_003_d02,uncued_003_d03,uncued_003_d01"
id_only,neutral_metadata_visible,uncued_004,evidence_selection,false_consensus,refuted,supported,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,uncued_004_d01
document_order_only,neutral_metadata_visible,uncued_004,evidence_selection,false_consensus,refuted,supported,0.0,1.0,1.0,0.0,0.0,0.0,0.0,uncued_004_d02,uncued_004_d02
title_only,neutral_metadata_visible,uncued_004,evidence_selection,false_consensus,refuted,insufficient,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,uncued_004_d02
source_type_only,neutral_metadata_visible,uncued_004,evidence_selection,false_consensus,refuted,supported,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,uncued_004_d02
metadata_only,neutral_metadata_visible,uncued_004,evidence_selection,false_consensus,refuted,supported,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,uncued_004_d04
timestamp_only,neutral_metadata_visible,uncued_004,evidence_selection,false_consensus,refuted,supported,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,uncued_004_d03
citation_graph_only,neutral_metadata_visible,uncued_004,evidence_selection,false_consensus,refuted,insufficient,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,"uncued_004_d01,uncued_004_d04"
claim_overlap_only,neutral_metadata_visible,uncued_004,evidence_selection,false_consensus,refuted,insufficient,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,"uncued_004_d02,uncued_004_d04"
cue_phrase_only,neutral_metadata_visible,uncued_004,evidence_selection,false_consensus,refuted,supported,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
random_valid_schema,neutral_metadata_visible,uncued_004,evidence_selection,false_consensus,refuted,refuted,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,uncued_004_d02
always_insufficient,neutral_metadata_visible,uncued_004,evidence_selection,false_consensus,refuted,insufficient,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
simple_heuristic,neutral_metadata_visible,uncued_004,evidence_selection,false_consensus,refuted,supported,0.0,1.0,1.0,0.0,0.0,0.0,0.0,uncued_004_d02,"uncued_004_d02,uncued_004_d04,uncued_004_d01"
id_only,neutral_metadata_visible,uncued_005,evidence_selection,false_consensus,refuted,supported,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,uncued_005_d01
document_order_only,neutral_metadata_visible,uncued_005,evidence_selection,false_consensus,refuted,supported,0.0,0.0,0.0,1.0,0.0,0.0,0.0,uncued_005_d01,uncued_005_d01
title_only,neutral_metadata_visible,uncued_005,evidence_selection,false_consensus,refuted,insufficient,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,uncued_005_d01
source_type_only,neutral_metadata_visible,uncued_005,evidence_selection,false_consensus,refuted,supported,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,uncued_005_d01
metadata_only,neutral_metadata_visible,uncued_005,evidence_selection,false_consensus,refuted,supported,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,uncued_005_d04
timestamp_only,neutral_metadata_visible,uncued_005,evidence_selection,false_consensus,refuted,supported,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,uncued_005_d03
citation_graph_only,neutral_metadata_visible,uncued_005,evidence_selection,false_consensus,refuted,insufficient,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,"uncued_005_d01,uncued_005_d04"
claim_overlap_only,neutral_metadata_visible,uncued_005,evidence_selection,false_consensus,refuted,insufficient,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,"uncued_005_d04,uncued_005_d02"
cue_phrase_only,neutral_metadata_visible,uncued_005,evidence_selection,false_consensus,refuted,supported,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
random_valid_schema,neutral_metadata_visible,uncued_005,evidence_selection,false_consensus,refuted,insufficient,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,uncued_005_d03
always_insufficient,neutral_metadata_visible,uncued_005,evidence_selection,false_consensus,refuted,insufficient,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
simple_heuristic,neutral_metadata_visible,uncued_005,evidence_selection,false_consensus,refuted,supported,0.0,0.0,0.0,1.0,0.0,0.0,0.0,uncued_005_d04,"uncued_005_d04,uncued_005_d02,uncued_005_d01"
id_only,neutral_metadata_visible,uncued_006,evidence_selection,buried_primary,supported,supported,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,uncued_006_d01
document_order_only,neutral_metadata_visible,uncued_006,evidence_selection,buried_primary,supported,supported,1.0,0.0,0.0,0.0,0.0,0.0,0.0,uncued_006_d04,uncued_006_d04
title_only,neutral_metadata_visible,uncued_006,evidence_selection,buried_primary,supported,insufficient,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,uncued_006_d04
