task_id,family,condition,difficulty,model,provider,budget_setting,prompt_condition,backend,parse_success,empty_output,schema_missing,attempt_count,visible_output_tokens,answer_word_count,evidence_assessment_word_count,max_action_rationale_word_count,supporting_evidence_count,rejected_evidence_count,overlength_rate,belief_correctness,evidence_cleanliness,uncertainty_discipline,primary_seeking_rate,duplicate_avoidance_rate,generated_lore_avoidance_rate,contradiction_seeking_rate,evidence_value_score,primary_action_rate,contradiction_action_rate,generated_lore_trace_rate,epistemic_escape,operational_epistemic_escape,conditional_epistemic_escape,confidence,cost_usd,gold_verdict,predicted_verdict,supporting_evidence,selected_doc_ids,actions,verification_action_score
ert_000,packet_judgment,clean,L0,heuristic_baseline,baseline,opaque_no_api,standard_answer,baseline,1.0,0.0,0.0,1,0,,,,,,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.62,0.0,supported,supported,"eham_000_primary_a,eham_000_primary_b",,[],
ert_000,packet_judgment,clean,L0,heuristic_baseline,baseline,opaque_no_api,epistemic_hygiene_instruction,baseline,1.0,0.0,0.0,1,0,,,,,,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.62,0.0,supported,supported,"eham_000_primary_a,eham_000_primary_b",,[],
ert_001,packet_judgment,clean,L0,heuristic_baseline,baseline,opaque_no_api,standard_answer,baseline,1.0,0.0,0.0,1,0,,,,,,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.62,0.0,supported,supported,"eham_001_primary_a,eham_001_primary_b",,[],
ert_001,packet_judgment,clean,L0,heuristic_baseline,baseline,opaque_no_api,epistemic_hygiene_instruction,baseline,1.0,0.0,0.0,1,0,,,,,,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.62,0.0,supported,supported,"eham_001_primary_a,eham_001_primary_b",,[],
ert_002,packet_judgment,clean,L0,heuristic_baseline,baseline,opaque_no_api,standard_answer,baseline,1.0,0.0,0.0,1,0,,,,,,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.62,0.0,supported,supported,"eham_002_primary_a,eham_002_primary_b",,[],
ert_002,packet_judgment,clean,L0,heuristic_baseline,baseline,opaque_no_api,epistemic_hygiene_instruction,baseline,1.0,0.0,0.0,1,0,,,,,,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.62,0.0,supported,supported,"eham_002_primary_a,eham_002_primary_b",,[],
ert_003,packet_judgment,clean,L0,heuristic_baseline,baseline,opaque_no_api,standard_answer,baseline,1.0,0.0,0.0,1,0,,,,,,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.62,0.0,supported,supported,"eham_003_primary_a,eham_003_primary_b",,[],
ert_003,packet_judgment,clean,L0,heuristic_baseline,baseline,opaque_no_api,epistemic_hygiene_instruction,baseline,1.0,0.0,0.0,1,0,,,,,,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.62,0.0,supported,supported,"eham_003_primary_a,eham_003_primary_b",,[],
ert_004,packet_judgment,clean,L0,heuristic_baseline,baseline,opaque_no_api,standard_answer,baseline,1.0,0.0,0.0,1,0,,,,,,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.62,0.0,supported,supported,"eham_004_primary_a,eham_004_primary_b",,[],
ert_004,packet_judgment,clean,L0,heuristic_baseline,baseline,opaque_no_api,epistemic_hygiene_instruction,baseline,1.0,0.0,0.0,1,0,,,,,,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.62,0.0,supported,supported,"eham_004_primary_a,eham_004_primary_b",,[],
ert_005,packet_judgment,clean,L0,heuristic_baseline,baseline,opaque_no_api,standard_answer,baseline,1.0,0.0,0.0,1,0,,,,,,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.62,0.0,supported,supported,"eham_005_primary_a,eham_005_primary_b",,[],
ert_005,packet_judgment,clean,L0,heuristic_baseline,baseline,opaque_no_api,epistemic_hygiene_instruction,baseline,1.0,0.0,0.0,1,0,,,,,,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.62,0.0,supported,supported,"eham_005_primary_a,eham_005_primary_b",,[],
ert_006,packet_judgment,clean,L0,heuristic_baseline,baseline,opaque_no_api,standard_answer,baseline,1.0,0.0,0.0,1,0,,,,,,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.62,0.0,supported,supported,"eham_006_primary_a,eham_006_primary_b",,[],
ert_006,packet_judgment,clean,L0,heuristic_baseline,baseline,opaque_no_api,epistemic_hygiene_instruction,baseline,1.0,0.0,0.0,1,0,,,,,,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.62,0.0,supported,supported,"eham_006_primary_a,eham_006_primary_b",,[],
ert_007,packet_judgment,clean,L0,heuristic_baseline,baseline,opaque_no_api,standard_answer,baseline,1.0,0.0,0.0,1,0,,,,,,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.62,0.0,supported,supported,"eham_007_primary_a,eham_007_primary_b",,[],
ert_007,packet_judgment,clean,L0,heuristic_baseline,baseline,opaque_no_api,epistemic_hygiene_instruction,baseline,1.0,0.0,0.0,1,0,,,,,,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.62,0.0,supported,supported,"eham_007_primary_a,eham_007_primary_b",,[],
ert_008,packet_judgment,conflicting_evidence,L2,heuristic_baseline,baseline,opaque_no_api,standard_answer,baseline,1.0,0.0,0.0,1,0,,,,,,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.62,0.0,refuted,supported,"eham_048_primary_a,eham_048_primary_b",,[],
ert_008,packet_judgment,conflicting_evidence,L2,heuristic_baseline,baseline,opaque_no_api,epistemic_hygiene_instruction,baseline,1.0,0.0,0.0,1,0,,,,,,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.62,0.0,refuted,supported,"eham_048_primary_a,eham_048_primary_b",,[],
ert_009,packet_judgment,conflicting_evidence,L2,heuristic_baseline,baseline,opaque_no_api,standard_answer,baseline,1.0,0.0,0.0,1,0,,,,,,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.62,0.0,refuted,supported,"eham_049_primary_a,eham_049_primary_b",,[],
ert_009,packet_judgment,conflicting_evidence,L2,heuristic_baseline,baseline,opaque_no_api,epistemic_hygiene_instruction,baseline,1.0,0.0,0.0,1,0,,,,,,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.62,0.0,refuted,supported,"eham_049_primary_a,eham_049_primary_b",,[],
ert_010,packet_judgment,conflicting_evidence,L2,heuristic_baseline,baseline,opaque_no_api,standard_answer,baseline,1.0,0.0,0.0,1,0,,,,,,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.62,0.0,refuted,supported,"eham_050_primary_a,eham_050_primary_b",,[],
ert_010,packet_judgment,conflicting_evidence,L2,heuristic_baseline,baseline,opaque_no_api,epistemic_hygiene_instruction,baseline,1.0,0.0,0.0,1,0,,,,,,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.62,0.0,refuted,supported,"eham_050_primary_a,eham_050_primary_b",,[],
ert_011,packet_judgment,conflicting_evidence,L2,heuristic_baseline,baseline,opaque_no_api,standard_answer,baseline,1.0,0.0,0.0,1,0,,,,,,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.62,0.0,refuted,supported,"eham_051_primary_a,eham_051_primary_b",,[],
