task_id,base_task_id,view,model,family,condition,gold_verdict,predicted_verdict,belief_correctness,operational_epistemic_escape,clean_support_contract,pollutant_rejection_contract,evidence_selection_contract,verification_contract,composite_evidence_hygiene_contract,final_verdict_correct,no_dirty_support,clean_support_recovered,pollutant_rejected_or_diagnosed,verification_path_executable,primary_source_action_or_cue,support_doc_ids,selected_doc_ids,rejected_doc_ids,polluted_support_doc_ids,clean_support_doc_ids
uncued_000_visible,uncued_000,neutral_metadata_visible,gemini-3.1-pro-preview,packet_judgment,clean,supported,supported,1.0,1.0,1,0,0,1,1,1,1,1,1,1,1,uncued_000_d03,uncued_000_d03,"uncued_000_d01,uncued_000_d04,uncued_000_d02",,uncued_000_d03
uncued_000_visible,uncued_000,neutral_metadata_visible,claude-opus-4-7,packet_judgment,clean,supported,supported,1.0,1.0,1,0,1,1,1,1,1,1,0,1,1,uncued_000_d03,"uncued_000_d03,uncued_000_d01,uncued_000_d04","uncued_000_d01,uncued_000_d04,uncued_000_d02",,uncued_000_d03
uncued_000_hidden,uncued_000,neutral_metadata_hidden,gemini-3.1-pro-preview,packet_judgment,clean,supported,supported,1.0,1.0,1,0,0,1,1,1,1,1,0,1,1,uncued_000_d03,uncued_000_d03,"uncued_000_d02,uncued_000_d04,uncued_000_d01",,uncued_000_d03
uncued_000_hidden,uncued_000,neutral_metadata_hidden,claude-opus-4-7,packet_judgment,clean,supported,supported,1.0,1.0,1,0,1,1,1,1,1,1,1,1,1,uncued_000_d03,"uncued_000_d03,uncued_000_d04,uncued_000_d01","uncued_000_d04,uncued_000_d01,uncued_000_d02",,uncued_000_d03
uncued_000_visible,uncued_000,neutral_metadata_visible,gpt-5.5,packet_judgment,clean,supported,insufficient,0.0,0.0,0,0,1,1,0,0,1,1,0,1,1,uncued_000_d03,"uncued_000_d03,uncued_000_d01,uncued_000_d04","uncued_000_d01,uncued_000_d04,uncued_000_d02",,uncued_000_d03
uncued_000_visible,uncued_000,neutral_metadata_visible,deepseek-v4-pro,packet_judgment,clean,supported,supported,1.0,1.0,1,0,0,1,1,1,1,1,0,1,1,uncued_000_d03,uncued_000_d03,,,uncued_000_d03
uncued_001_visible,uncued_001,neutral_metadata_visible,claude-opus-4-7,packet_judgment,clean,refuted,refuted,1.0,1.0,0,0,1,1,0,1,1,0,0,1,1,,"uncued_001_d03,uncued_001_d02,uncued_001_d01",uncued_001_d03,,
uncued_001_visible,uncued_001,neutral_metadata_visible,gemini-3.1-pro-preview,packet_judgment,clean,refuted,refuted,1.0,1.0,1,0,0,1,1,1,1,1,0,1,1,uncued_001_d03,uncued_001_d03,"uncued_001_d04,uncued_001_d01,uncued_001_d02",,uncued_001_d03
uncued_001_hidden,uncued_001,neutral_metadata_hidden,claude-opus-4-7,packet_judgment,clean,refuted,refuted,1.0,1.0,0,0,1,1,0,1,1,0,0,1,1,,"uncued_001_d01,uncued_001_d02,uncued_001_d04",uncued_001_d01,,
uncued_000_hidden,uncued_000,neutral_metadata_hidden,gpt-5.5,packet_judgment,clean,supported,supported,1.0,1.0,1,0,1,1,1,1,1,1,0,1,1,uncued_000_d03,"uncued_000_d03,uncued_000_d02,uncued_000_d04","uncued_000_d02,uncued_000_d04,uncued_000_d01",,uncued_000_d03
uncued_000_hidden,uncued_000,neutral_metadata_hidden,deepseek-v4-pro,packet_judgment,clean,supported,supported,1.0,1.0,1,0,0,1,1,1,1,1,0,1,1,uncued_000_d03,uncued_000_d03,,,uncued_000_d03
uncued_001_hidden,uncued_001,neutral_metadata_hidden,gemini-3.1-pro-preview,packet_judgment,clean,refuted,refuted,1.0,1.0,1,0,0,1,1,1,1,1,0,1,1,uncued_001_d01,uncued_001_d01,"uncued_001_d02,uncued_001_d04,uncued_001_d03",,uncued_001_d01
uncued_001_visible,uncued_001,neutral_metadata_visible,gpt-5.5,packet_judgment,clean,refuted,refuted,1.0,1.0,1,0,1,1,1,1,1,1,0,1,1,uncued_001_d03,"uncued_001_d03,uncued_001_d04,uncued_001_d01","uncued_001_d04,uncued_001_d01,uncued_001_d02",,uncued_001_d03
uncued_001_hidden,uncued_001,neutral_metadata_hidden,gpt-5.5,packet_judgment,clean,refuted,refuted,1.0,1.0,1,0,1,1,1,1,1,1,0,1,1,uncued_001_d01,"uncued_001_d01,uncued_001_d02,uncued_001_d03","uncued_001_d02,uncued_001_d03,uncued_001_d04",,uncued_001_d01
uncued_002_visible,uncued_002,neutral_metadata_visible,claude-opus-4-7,packet_judgment,clean,supported,supported,1.0,1.0,1,0,1,1,1,1,1,1,0,1,1,uncued_002_d01,"uncued_002_d01,uncued_002_d03,uncued_002_d04","uncued_002_d03,uncued_002_d02,uncued_002_d04",,uncued_002_d01
uncued_002_visible,uncued_002,neutral_metadata_visible,gemini-3.1-pro-preview,packet_judgment,clean,supported,supported,1.0,1.0,1,0,0,1,1,1,1,1,0,1,1,uncued_002_d01,uncued_002_d01,"uncued_002_d03,uncued_002_d02,uncued_002_d04",,uncued_002_d01
uncued_002_visible,uncued_002,neutral_metadata_visible,gpt-5.5,packet_judgment,clean,supported,supported,1.0,1.0,1,0,1,1,1,1,1,1,0,1,1,uncued_002_d01,"uncued_002_d01,uncued_002_d03,uncued_002_d02","uncued_002_d03,uncued_002_d02,uncued_002_d04",,uncued_002_d01
uncued_002_hidden,uncued_002,neutral_metadata_hidden,claude-opus-4-7,packet_judgment,clean,supported,supported,1.0,1.0,1,0,1,1,1,1,1,1,1,1,1,uncued_002_d03,"uncued_002_d03,uncued_002_d01,uncued_002_d04","uncued_002_d02,uncued_002_d04,uncued_002_d01",,uncued_002_d03
uncued_002_hidden,uncued_002,neutral_metadata_hidden,gemini-3.1-pro-preview,packet_judgment,clean,supported,supported,1.0,1.0,1,0,0,1,1,1,1,1,1,1,1,uncued_002_d03,uncued_002_d03,"uncued_002_d01,uncued_002_d02,uncued_002_d04",,uncued_002_d03
uncued_002_hidden,uncued_002,neutral_metadata_hidden,gpt-5.5,packet_judgment,clean,supported,supported,1.0,1.0,1,0,1,1,1,1,1,1,0,1,1,uncued_002_d03,"uncued_002_d03,uncued_002_d01,uncued_002_d02","uncued_002_d01,uncued_002_d02,uncued_002_d04",,uncued_002_d03
uncued_003_visible,uncued_003,neutral_metadata_visible,claude-opus-4-7,packet_judgment,clean,refuted,refuted,1.0,1.0,0,0,1,1,0,1,1,0,1,1,1,,"uncued_003_d03,uncued_003_d04,uncued_003_d02",uncued_003_d03,,
uncued_003_visible,uncued_003,neutral_metadata_visible,gemini-3.1-pro-preview,packet_judgment,clean,refuted,refuted,1.0,1.0,1,0,0,1,1,1,1,1,0,1,1,uncued_003_d03,uncued_003_d03,,,uncued_003_d03
uncued_003_hidden,uncued_003,neutral_metadata_hidden,claude-opus-4-7,packet_judgment,clean,refuted,refuted,1.0,1.0,0,0,0,1,0,1,1,0,0,1,1,,uncued_003_d01,uncued_003_d01,,
uncued_001_visible,uncued_001,neutral_metadata_visible,deepseek-v4-pro,packet_judgment,clean,refuted,refuted,1.0,1.0,1,0,0,1,1,1,1,1,1,1,1,uncued_001_d03,uncued_001_d03,"uncued_001_d04,uncued_001_d01,uncued_001_d02",,uncued_001_d03
uncued_003_visible,uncued_003,neutral_metadata_visible,gpt-5.5,packet_judgment,clean,refuted,refuted,1.0,1.0,1,0,1,1,1,1,1,1,1,1,1,uncued_003_d03,"uncued_003_d03,uncued_003_d04,uncued_003_d01","uncued_003_d01,uncued_003_d02,uncued_003_d04",,uncued_003_d03
uncued_004_visible,uncued_004,neutral_metadata_visible,claude-opus-4-7,packet_judgment,clean,supported,supported,1.0,1.0,1,0,1,1,1,1,1,1,0,1,1,uncued_004_d01,"uncued_004_d01,uncued_004_d03,uncued_004_d04","uncued_004_d03,uncued_004_d02,uncued_004_d04",,uncued_004_d01
uncued_003_hidden,uncued_003,neutral_metadata_hidden,gemini-3.1-pro-preview,packet_judgment,clean,refuted,refuted,1.0,1.0,1,0,1,1,1,1,1,1,0,1,1,uncued_003_d01,"uncued_003_d01,uncued_003_d03,uncued_003_d02",,,uncued_003_d01
uncued_004_hidden,uncued_004,neutral_metadata_hidden,claude-opus-4-7,packet_judgment,clean,supported,supported,1.0,1.0,1,0,1,1,1,1,1,1,1,1,1,uncued_004_d02,"uncued_004_d02,uncued_004_d04,uncued_004_d01","uncued_004_d04,uncued_004_d01,uncued_004_d03",,uncued_004_d02
uncued_003_hidden,uncued_003,neutral_metadata_hidden,gpt-5.5,packet_judgment,clean,refuted,refuted,1.0,1.0,1,0,0,1,1,1,1,1,0,1,1,uncued_003_d01,uncued_003_d01,"uncued_003_d04,uncued_003_d03,uncued_003_d02",,uncued_003_d01
uncued_004_visible,uncued_004,neutral_metadata_visible,gpt-5.5,packet_judgment,clean,supported,supported,1.0,1.0,1,0,1,1,1,1,1,1,1,1,1,uncued_004_d01,"uncued_004_d01,uncued_004_d03,uncued_004_d02","uncued_004_d03,uncued_004_d02,uncued_004_d04",,uncued_004_d01
uncued_005_visible,uncued_005,neutral_metadata_visible,claude-opus-4-7,evidence_selection,clean,refuted,refuted,1.0,1.0,0,0,1,1,1,1,1,0,0,1,1,,"uncued_005_d02,uncued_005_d03,uncued_005_d01",uncued_005_d02,,
uncued_004_visible,uncued_004,neutral_metadata_visible,gemini-3.1-pro-preview,packet_judgment,clean,supported,supported,1.0,1.0,1,0,0,1,1,1,1,1,0,1,1,uncued_004_d01,uncued_004_d01,"uncued_004_d03,uncued_004_d02,uncued_004_d04",,uncued_004_d01
uncued_005_hidden,uncued_005,neutral_metadata_hidden,claude-opus-4-7,evidence_selection,clean,refuted,refuted,1.0,0.0,0,0,0,1,0,1,1,0,0,1,1,,uncued_005_d02,"uncued_005_d04,uncued_005_d01,uncued_005_d03",,
uncued_001_hidden,uncued_001,neutral_metadata_hidden,deepseek-v4-pro,packet_judgment,clean,refuted,refuted,1.0,1.0,1,0,0,1,1,1,1,1,1,1,1,uncued_001_d01,uncued_001_d01,"uncued_001_d02,uncued_001_d03,uncued_001_d04",,uncued_001_d01
uncued_006_visible,uncued_006,neutral_metadata_visible,claude-opus-4-7,evidence_selection,clean,supported,supported,1.0,1.0,1,0,1,1,1,1,1,1,1,1,1,uncued_006_d04,"uncued_006_d04,uncued_006_d03,uncued_006_d01","uncued_006_d03,uncued_006_d01,uncued_006_d02",,uncued_006_d04
uncued_004_hidden,uncued_004,neutral_metadata_hidden,gpt-5.5,packet_judgment,clean,supported,supported,1.0,1.0,1,0,1,1,1,1,1,1,0,1,1,uncued_004_d02,"uncued_004_d02,uncued_004_d04,uncued_004_d01","uncued_004_d04,uncued_004_d01,uncued_004_d03",,uncued_004_d02
uncued_004_hidden,uncued_004,neutral_metadata_hidden,gemini-3.1-pro-preview,packet_judgment,clean,supported,supported,1.0,1.0,1,0,0,1,1,1,1,1,0,1,1,uncued_004_d02,uncued_004_d02,"uncued_004_d04,uncued_004_d01,uncued_004_d03",,uncued_004_d02
uncued_006_hidden,uncued_006,neutral_metadata_hidden,claude-opus-4-7,evidence_selection,clean,supported,supported,1.0,1.0,1,0,1,1,1,1,1,1,0,1,1,uncued_006_d03,"uncued_006_d03,uncued_006_d01,uncued_006_d04","uncued_006_d01,uncued_006_d04,uncued_006_d02",,uncued_006_d03
uncued_005_visible,uncued_005,neutral_metadata_visible,gpt-5.5,evidence_selection,clean,refuted,refuted,1.0,1.0,1,0,1,1,1,1,1,1,0,1,1,uncued_005_d02,"uncued_005_d02,uncued_005_d03,uncued_005_d04","uncued_005_d03,uncued_005_d04,uncued_005_d01",,uncued_005_d02
uncued_002_visible,uncued_002,neutral_metadata_visible,deepseek-v4-pro,packet_judgment,clean,supported,supported,1.0,1.0,1,0,0,1,1,1,1,1,0,1,1,uncued_002_d01,uncued_002_d01,,,uncued_002_d01
uncued_005_visible,uncued_005,neutral_metadata_visible,gemini-3.1-pro-preview,evidence_selection,clean,refuted,refuted,1.0,0.0,1,0,0,1,0,1,1,1,0,1,1,uncued_005_d02,uncued_005_d02,"uncued_005_d03,uncued_005_d04,uncued_005_d01",,uncued_005_d02
uncued_005_hidden,uncued_005,neutral_metadata_hidden,gpt-5.5,evidence_selection,clean,refuted,refuted,1.0,1.0,1,0,1,1,1,1,1,1,0,1,1,uncued_005_d02,"uncued_005_d02,uncued_005_d04,uncued_005_d03","uncued_005_d04,uncued_005_d03,uncued_005_d01",,uncued_005_d02
uncued_007_visible,uncued_007,neutral_metadata_visible,claude-opus-4-7,evidence_selection,clean,refuted,refuted,1.0,0.0,0,0,0,1,0,1,1,0,0,1,1,,uncued_007_d04,uncued_007_d04,,
uncued_007_hidden,uncued_007,neutral_metadata_hidden,claude-opus-4-7,evidence_selection,clean,refuted,refuted,1.0,0.0,0,0,0,1,0,1,1,0,0,1,1,,uncued_007_d04,"uncued_007_d03,uncued_007_d02,uncued_007_d01",,
uncued_005_hidden,uncued_005,neutral_metadata_hidden,gemini-3.1-pro-preview,evidence_selection,clean,refuted,refuted,1.0,0.0,1,0,0,1,0,1,1,1,1,1,1,uncued_005_d02,uncued_005_d02,"uncued_005_d04,uncued_005_d03,uncued_005_d01",,uncued_005_d02
uncued_008_visible,uncued_008,neutral_metadata_visible,claude-opus-4-7,evidence_selection,clean,supported,supported,1.0,1.0,1,0,1,1,1,1,1,1,1,1,1,uncued_008_d02,"uncued_008_d02,uncued_008_d04,uncued_008_d03","uncued_008_d04,uncued_008_d01,uncued_008_d03",,uncued_008_d02
uncued_006_visible,uncued_006,neutral_metadata_visible,gemini-3.1-pro-preview,evidence_selection,clean,supported,supported,1.0,1.0,1,0,1,1,1,1,1,1,0,1,1,uncued_006_d04,"uncued_006_d04,uncued_006_d03,uncued_006_d01","uncued_006_d03,uncued_006_d01,uncued_006_d02",,uncued_006_d04
uncued_006_visible,uncued_006,neutral_metadata_visible,gpt-5.5,evidence_selection,clean,supported,supported,1.0,1.0,1,0,1,1,1,1,1,1,1,1,1,uncued_006_d04,"uncued_006_d04,uncued_006_d03,uncued_006_d01","uncued_006_d03,uncued_006_d01,uncued_006_d02",,uncued_006_d04
uncued_008_hidden,uncued_008,neutral_metadata_hidden,claude-opus-4-7,evidence_selection,clean,supported,supported,1.0,1.0,1,0,1,1,1,1,1,1,1,1,1,uncued_008_d03,"uncued_008_d03,uncued_008_d02,uncued_008_d01","uncued_008_d02,uncued_008_d01,uncued_008_d04",,uncued_008_d03
uncued_006_hidden,uncued_006,neutral_metadata_hidden,gpt-5.5,evidence_selection,clean,supported,supported,1.0,1.0,1,0,1,1,1,1,1,1,0,1,1,uncued_006_d03,"uncued_006_d03,uncued_006_d01,uncued_006_d04","uncued_006_d02,uncued_006_d01,uncued_006_d04",,uncued_006_d03
uncued_009_visible,uncued_009,neutral_metadata_visible,claude-opus-4-7,evidence_selection,clean,refuted,refuted,1.0,0.0,0,0,0,1,0,1,1,0,0,1,1,,uncued_009_d03,"uncued_009_d04,uncued_009_d02,uncued_009_d01",,
uncued_006_hidden,uncued_006,neutral_metadata_hidden,gemini-3.1-pro-preview,evidence_selection,clean,supported,supported,1.0,0.0,1,0,0,1,0,1,1,1,0,1,1,uncued_006_d03,uncued_006_d03,"uncued_006_d02,uncued_006_d01,uncued_006_d04",,uncued_006_d03
uncued_007_visible,uncued_007,neutral_metadata_visible,gpt-5.5,evidence_selection,clean,refuted,refuted,1.0,1.0,1,0,1,1,1,1,1,1,0,1,1,uncued_007_d04,"uncued_007_d04,uncued_007_d03,uncued_007_d01","uncued_007_d03,uncued_007_d01,uncued_007_d02",,uncued_007_d04
uncued_009_hidden,uncued_009,neutral_metadata_hidden,claude-opus-4-7,evidence_selection,clean,refuted,refuted,1.0,0.0,0,0,0,1,0,1,1,0,1,1,1,,uncued_009_d01,"uncued_009_d03,uncued_009_d04,uncued_009_d02",,
uncued_007_hidden,uncued_007,neutral_metadata_hidden,gpt-5.5,evidence_selection,clean,refuted,refuted,1.0,1.0,1,0,1,1,1,1,1,1,0,1,1,uncued_007_d04,"uncued_007_d04,uncued_007_d03,uncued_007_d02","uncued_007_d03,uncued_007_d02,uncued_007_d01",,uncued_007_d04
uncued_007_visible,uncued_007,neutral_metadata_visible,gemini-3.1-pro-preview,evidence_selection,clean,refuted,refuted,1.0,0.0,1,0,0,1,0,1,1,1,0,1,1,uncued_007_d04,uncued_007_d04,"uncued_007_d03,uncued_007_d01,uncued_007_d02",,uncued_007_d04
uncued_010_visible,uncued_010,neutral_metadata_visible,claude-opus-4-7,active_verification,clean,supported,supported,1.0,1.0,1,0,1,1,1,1,1,1,1,1,1,uncued_010_d01,"uncued_010_d01,uncued_010_d02,uncued_010_d03","uncued_010_d03,uncued_010_d04,uncued_010_d02",,uncued_010_d01
uncued_008_visible,uncued_008,neutral_metadata_visible,gpt-5.5,evidence_selection,clean,supported,supported,1.0,1.0,1,0,1,1,1,1,1,1,0,1,1,uncued_008_d02,"uncued_008_d02,uncued_008_d04,uncued_008_d01","uncued_008_d04,uncued_008_d01,uncued_008_d03",,uncued_008_d02
