model,n,parse_success_rate,empty_output_rate,schema_missing_rate,belief_correctness_rate,insufficient_verdict_rate,rejected_pollutant_rate,polluted_supporting_evidence_rate,dual_role_pollutant_rate,full_escape,prompt_condition
claude-opus-4-7,40,1.0,0.0,0.0,1.0,1.0,0.8,0.2,0.0,0.425,all
claude-opus-4-7,20,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.55,epistemic_hygiene_instruction
claude-opus-4-7,20,1.0,0.0,0.0,1.0,1.0,0.6,0.4,0.0,0.3,standard_answer
deepseek-v4-pro,40,1.0,0.0,0.0,1.0,1.0,0.7,0.325,0.0,0.375,all
deepseek-v4-pro,20,1.0,0.0,0.0,1.0,1.0,0.95,0.05,0.0,0.55,epistemic_hygiene_instruction
deepseek-v4-pro,20,1.0,0.0,0.0,1.0,1.0,0.45,0.6,0.0,0.2,standard_answer
gemini-3.1-pro-preview,40,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.575,all
gemini-3.1-pro-preview,20,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.55,epistemic_hygiene_instruction
gemini-3.1-pro-preview,20,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.6,standard_answer
gpt-5.4,40,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.9,0.0,all
gpt-5.4,20,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.85,0.0,epistemic_hygiene_instruction
gpt-5.4,20,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.95,0.0,standard_answer
kimi-k2.6,40,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.55,all
kimi-k2.6,20,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.5,epistemic_hygiene_instruction
kimi-k2.6,20,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.6,standard_answer
