task_id,base_task_id,view,model,family,condition,gold_verdict,predicted_verdict,belief_correctness,operational_epistemic_escape,support_doc_ids,polluted_support_doc_ids,selected_doc_ids,rejected_doc_ids,rejection_cue_present,explicit_polluted_rejection,primary_source_action_or_cue,target_candidate
uncued_048_visible,uncued_048,neutral_metadata_visible,claude-opus-4-7,packet_judgment,generated_lore,insufficient,insufficient,1.0,0.0,"uncued_048_d01,uncued_048_d04","uncued_048_d01,uncued_048_d04","uncued_048_d04,uncued_048_d01,uncued_048_d03","uncued_048_d02,uncued_048_d03",1,0,1,1
uncued_048_hidden,uncued_048,neutral_metadata_hidden,claude-opus-4-7,packet_judgment,generated_lore,insufficient,insufficient,1.0,0.0,"uncued_048_d02,uncued_048_d01","uncued_048_d01,uncued_048_d02","uncued_048_d02,uncued_048_d01,uncued_048_d04","uncued_048_d03,uncued_048_d04",1,0,1,1
uncued_049_visible,uncued_049,neutral_metadata_visible,claude-opus-4-7,packet_judgment,generated_lore,insufficient,insufficient,1.0,0.0,"uncued_049_d04,uncued_049_d01","uncued_049_d01,uncued_049_d04","uncued_049_d04,uncued_049_d01,uncued_049_d02","uncued_049_d03,uncued_049_d02",1,0,1,1
uncued_049_hidden,uncued_049,neutral_metadata_hidden,claude-opus-4-7,packet_judgment,generated_lore,insufficient,insufficient,1.0,0.0,"uncued_049_d02,uncued_049_d01","uncued_049_d01,uncued_049_d02","uncued_049_d02,uncued_049_d01,uncued_049_d03","uncued_049_d04,uncued_049_d03",1,0,1,1
uncued_050_visible,uncued_050,neutral_metadata_visible,claude-opus-4-7,packet_judgment,generated_lore,insufficient,insufficient,1.0,0.0,"uncued_050_d04,uncued_050_d02","uncued_050_d02,uncued_050_d04","uncued_050_d04,uncued_050_d02,uncued_050_d01","uncued_050_d03,uncued_050_d01",1,0,1,1
uncued_050_hidden,uncued_050,neutral_metadata_hidden,claude-opus-4-7,packet_judgment,generated_lore,insufficient,insufficient,1.0,0.0,"uncued_050_d02,uncued_050_d01","uncued_050_d01,uncued_050_d02","uncued_050_d02,uncued_050_d01,uncued_050_d04","uncued_050_d03,uncued_050_d04",1,0,1,1
uncued_051_visible,uncued_051,neutral_metadata_visible,claude-opus-4-7,packet_judgment,generated_lore,insufficient,insufficient,1.0,0.0,"uncued_051_d01,uncued_051_d03","uncued_051_d01,uncued_051_d03","uncued_051_d01,uncued_051_d03,uncued_051_d02","uncued_051_d02,uncued_051_d04",1,0,1,1
uncued_048_visible,uncued_048,neutral_metadata_visible,gpt-5.5,packet_judgment,generated_lore,insufficient,insufficient,1.0,0.0,uncued_048_d01,uncued_048_d01,"uncued_048_d01,uncued_048_d04,uncued_048_d03","uncued_048_d04,uncued_048_d02,uncued_048_d03",1,0,1,1
uncued_051_hidden,uncued_051,neutral_metadata_hidden,claude-opus-4-7,packet_judgment,generated_lore,insufficient,insufficient,1.0,0.0,"uncued_051_d04,uncued_051_d01","uncued_051_d01,uncued_051_d04","uncued_051_d04,uncued_051_d01,uncued_051_d02","uncued_051_d02,uncued_051_d03",1,0,1,1
uncued_048_hidden,uncued_048,neutral_metadata_hidden,gpt-5.5,packet_judgment,generated_lore,insufficient,insufficient,1.0,0.0,uncued_048_d02,uncued_048_d02,"uncued_048_d02,uncued_048_d01,uncued_048_d04","uncued_048_d01,uncued_048_d03,uncued_048_d04",1,0,1,1
uncued_052_visible,uncued_052,neutral_metadata_visible,claude-opus-4-7,evidence_selection,generated_lore,insufficient,insufficient,1.0,0.0,"uncued_052_d02,uncued_052_d03","uncued_052_d02,uncued_052_d03","uncued_052_d02,uncued_052_d03,uncued_052_d01","uncued_052_d01,uncued_052_d04",1,0,1,1
uncued_052_hidden,uncued_052,neutral_metadata_hidden,claude-opus-4-7,evidence_selection,generated_lore,insufficient,insufficient,1.0,0.0,"uncued_052_d03,uncued_052_d04","uncued_052_d03,uncued_052_d04","uncued_052_d03,uncued_052_d04","uncued_052_d02,uncued_052_d01",1,0,1,1
