model,family,operational_epistemic_escape,belief_correctness,evidence_cleanliness,verification_action_score
claude-opus-4-7,active_verification,0.8,0.8,1.0,0.6
claude-opus-4-7,evidence_selection,0.8,1.0,1.0,0.0
claude-opus-4-7,packet_judgment,1.0,1.0,1.0,0.0
deepseek-v4-pro,active_verification,0.5,0.8,0.85,0.475
deepseek-v4-pro,evidence_selection,0.7625,1.0,0.925,0.0
deepseek-v4-pro,packet_judgment,0.9625,0.975,0.9875,0.0
gemini-3.1-pro-preview,active_verification,0.3,0.8,1.0,0.4583333333333333
gemini-3.1-pro-preview,evidence_selection,0.8,1.0,1.0,0.0
gemini-3.1-pro-preview,packet_judgment,1.0,1.0,1.0,0.0
gpt-5.4,active_verification,0.6,0.8,0.625,0.4083333333333333
gpt-5.4,evidence_selection,0.7875,1.0,0.675,0.0
gpt-5.4,packet_judgment,0.8375,1.0,0.8375,0.0
kimi-k2.6,active_verification,0.4,0.8,1.0,0.45
kimi-k2.6,evidence_selection,0.775,1.0,0.875,0.0
kimi-k2.6,packet_judgment,1.0,1.0,1.0,0.0
