model,budget_setting,condition,n,operational_epistemic_escape,conditional_epistemic_escape,parse_success,belief_correctness,evidence_cleanliness,uncertainty_discipline,verification_action_score,visible_output_tokens,answer_word_count,evidence_assessment_word_count,max_action_rationale_word_count,overlength_rate,cost_usd
claude-opus-4-7,operational,buried_primary,40,0.8,0.8,1.0,0.8,1.0,0.8,0.3333333333333333,421.55,57.125,67.875,17.925,0.0,0.0020321875
claude-opus-4-7,operational,clean,40,1.0,1.0,1.0,1.0,1.0,1.0,0.6666666666666666,411.325,53.95,64.7,18.175,0.0,0.0019456749999999998
claude-opus-4-7,operational,conflicting_evidence,40,1.0,1.0,1.0,1.0,1.0,1.0,0.6666666666666666,410.5,51.55,63.925,17.8,0.0,0.0019494875000000001
claude-opus-4-7,operational,false_consensus,40,1.0,1.0,1.0,1.0,1.0,1.0,0.6666666666666666,403.225,50.425,66.025,16.375,0.0,0.0019760875000000002
claude-opus-4-7,operational,generated_lore,40,0.6,0.6,1.0,1.0,1.0,1.0,0.6666666666666666,448.85,54.375,70.325,20.625,0.0,0.0020234124999999998
deepseek-v4-pro,operational,buried_primary,40,0.8,0.8,1.0,0.8,0.9,0.8,0.3333333333333333,404.35,44.675,61.15,18.4,0.0,0.0039301375
deepseek-v4-pro,operational,clean,40,0.875,0.875,1.0,1.0,1.0,1.0,0.29166666666666663,372.325,32.575,64.35,19.275,0.0,0.0042275
deepseek-v4-pro,operational,conflicting_evidence,40,0.825,0.8461538461538461,0.975,0.975,0.975,0.975,0.5,413.3,37.61538461538461,66.97435897435898,18.487179487179485,0.0,0.0044316124999999994
deepseek-v4-pro,operational,false_consensus,40,0.95,0.95,1.0,1.0,1.0,1.0,0.5833333333333333,398.425,43.475,59.825,18.725,0.0,0.003971875
deepseek-v4-pro,operational,generated_lore,40,0.5,0.5,1.0,0.975,0.8,0.975,0.6666666666666666,410.725,45.15,58.775,20.4,0.0,0.00409545
gemini-3.1-pro-preview,operational,buried_primary,40,0.8,0.8,1.0,0.8,1.0,0.8,0.5,462.425,75.075,62.575,17.15,0.0,0.0040312312500000004
gemini-3.1-pro-preview,operational,clean,40,0.95,0.95,1.0,1.0,1.0,1.0,0.5416666666666666,442.6,73.0,63.175,16.575,0.0,0.00378785625
gemini-3.1-pro-preview,operational,conflicting_evidence,40,0.9,0.9,1.0,1.0,1.0,1.0,0.4583333333333333,461.5,69.8,63.925,17.225,0.0,0.00395139375
gemini-3.1-pro-preview,operational,false_consensus,40,0.825,0.825,1.0,1.0,1.0,1.0,0.16666666666666666,447.375,71.45,63.075,16.675,0.0,0.00408653125
gemini-3.1-pro-preview,operational,generated_lore,40,0.425,0.425,1.0,1.0,1.0,1.0,0.625,462.75,72.175,54.7,19.925,0.0,0.00338365625
gpt-5.4,operational,buried_primary,40,0.8,0.8,1.0,0.8,0.8,0.8,0.041666666666666664,363.425,54.6,59.8,12.625,0.0,0.0012828499999999999
gpt-5.4,operational,clean,40,0.975,0.975,1.0,1.0,1.0,1.0,0.3333333333333333,376.475,68.975,61.375,11.7,0.0,0.0012470125
gpt-5.4,operational,conflicting_evidence,40,0.975,0.975,1.0,1.0,0.75,1.0,0.6666666666666666,376.625,57.6,63.3,12.725,0.0,0.0012361874999999999
gpt-5.4,operational,false_consensus,40,1.0,1.0,1.0,1.0,1.0,1.0,0.6666666666666666,349.475,50.675,59.375,12.75,0.0,0.0012452
gpt-5.4,operational,generated_lore,40,0.1,0.1,1.0,1.0,0.1,1.0,0.3333333333333333,398.4,61.275,60.175,13.45,0.0,0.001280125
kimi-k2.6,operational,buried_primary,40,0.8,0.8,1.0,0.8,1.0,0.8,0.41666666666666663,408.95,54.525,58.075,20.2,0.0,0.009786699999999999
kimi-k2.6,operational,clean,40,0.925,0.925,1.0,1.0,1.0,1.0,0.29166666666666663,364.225,49.35,58.675,18.05,0.0,0.00875025
kimi-k2.6,operational,conflicting_evidence,40,0.85,0.85,1.0,1.0,0.75,1.0,0.5,430.3,56.45,62.3,22.05,0.0,0.009751825
kimi-k2.6,operational,false_consensus,40,0.85,0.85,1.0,1.0,1.0,1.0,0.375,386.35,50.9,58.65,20.05,0.0,0.0087766625
kimi-k2.6,operational,generated_lore,40,0.525,0.525,1.0,1.0,1.0,1.0,0.6666666666666666,431.2,55.65,57.025,23.45,0.0,0.0076753625
