row_id,source_run,variant,task_id,base_task_id,view,model,family,condition,gold_verdict,predicted_verdict,parse_success,belief_correctness,operational_epistemic_escape,primary_failure_component,belief_correct_but_operational_failed,insufficient_verdict,supported_or_refuted_verdict,polluted_support_present,clean_support_present,all_support_polluted,support_mentions_primary_source,verification_action_present,verification_action_targets_primary,robustness_variant_row,generated_lore_selected,duplicate_root_count,support_doc_ids,selected_doc_ids,polluted_support_doc_ids,clean_support_doc_ids
33,pilot,,uncued_005_hidden,uncued_005,neutral_metadata_hidden,claude-opus-4-7,evidence_selection,clean,refuted,refuted,1.0,1.0,0.0,empty_support,1,0,1,0,0,0,0,1,1,0,0,0,,uncued_005_d02,,
41,pilot,,uncued_005_visible,uncued_005,neutral_metadata_visible,gemini-3.1-pro-preview,evidence_selection,clean,refuted,refuted,1.0,1.0,0.0,evidence_value_below_threshold,1,0,1,0,1,0,1,1,1,0,0,0,uncued_005_d02,uncued_005_d02,,uncued_005_d02
43,pilot,,uncued_007_visible,uncued_007,neutral_metadata_visible,claude-opus-4-7,evidence_selection,clean,refuted,refuted,1.0,1.0,0.0,empty_support,1,0,1,0,0,0,0,1,1,0,0,0,,uncued_007_d04,,
44,pilot,,uncued_007_hidden,uncued_007,neutral_metadata_hidden,claude-opus-4-7,evidence_selection,clean,refuted,refuted,1.0,1.0,0.0,empty_support,1,0,1,0,0,0,0,1,1,0,0,0,,uncued_007_d04,,
45,pilot,,uncued_005_hidden,uncued_005,neutral_metadata_hidden,gemini-3.1-pro-preview,evidence_selection,clean,refuted,refuted,1.0,1.0,0.0,evidence_value_below_threshold,1,0,1,0,1,0,1,1,1,0,0,0,uncued_005_d02,uncued_005_d02,,uncued_005_d02
51,pilot,,uncued_009_visible,uncued_009,neutral_metadata_visible,claude-opus-4-7,evidence_selection,clean,refuted,refuted,1.0,1.0,0.0,empty_support,1,0,1,0,0,0,0,1,1,0,0,0,,uncued_009_d03,,
52,pilot,,uncued_006_hidden,uncued_006,neutral_metadata_hidden,gemini-3.1-pro-preview,evidence_selection,clean,supported,supported,1.0,1.0,0.0,evidence_value_below_threshold,1,0,1,0,1,0,1,1,1,0,0,0,uncued_006_d03,uncued_006_d03,,uncued_006_d03
54,pilot,,uncued_009_hidden,uncued_009,neutral_metadata_hidden,claude-opus-4-7,evidence_selection,clean,refuted,refuted,1.0,1.0,0.0,empty_support,1,0,1,0,0,0,0,1,1,0,0,0,,uncued_009_d01,,
56,pilot,,uncued_007_visible,uncued_007,neutral_metadata_visible,gemini-3.1-pro-preview,evidence_selection,clean,refuted,refuted,1.0,1.0,0.0,evidence_value_below_threshold,1,0,1,0,1,0,1,1,1,0,0,0,uncued_007_d04,uncued_007_d04,,uncued_007_d04
60,pilot,,uncued_007_hidden,uncued_007,neutral_metadata_hidden,gemini-3.1-pro-preview,evidence_selection,clean,refuted,refuted,1.0,1.0,0.0,evidence_value_below_threshold,1,0,1,0,1,0,1,1,1,0,0,0,uncued_007_d04,uncued_007_d04,,uncued_007_d04
64,pilot,,uncued_008_visible,uncued_008,neutral_metadata_visible,gemini-3.1-pro-preview,evidence_selection,clean,supported,supported,1.0,1.0,0.0,evidence_value_below_threshold,1,0,1,0,1,0,1,1,1,0,0,0,uncued_008_d02,uncued_008_d02,,uncued_008_d02
71,pilot,,uncued_009_visible,uncued_009,neutral_metadata_visible,gemini-3.1-pro-preview,evidence_selection,clean,refuted,refuted,1.0,1.0,0.0,evidence_value_below_threshold,1,0,1,0,1,0,1,1,1,0,0,0,uncued_009_d03,uncued_009_d03,,uncued_009_d03
73,pilot,,uncued_012_visible,uncued_012,neutral_metadata_visible,claude-opus-4-7,packet_judgment,conflicting_evidence,refuted,refuted,1.0,1.0,0.0,dirty_support,1,0,1,1,0,1,0,1,0,0,0,1,uncued_012_d03,"uncued_012_d04,uncued_012_d03,uncued_012_d01",uncued_012_d03,
77,pilot,,uncued_009_hidden,uncued_009,neutral_metadata_hidden,gemini-3.1-pro-preview,evidence_selection,clean,refuted,refuted,1.0,1.0,0.0,evidence_value_below_threshold,1,0,1,0,1,0,1,1,1,0,0,0,uncued_009_d01,uncued_009_d01,,uncued_009_d01
79,pilot,,uncued_013_visible,uncued_013,neutral_metadata_visible,claude-opus-4-7,packet_judgment,conflicting_evidence,refuted,refuted,1.0,1.0,0.0,dirty_support,1,0,1,1,0,1,0,1,1,0,0,1,uncued_013_d01,"uncued_013_d04,uncued_013_d01,uncued_013_d02",uncued_013_d01,
80,pilot,,uncued_013_hidden,uncued_013,neutral_metadata_hidden,claude-opus-4-7,packet_judgment,conflicting_evidence,refuted,refuted,1.0,1.0,0.0,dirty_support,1,0,1,1,0,1,0,1,1,0,0,1,uncued_013_d03,"uncued_013_d04,uncued_013_d03,uncued_013_d01",uncued_013_d03,
86,pilot,,uncued_014_hidden,uncued_014,neutral_metadata_hidden,claude-opus-4-7,packet_judgment,conflicting_evidence,refuted,refuted,1.0,1.0,0.0,dirty_support,1,0,1,1,0,1,0,1,1,0,0,1,uncued_014_d02,"uncued_014_d03,uncued_014_d02,uncued_014_d04",uncued_014_d02,
92,pilot,,uncued_015_visible,uncued_015,neutral_metadata_visible,claude-opus-4-7,packet_judgment,conflicting_evidence,refuted,refuted,1.0,1.0,0.0,dirty_support,1,0,1,1,0,1,0,1,1,0,0,0,uncued_015_d01,"uncued_015_d04,uncued_015_d01",uncued_015_d01,
94,pilot,,uncued_015_hidden,uncued_015,neutral_metadata_hidden,claude-opus-4-7,packet_judgment,conflicting_evidence,refuted,refuted,1.0,1.0,0.0,dirty_support,1,0,1,1,0,1,0,1,1,0,0,1,uncued_015_d04,"uncued_015_d01,uncued_015_d04,uncued_015_d02",uncued_015_d04,
97,pilot,,uncued_016_visible,uncued_016,neutral_metadata_visible,claude-opus-4-7,packet_judgment,conflicting_evidence,refuted,refuted,1.0,1.0,0.0,dirty_support,1,0,1,1,0,1,0,1,1,0,0,0,uncued_016_d04,"uncued_016_d03,uncued_016_d04",uncued_016_d04,
102,pilot,,uncued_017_visible,uncued_017,neutral_metadata_visible,claude-opus-4-7,evidence_selection,conflicting_evidence,refuted,refuted,1.0,1.0,0.0,dirty_support,1,0,1,1,0,1,0,1,1,0,0,0,uncued_017_d03,"uncued_017_d04,uncued_017_d03",uncued_017_d03,
106,pilot,,uncued_017_hidden,uncued_017,neutral_metadata_hidden,claude-opus-4-7,evidence_selection,conflicting_evidence,refuted,refuted,1.0,1.0,0.0,dirty_support,1,0,1,1,0,1,0,1,1,0,0,0,uncued_017_d02,"uncued_017_d01,uncued_017_d02",uncued_017_d02,
108,pilot,,uncued_017_visible,uncued_017,neutral_metadata_visible,gpt-5.5,evidence_selection,conflicting_evidence,refuted,refuted,1.0,1.0,0.0,duplicate_or_same_root_failure,1,0,1,0,1,0,1,1,1,0,0,1,uncued_017_d04,"uncued_017_d04,uncued_017_d03,uncued_017_d01",,uncued_017_d04
109,pilot,,uncued_018_visible,uncued_018,neutral_metadata_visible,claude-opus-4-7,evidence_selection,conflicting_evidence,refuted,refuted,1.0,1.0,0.0,dirty_support,1,0,1,1,0,1,0,1,1,0,0,1,uncued_018_d01,"uncued_018_d04,uncued_018_d01,uncued_018_d02",uncued_018_d01,
111,pilot,,uncued_017_hidden,uncued_017,neutral_metadata_hidden,gpt-5.5,evidence_selection,conflicting_evidence,refuted,refuted,1.0,1.0,0.0,duplicate_or_same_root_failure,1,0,1,0,1,0,1,1,1,0,0,1,"uncued_017_d01,uncued_017_d04","uncued_017_d01,uncued_017_d02,uncued_017_d04",,uncued_017_d01
113,pilot,,uncued_018_visible,uncued_018,neutral_metadata_visible,gpt-5.5,evidence_selection,conflicting_evidence,refuted,refuted,1.0,1.0,0.0,duplicate_or_same_root_failure,1,0,1,0,1,0,1,1,1,0,0,1,uncued_018_d04,"uncued_018_d04,uncued_018_d01,uncued_018_d02",,uncued_018_d04
115,pilot,,uncued_018_hidden,uncued_018,neutral_metadata_hidden,claude-opus-4-7,evidence_selection,conflicting_evidence,refuted,refuted,1.0,1.0,0.0,dirty_support,1,0,1,1,0,1,0,1,1,0,0,0,uncued_018_d01,"uncued_018_d04,uncued_018_d01",uncued_018_d01,
117,pilot,,uncued_018_hidden,uncued_018,neutral_metadata_hidden,gpt-5.5,evidence_selection,conflicting_evidence,refuted,refuted,1.0,1.0,0.0,duplicate_or_same_root_failure,1,0,1,0,1,0,1,1,1,0,0,1,uncued_018_d04,"uncued_018_d04,uncued_018_d01,uncued_018_d02",,uncued_018_d04
118,pilot,,uncued_019_visible,uncued_019,neutral_metadata_visible,claude-opus-4-7,evidence_selection,conflicting_evidence,refuted,refuted,1.0,1.0,0.0,dirty_support,1,0,1,1,0,1,0,1,1,0,0,1,uncued_019_d01,"uncued_019_d04,uncued_019_d01,uncued_019_d02",uncued_019_d01,
119,pilot,,uncued_019_hidden,uncued_019,neutral_metadata_hidden,claude-opus-4-7,evidence_selection,conflicting_evidence,refuted,refuted,1.0,1.0,0.0,evidence_value_below_threshold,1,0,1,0,1,0,1,1,1,0,0,0,uncued_019_d02,"uncued_019_d02,uncued_019_d03",,uncued_019_d02
121,pilot,,uncued_019_visible,uncued_019,neutral_metadata_visible,gpt-5.5,evidence_selection,conflicting_evidence,refuted,refuted,1.0,1.0,0.0,duplicate_or_same_root_failure,1,0,1,0,1,0,1,1,1,0,0,1,"uncued_019_d04,uncued_019_d02","uncued_019_d04,uncued_019_d01,uncued_019_d02",,uncued_019_d04
