row_index,task_id,audit_bucket,condition,family,prompt_condition,question,gold_verdict,prediction_verdict,parse_success,verdict_reasonable,supporting_evidence_actually_supports_verdict,contamination_label_reasonable,rejected_evidence_misclassified_as_support,generated_lore_label_too_strict,scorer_agreement,notes
1,ert_035,generated_lore,generated_lore,packet_judgment,epistemic_hygiene_instruction,Did Novalis Robotics sign a 2024 MiraCert quantum battery certification deal?,insufficient,insufficient,1.0,yes,no,yes,no,no,yes,"Insufficient verdict is reasonable; generated-lore and repost labels fit, but cited support consists of the very polluted sources, not clean support."
2,ert_077,generated_lore,generated_lore,evidence_selection,epistemic_hygiene_instruction,Did Novalis Robotics sign a 2024 MiraCert quantum battery certification deal?,insufficient,insufficient,1.0,yes,no,yes,yes,no,uncertain,"Insufficient verdict is reasonable, but generated/contaminant docs are both rejected or described as weak and still appear in support/selected fields."
3,ert_032,generated_lore,generated_lore,packet_judgment,standard_answer,Is there reliable evidence that Novalis Robotics ran Project LumenShield in 2024?,insufficient,insufficient,1.0,yes,no,yes,no,no,yes,"Insufficient verdict is reasonable; generated-lore and repost labels fit, but cited support consists of the very polluted sources, not clean support."
4,ert_035,generated_lore,generated_lore,packet_judgment,standard_answer,Did Novalis Robotics sign a 2024 MiraCert quantum battery certification deal?,insufficient,insufficient,1.0,yes,no,yes,no,no,yes,"Insufficient verdict is reasonable; generated-lore and repost labels fit, but cited support consists of the very polluted sources, not clean support."
5,ert_039,generated_lore,generated_lore,packet_judgment,standard_answer,Did Novalis Robotics sign a 2024 MiraCert quantum battery certification deal?,insufficient,insufficient,1.0,yes,no,yes,no,no,yes,"Insufficient verdict is reasonable; generated-lore and repost labels fit, but cited support consists of the very polluted sources, not clean support."
6,ert_096,generated_lore,generated_lore,active_verification,standard_answer,Is there reliable evidence that Novalis Robotics ran Project LumenShield in 2024?,insufficient,insufficient,1.0,yes,no,yes,no,no,yes,"Insufficient verdict is reasonable; generated-lore and repost labels fit, but cited support consists of the very polluted sources, not clean support."
7,ert_099,generated_lore,generated_lore,active_verification,standard_answer,Did Novalis Robotics sign a 2024 MiraCert quantum battery certification deal?,insufficient,insufficient,1.0,yes,no,yes,no,no,yes,"Insufficient verdict is reasonable; generated-lore and repost labels fit, but cited support consists of the very polluted sources, not clean support."
8,ert_032,generated_lore,generated_lore,packet_judgment,epistemic_hygiene_instruction,Is there reliable evidence that Novalis Robotics ran Project LumenShield in 2024?,insufficient,insufficient,1.0,yes,no,yes,yes,no,uncertain,"Insufficient verdict is reasonable, but generated/contaminant docs are both rejected or described as weak and still appear in support/selected fields."
9,ert_034,generated_lore,generated_lore,packet_judgment,epistemic_hygiene_instruction,Is there reliable evidence that Novalis Robotics ran Project LumenShield in 2024?,insufficient,insufficient,1.0,yes,no,yes,yes,no,uncertain,"Insufficient verdict is reasonable, but generated/contaminant docs are both rejected or described as weak and still appear in support/selected fields."
10,ert_035,generated_lore,generated_lore,packet_judgment,epistemic_hygiene_instruction,Did Novalis Robotics sign a 2024 MiraCert quantum battery certification deal?,insufficient,insufficient,1.0,yes,no,yes,yes,no,uncertain,"Insufficient verdict is reasonable, but generated/contaminant docs are both rejected or described as weak and still appear in support/selected fields."
11,ert_036,generated_lore,generated_lore,packet_judgment,epistemic_hygiene_instruction,Is there reliable evidence that Novalis Robotics ran Project LumenShield in 2024?,insufficient,insufficient,1.0,yes,no,yes,yes,no,uncertain,"Insufficient verdict is reasonable, but generated/contaminant docs are both rejected or described as weak and still appear in support/selected fields."
12,ert_037,generated_lore,generated_lore,packet_judgment,epistemic_hygiene_instruction,Did Novalis Robotics sign a 2024 MiraCert quantum battery certification deal?,insufficient,insufficient,1.0,yes,no,yes,yes,no,uncertain,"Insufficient verdict is reasonable, but generated/contaminant docs are both rejected or described as weak and still appear in support/selected fields."
13,ert_072,generated_lore,generated_lore,evidence_selection,epistemic_hygiene_instruction,Is there reliable evidence that Novalis Robotics ran Project LumenShield in 2024?,insufficient,insufficient,1.0,yes,no,yes,yes,no,uncertain,"Insufficient verdict is reasonable, but generated/contaminant docs are both rejected or described as weak and still appear in support/selected fields."
14,ert_073,generated_lore,generated_lore,evidence_selection,epistemic_hygiene_instruction,Did Novalis Robotics sign a 2024 MiraCert quantum battery certification deal?,insufficient,insufficient,1.0,yes,no,yes,yes,no,uncertain,"Insufficient verdict is reasonable, but generated/contaminant docs are both rejected or described as weak and still appear in support/selected fields."
15,ert_076,generated_lore,generated_lore,evidence_selection,epistemic_hygiene_instruction,Is there reliable evidence that Novalis Robotics ran Project LumenShield in 2024?,insufficient,insufficient,1.0,yes,no,yes,yes,no,uncertain,"Insufficient verdict is reasonable, but generated/contaminant docs are both rejected or described as weak and still appear in support/selected fields."
16,ert_077,generated_lore,generated_lore,evidence_selection,epistemic_hygiene_instruction,Did Novalis Robotics sign a 2024 MiraCert quantum battery certification deal?,insufficient,insufficient,1.0,yes,no,yes,yes,no,uncertain,"Insufficient verdict is reasonable, but generated/contaminant docs are both rejected or described as weak and still appear in support/selected fields."
17,ert_079,generated_lore,generated_lore,evidence_selection,epistemic_hygiene_instruction,Did Novalis Robotics sign a 2024 MiraCert quantum battery certification deal?,insufficient,insufficient,1.0,yes,no,yes,yes,no,uncertain,"Insufficient verdict is reasonable, but generated/contaminant docs are both rejected or described as weak and still appear in support/selected fields."
18,ert_098,generated_lore,generated_lore,active_verification,epistemic_hygiene_instruction,Is there reliable evidence that Novalis Robotics ran Project LumenShield in 2024?,insufficient,insufficient,1.0,yes,no,yes,yes,no,uncertain,"Insufficient verdict is reasonable, but generated/contaminant docs are both rejected or described as weak and still appear in support/selected fields."
19,ert_032,generated_lore,generated_lore,packet_judgment,standard_answer,Is there reliable evidence that Novalis Robotics ran Project LumenShield in 2024?,insufficient,insufficient,1.0,yes,no,yes,yes,no,uncertain,"Insufficient verdict is reasonable, but generated/contaminant docs are both rejected or described as weak and still appear in support/selected fields."
20,ert_033,generated_lore,generated_lore,packet_judgment,standard_answer,Did Novalis Robotics sign a 2024 MiraCert quantum battery certification deal?,insufficient,insufficient,1.0,yes,no,yes,yes,no,uncertain,"Insufficient verdict is reasonable, but generated/contaminant docs are both rejected or described as weak and still appear in support/selected fields."
21,ert_018,false_consensus,false_consensus,packet_judgment,epistemic_hygiene_instruction,Did Novalis Robotics reduce its 2024 recall rate below two percent?,refuted,refuted,1.0,yes,uncertain,yes,yes,no,uncertain,"Refutation is well supported by primary 3.8% records; repeated 1.7% items are reasonably labeled contaminant, but a rejected contaminant is mixed into support/selection."
22,ert_019,false_consensus,false_consensus,packet_judgment,epistemic_hygiene_instruction,Did Novalis Robotics reduce its 2024 recall rate below two percent?,refuted,refuted,1.0,yes,uncertain,yes,yes,no,uncertain,"Refutation is well supported by primary 3.8% records; repeated 1.7% items are reasonably labeled contaminant, but a rejected contaminant is mixed into support/selection."
23,ert_021,false_consensus,false_consensus,packet_judgment,epistemic_hygiene_instruction,Did Novalis Robotics reduce its 2024 recall rate below two percent?,refuted,refuted,1.0,yes,uncertain,yes,yes,no,uncertain,"Refutation is well supported by primary 3.8% records; repeated 1.7% items are reasonably labeled contaminant, but a rejected contaminant is mixed into support/selection."
24,ert_022,false_consensus,false_consensus,packet_judgment,epistemic_hygiene_instruction,Did Novalis Robotics reduce its 2024 recall rate below two percent?,refuted,refuted,1.0,yes,uncertain,yes,yes,no,uncertain,"Refutation is well supported by primary 3.8% records; repeated 1.7% items are reasonably labeled contaminant, but a rejected contaminant is mixed into support/selection."
25,ert_088,false_consensus,false_consensus,active_verification,epistemic_hygiene_instruction,Did Novalis Robotics reduce its 2024 recall rate below two percent?,refuted,refuted,1.0,yes,uncertain,yes,yes,no,uncertain,"Refutation is well supported by primary 3.8% records; repeated 1.7% items are reasonably labeled contaminant, but a rejected contaminant is mixed into support/selection."
26,ert_090,false_consensus,false_consensus,active_verification,epistemic_hygiene_instruction,Did Novalis Robotics reduce its 2024 recall rate below two percent?,refuted,refuted,1.0,yes,uncertain,yes,yes,no,uncertain,"Refutation is well supported by primary 3.8% records; repeated 1.7% items are reasonably labeled contaminant, but a rejected contaminant is mixed into support/selection."
27,ert_091,false_consensus,false_consensus,active_verification,epistemic_hygiene_instruction,Did Novalis Robotics reduce its 2024 recall rate below two percent?,refuted,refuted,1.0,yes,uncertain,yes,yes,no,uncertain,"Refutation is well supported by primary 3.8% records; repeated 1.7% items are reasonably labeled contaminant, but a rejected contaminant is mixed into support/selection."
28,ert_016,false_consensus,false_consensus,packet_judgment,standard_answer,Did Novalis Robotics reduce its 2024 recall rate below two percent?,refuted,refuted,1.0,yes,uncertain,yes,yes,no,uncertain,"Refutation is well supported by primary 3.8% records; repeated 1.7% items are reasonably labeled contaminant, but a rejected contaminant is mixed into support/selection."
29,ert_017,false_consensus,false_consensus,packet_judgment,standard_answer,Did Novalis Robotics reduce its 2024 recall rate below two percent?,refuted,refuted,1.0,yes,uncertain,yes,yes,no,uncertain,"Refutation is well supported by primary 3.8% records; repeated 1.7% items are reasonably labeled contaminant, but a rejected contaminant is mixed into support/selection."
30,ert_018,false_consensus,false_consensus,packet_judgment,standard_answer,Did Novalis Robotics reduce its 2024 recall rate below two percent?,refuted,refuted,1.0,yes,uncertain,yes,yes,no,uncertain,"Refutation is well supported by primary 3.8% records; repeated 1.7% items are reasonably labeled contaminant, but a rejected contaminant is mixed into support/selection."
31,ert_020,false_consensus,false_consensus,packet_judgment,standard_answer,Did Novalis Robotics reduce its 2024 recall rate below two percent?,refuted,refuted,1.0,yes,uncertain,yes,yes,no,uncertain,"Refutation is well supported by primary 3.8% records; repeated 1.7% items are reasonably labeled contaminant, but a rejected contaminant is mixed into support/selection."
32,ert_021,false_consensus,false_consensus,packet_judgment,standard_answer,Did Novalis Robotics reduce its 2024 recall rate below two percent?,refuted,refuted,1.0,yes,uncertain,yes,yes,no,uncertain,"Refutation is well supported by primary 3.8% records; repeated 1.7% items are reasonably labeled contaminant, but a rejected contaminant is mixed into support/selection."
33,ert_022,false_consensus,false_consensus,packet_judgment,standard_answer,Did Novalis Robotics reduce its 2024 recall rate below two percent?,refuted,refuted,1.0,yes,uncertain,yes,yes,no,uncertain,"Refutation is well supported by primary 3.8% records; repeated 1.7% items are reasonably labeled contaminant, but a rejected contaminant is mixed into support/selection."
34,ert_023,false_consensus,false_consensus,packet_judgment,standard_answer,Did Novalis Robotics reduce its 2024 recall rate below two percent?,refuted,refuted,1.0,yes,uncertain,yes,yes,no,uncertain,"Refutation is well supported by primary 3.8% records; repeated 1.7% items are reasonably labeled contaminant, but a rejected contaminant is mixed into support/selection."
35,ert_088,false_consensus,false_consensus,active_verification,standard_answer,Did Novalis Robotics reduce its 2024 recall rate below two percent?,refuted,refuted,1.0,yes,uncertain,yes,yes,no,uncertain,"Refutation is well supported by primary 3.8% records; repeated 1.7% items are reasonably labeled contaminant, but a rejected contaminant is mixed into support/selection."
36,ert_090,false_consensus,false_consensus,active_verification,standard_answer,Did Novalis Robotics reduce its 2024 recall rate below two percent?,refuted,refuted,1.0,yes,uncertain,yes,yes,no,uncertain,"Refutation is well supported by primary 3.8% records; repeated 1.7% items are reasonably labeled contaminant, but a rejected contaminant is mixed into support/selection."
37,ert_091,false_consensus,false_consensus,active_verification,standard_answer,Did Novalis Robotics reduce its 2024 recall rate below two percent?,refuted,refuted,1.0,yes,uncertain,yes,yes,no,uncertain,"Refutation is well supported by primary 3.8% records; repeated 1.7% items are reasonably labeled contaminant, but a rejected contaminant is mixed into support/selection."
38,ert_057,false_consensus,false_consensus,evidence_selection,standard_answer,Did Novalis Robotics reduce its 2024 recall rate below two percent?,refuted,refuted,1.0,yes,uncertain,yes,yes,no,uncertain,"Refutation is well supported by primary 3.8% records; repeated 1.7% items are reasonably labeled contaminant, but a rejected contaminant is mixed into support/selection."
39,ert_056,false_consensus,false_consensus,evidence_selection,epistemic_hygiene_instruction,Did Novalis Robotics reduce its 2024 recall rate below two percent?,refuted,refuted,1.0,yes,uncertain,yes,yes,no,uncertain,"Refutation is well supported by primary 3.8% records; repeated 1.7% items are reasonably labeled contaminant, but a rejected contaminant is mixed into support/selection."
40,ert_057,false_consensus,false_consensus,evidence_selection,epistemic_hygiene_instruction,Did Novalis Robotics reduce its 2024 recall rate below two percent?,refuted,refuted,1.0,yes,uncertain,yes,yes,no,uncertain,"Refutation is well supported by primary 3.8% records; repeated 1.7% items are reasonably labeled contaminant, but a rejected contaminant is mixed into support/selection."
