task_id,view,doc_id,title,source_type,timestamp,body_excerpt,reviewer_can_guess_role_from_surface,reviewer_role_guess,reviewer_can_guess_answer_without_relation,severe_leakage,leakage_reason,notes,review_mode
uncued_010,neutral_metadata_visible,uncued_010_d04,Service Ledger Extract,timeline note,2025-02-16,"A routing note lists Harbor Annex as the site for the Nova pump refurbishments workstream. The note does not provide a closing count. The note uses the same site code, workstream name, and monthly close date as the surrounding packet so that relation checks de",no,unknown,no,no,,"No role-label or direct-answer cue was visible in the reviewed title, metadata, or excerpt.",local_pre_model_surface_review
uncued_010,neutral_metadata_visible,uncued_010_d03,Operations Timeline Note,operations memo,2025-02-15,"A shift memo mentions that Nova pump refurbishments work was concentrated in the final week of July 2025. It tracks handoff timing but not the final tally. The note uses the same site code, workstream name, and monthly close date as the surrounding packet so t",no,unknown,no,no,,"No role-label or direct-answer cue was visible in the reviewed title, metadata, or excerpt.",local_pre_model_surface_review
uncued_010,neutral_metadata_visible,uncued_010_d02,Program Registry Entry,registry entry,2025-02-14,"A planning note for Nova pump refurbishments describes the inspection route at Harbor Annex during July 2025. It gives staffing context and does not include a final monthly count. The note uses the same site code, workstream name, and monthly close date as the",no,unknown,no,no,,"No role-label or direct-answer cue was visible in the reviewed title, metadata, or excerpt.",local_pre_model_surface_review
uncued_010,neutral_metadata_visible,uncued_010_d01,Field Summary Memo,field note,2025-02-13,"The monthly ledger for Harbor Annex lists 118 completed refurbishments for Nova pump refurbishments in July 2025. The entry is dated after the close of the month and uses the same work order code as the question. The note uses the same site code, workstream na",no,unknown,no,no,,"No role-label or direct-answer cue was visible in the reviewed title, metadata, or excerpt.",local_pre_model_surface_review
uncued_010,neutral_metadata_hidden,uncued_010_d01,Document 1,document,2025-02-16,"A routing note lists Harbor Annex as the site for the Nova pump refurbishments workstream. The note does not provide a closing count. The note uses the same site code, workstream name, and monthly close date as the surrounding packet so that relation checks de",no,unknown,no,no,,"No role-label or direct-answer cue was visible in the reviewed title, metadata, or excerpt.",local_pre_model_surface_review
uncued_010,neutral_metadata_hidden,uncued_010_d03,Document 2,document,2025-02-13,"The monthly ledger for Harbor Annex lists 118 completed refurbishments for Nova pump refurbishments in July 2025. The entry is dated after the close of the month and uses the same work order code as the question. The note uses the same site code, workstream na",no,unknown,no,no,,"No role-label or direct-answer cue was visible in the reviewed title, metadata, or excerpt.",local_pre_model_surface_review
uncued_010,neutral_metadata_hidden,uncued_010_d02,Document 3,document,2025-02-14,"A planning note for Nova pump refurbishments describes the inspection route at Harbor Annex during July 2025. It gives staffing context and does not include a final monthly count. The note uses the same site code, workstream name, and monthly close date as the",no,unknown,no,no,,"No role-label or direct-answer cue was visible in the reviewed title, metadata, or excerpt.",local_pre_model_surface_review
uncued_010,neutral_metadata_hidden,uncued_010_d04,Document 4,document,2025-02-15,"A shift memo mentions that Nova pump refurbishments work was concentrated in the final week of July 2025. It tracks handoff timing but not the final tally. The note uses the same site code, workstream name, and monthly close date as the surrounding packet so t",no,unknown,no,no,,"No role-label or direct-answer cue was visible in the reviewed title, metadata, or excerpt.",local_pre_model_surface_review
uncued_011,neutral_metadata_visible,uncued_011_d03,Service Ledger Extract,field note,2025-03-13,"The monthly ledger for Ridgeway bench lists 76 approved checks for Kestrel firmware checks in August 2025. No line in the packet lists 101 for this workstream. The note uses the same site code, workstream name, and monthly close date as the surrounding packet ",no,unknown,no,no,,"No role-label or direct-answer cue was visible in the reviewed title, metadata, or excerpt.",local_pre_model_surface_review
uncued_011,neutral_metadata_visible,uncued_011_d04,Operations Timeline Note,operations memo,2025-03-15,"A routing note gives the work order code for Kestrel firmware checks. It omits the final count. The note uses the same site code, workstream name, and monthly close date as the surrounding packet so that relation checks depend on the stated values rather than ",no,unknown,no,no,,"No role-label or direct-answer cue was visible in the reviewed title, metadata, or excerpt.",local_pre_model_surface_review
uncued_011,neutral_metadata_visible,uncued_011_d01,Program Registry Entry,registry entry,2025-03-14,"A staffing note for Kestrel firmware checks names the same site and month. It does not report the closing count. The note uses the same site code, workstream name, and monthly close date as the surrounding packet so that relation checks depend on the stated va",no,unknown,no,no,,"No role-label or direct-answer cue was visible in the reviewed title, metadata, or excerpt.",local_pre_model_surface_review
uncued_011,neutral_metadata_visible,uncued_011_d02,Field Summary Memo,timeline note,2025-03-16,"A brief memo says the closeout was filed after the last weekend of August 2025. It does not state a number. The note uses the same site code, workstream name, and monthly close date as the surrounding packet so that relation checks depend on the stated values ",no,unknown,no,no,,"No role-label or direct-answer cue was visible in the reviewed title, metadata, or excerpt.",local_pre_model_surface_review
uncued_011,neutral_metadata_hidden,uncued_011_d01,Document 1,document,2025-03-15,"A routing note gives the work order code for Kestrel firmware checks. It omits the final count. The note uses the same site code, workstream name, and monthly close date as the surrounding packet so that relation checks depend on the stated values rather than ",no,unknown,no,no,,"No role-label or direct-answer cue was visible in the reviewed title, metadata, or excerpt.",local_pre_model_surface_review
uncued_011,neutral_metadata_hidden,uncued_011_d04,Document 2,document,2025-03-14,"A staffing note for Kestrel firmware checks names the same site and month. It does not report the closing count. The note uses the same site code, workstream name, and monthly close date as the surrounding packet so that relation checks depend on the stated va",no,unknown,no,no,,"No role-label or direct-answer cue was visible in the reviewed title, metadata, or excerpt.",local_pre_model_surface_review
uncued_011,neutral_metadata_hidden,uncued_011_d03,Document 3,document,2025-03-13,"The monthly ledger for Ridgeway bench lists 76 approved checks for Kestrel firmware checks in August 2025. No line in the packet lists 101 for this workstream. The note uses the same site code, workstream name, and monthly close date as the surrounding packet ",no,unknown,no,no,,"No role-label or direct-answer cue was visible in the reviewed title, metadata, or excerpt.",local_pre_model_surface_review
uncued_011,neutral_metadata_hidden,uncued_011_d02,Document 4,document,2025-03-16,"A brief memo says the closeout was filed after the last weekend of August 2025. It does not state a number. The note uses the same site code, workstream name, and monthly close date as the surrounding packet so that relation checks depend on the stated values ",no,unknown,no,no,,"No role-label or direct-answer cue was visible in the reviewed title, metadata, or excerpt.",local_pre_model_surface_review
uncued_022,neutral_metadata_visible,uncued_022_d01,Service Ledger Extract,timeline note,2025-05-16,"A scheduling memo says the Nova pump refurbishments closeout was delayed by one day. It contains no total. The note uses the same site code, workstream name, and monthly close date as the surrounding packet so that relation checks depend on the stated values r",no,unknown,no,no,,"No role-label or direct-answer cue was visible in the reviewed title, metadata, or excerpt.",local_pre_model_surface_review
uncued_022,neutral_metadata_visible,uncued_022_d02,Operations Timeline Note,operations memo,2025-05-15,"A routing note for Harbor Annex records when the Nova pump refurbishments packet was assembled. It gives chronology but not the final count. The note uses the same site code, workstream name, and monthly close date as the surrounding packet so that relation ch",no,unknown,no,no,,"No role-label or direct-answer cue was visible in the reviewed title, metadata, or excerpt.",local_pre_model_surface_review
uncued_022,neutral_metadata_visible,uncued_022_d03,Program Registry Entry,registry entry,2025-05-14,"A short operations digest says the Nova pump refurbishments count reached 139 in July 2025. The digest cites no visible row beyond the packet references. The note uses the same site code, workstream name, and monthly close date as the surrounding packet so tha",no,unknown,no,no,,"No role-label or direct-answer cue was visible in the reviewed title, metadata, or excerpt.",local_pre_model_surface_review
uncued_022,neutral_metadata_visible,uncued_022_d04,Field Summary Memo,field note,2025-05-13,"The month-close ledger for Harbor Annex lists 118 completed refurbishments for Nova pump refurbishments in July 2025. The row uses the same workstream name as the claim but a different count from 139. The note uses the same site code, workstream name, and mont",no,unknown,no,no,,"No role-label or direct-answer cue was visible in the reviewed title, metadata, or excerpt.",local_pre_model_surface_review
uncued_022,neutral_metadata_hidden,uncued_022_d03,Document 1,document,2025-05-16,"A scheduling memo says the Nova pump refurbishments closeout was delayed by one day. It contains no total. The note uses the same site code, workstream name, and monthly close date as the surrounding packet so that relation checks depend on the stated values r",no,unknown,no,no,,"No role-label or direct-answer cue was visible in the reviewed title, metadata, or excerpt.",local_pre_model_surface_review
uncued_022,neutral_metadata_hidden,uncued_022_d02,Document 2,document,2025-05-14,"A short operations digest says the Nova pump refurbishments count reached 139 in July 2025. The digest cites no visible row beyond the packet references. The note uses the same site code, workstream name, and monthly close date as the surrounding packet so tha",no,unknown,no,no,,"No role-label or direct-answer cue was visible in the reviewed title, metadata, or excerpt.",local_pre_model_surface_review
uncued_022,neutral_metadata_hidden,uncued_022_d01,Document 3,document,2025-05-15,"A routing note for Harbor Annex records when the Nova pump refurbishments packet was assembled. It gives chronology but not the final count. The note uses the same site code, workstream name, and monthly close date as the surrounding packet so that relation ch",no,unknown,no,no,,"No role-label or direct-answer cue was visible in the reviewed title, metadata, or excerpt.",local_pre_model_surface_review
uncued_022,neutral_metadata_hidden,uncued_022_d04,Document 4,document,2025-05-13,"The month-close ledger for Harbor Annex lists 118 completed refurbishments for Nova pump refurbishments in July 2025. The row uses the same workstream name as the claim but a different count from 139. The note uses the same site code, workstream name, and mont",no,unknown,no,no,,"No role-label or direct-answer cue was visible in the reviewed title, metadata, or excerpt.",local_pre_model_surface_review
uncued_023,neutral_metadata_visible,uncued_023_d03,Service Ledger Extract,timeline note,2025-06-16,"A scheduling memo says the Kestrel firmware checks closeout was delayed by one day. It contains no total. The note uses the same site code, workstream name, and monthly close date as the surrounding packet so that relation checks depend on the stated values ra",no,unknown,no,no,,"No role-label or direct-answer cue was visible in the reviewed title, metadata, or excerpt.",local_pre_model_surface_review
uncued_023,neutral_metadata_visible,uncued_023_d02,Operations Timeline Note,field note,2025-06-13,"The month-close ledger for Ridgeway bench lists 76 approved checks for Kestrel firmware checks in August 2025. The row uses the same workstream name as the claim but a different count from 101. The note uses the same site code, workstream name, and monthly clo",no,unknown,no,no,,"No role-label or direct-answer cue was visible in the reviewed title, metadata, or excerpt.",local_pre_model_surface_review
uncued_023,neutral_metadata_visible,uncued_023_d04,Program Registry Entry,operations memo,2025-06-15,"A routing note for Ridgeway bench records when the Kestrel firmware checks packet was assembled. It gives chronology but not the final count. The note uses the same site code, workstream name, and monthly close date as the surrounding packet so that relation c",no,unknown,no,no,,"No role-label or direct-answer cue was visible in the reviewed title, metadata, or excerpt.",local_pre_model_surface_review
uncued_023,neutral_metadata_visible,uncued_023_d01,Field Summary Memo,registry entry,2025-06-14,"A short operations digest says the Kestrel firmware checks count reached 101 in August 2025. The digest cites no visible row beyond the packet references. The note uses the same site code, workstream name, and monthly close date as the surrounding packet so th",no,unknown,no,no,,"No role-label or direct-answer cue was visible in the reviewed title, metadata, or excerpt.",local_pre_model_surface_review
uncued_023,neutral_metadata_hidden,uncued_023_d04,Document 1,document,2025-06-15,"A routing note for Ridgeway bench records when the Kestrel firmware checks packet was assembled. It gives chronology but not the final count. The note uses the same site code, workstream name, and monthly close date as the surrounding packet so that relation c",no,unknown,no,no,,"No role-label or direct-answer cue was visible in the reviewed title, metadata, or excerpt.",local_pre_model_surface_review
uncued_023,neutral_metadata_hidden,uncued_023_d02,Document 2,document,2025-06-13,"The month-close ledger for Ridgeway bench lists 76 approved checks for Kestrel firmware checks in August 2025. The row uses the same workstream name as the claim but a different count from 101. The note uses the same site code, workstream name, and monthly clo",no,unknown,no,no,,"No role-label or direct-answer cue was visible in the reviewed title, metadata, or excerpt.",local_pre_model_surface_review
uncued_023,neutral_metadata_hidden,uncued_023_d03,Document 3,document,2025-06-14,"A short operations digest says the Kestrel firmware checks count reached 101 in August 2025. The digest cites no visible row beyond the packet references. The note uses the same site code, workstream name, and monthly close date as the surrounding packet so th",no,unknown,no,no,,"No role-label or direct-answer cue was visible in the reviewed title, metadata, or excerpt.",local_pre_model_surface_review
uncued_023,neutral_metadata_hidden,uncued_023_d01,Document 4,document,2025-06-16,"A scheduling memo says the Kestrel firmware checks closeout was delayed by one day. It contains no total. The note uses the same site code, workstream name, and monthly close date as the surrounding packet so that relation checks depend on the stated values ra",no,unknown,no,no,,"No role-label or direct-answer cue was visible in the reviewed title, metadata, or excerpt.",local_pre_model_surface_review
uncued_034,neutral_metadata_visible,uncued_034_d02,Service Ledger Extract,registry entry,2025-08-14,"A weekly digest repeats that Nova pump refurbishments reached 139 completed refurbishments in July 2025. The digest points to the same earlier bulletin used by another note in the packet. The note uses the same site code, workstream name, and monthly close dat",no,unknown,no,no,,"No role-label or direct-answer cue was visible in the reviewed title, metadata, or excerpt.",local_pre_model_surface_review
uncued_034,neutral_metadata_visible,uncued_034_d01,Operations Timeline Note,timeline note,2025-08-16,"A site memo for Harbor Annex lists the workstream and month. It does not contain a final count. The note uses the same site code, workstream name, and monthly close date as the surrounding packet so that relation checks depend on the stated values rather than ",no,unknown,no,no,,"No role-label or direct-answer cue was visible in the reviewed title, metadata, or excerpt.",local_pre_model_surface_review
uncued_034,neutral_metadata_visible,uncued_034_d03,Program Registry Entry,field note,2025-08-13,"The closing ledger for Harbor Annex gives 118 completed refurbishments for Nova pump refurbishments in July 2025. The ledger row is the only visible row with a final count different from 139. The note uses the same site code, workstream name, and monthly close",no,unknown,no,no,,"No role-label or direct-answer cue was visible in the reviewed title, metadata, or excerpt.",local_pre_model_surface_review
uncued_034,neutral_metadata_visible,uncued_034_d04,Field Summary Memo,operations memo,2025-08-15,"A partner summary also gives 139 for Nova pump refurbishments in July 2025. Its visible citation points back to the weekly digest rather than to a separate count sheet. The note uses the same site code, workstream name, and monthly close date as the surroundin",no,unknown,no,no,,"No role-label or direct-answer cue was visible in the reviewed title, metadata, or excerpt.",local_pre_model_surface_review
uncued_034,neutral_metadata_hidden,uncued_034_d02,Document 1,document,2025-08-15,"A partner summary also gives 139 for Nova pump refurbishments in July 2025. Its visible citation points back to the weekly digest rather than to a separate count sheet. The note uses the same site code, workstream name, and monthly close date as the surroundin",no,unknown,no,no,,"No role-label or direct-answer cue was visible in the reviewed title, metadata, or excerpt.",local_pre_model_surface_review
uncued_034,neutral_metadata_hidden,uncued_034_d01,Document 2,document,2025-08-16,"A site memo for Harbor Annex lists the workstream and month. It does not contain a final count. The note uses the same site code, workstream name, and monthly close date as the surrounding packet so that relation checks depend on the stated values rather than ",no,unknown,no,no,,"No role-label or direct-answer cue was visible in the reviewed title, metadata, or excerpt.",local_pre_model_surface_review
uncued_034,neutral_metadata_hidden,uncued_034_d03,Document 3,document,2025-08-13,"The closing ledger for Harbor Annex gives 118 completed refurbishments for Nova pump refurbishments in July 2025. The ledger row is the only visible row with a final count different from 139. The note uses the same site code, workstream name, and monthly close",no,unknown,no,no,,"No role-label or direct-answer cue was visible in the reviewed title, metadata, or excerpt.",local_pre_model_surface_review
uncued_034,neutral_metadata_hidden,uncued_034_d04,Document 4,document,2025-08-14,"A weekly digest repeats that Nova pump refurbishments reached 139 completed refurbishments in July 2025. The digest points to the same earlier bulletin used by another note in the packet. The note uses the same site code, workstream name, and monthly close dat",no,unknown,no,no,,"No role-label or direct-answer cue was visible in the reviewed title, metadata, or excerpt.",local_pre_model_surface_review
uncued_035,neutral_metadata_visible,uncued_035_d01,Service Ledger Extract,timeline note,2025-09-16,"A site memo for Ridgeway bench lists the workstream and month. It does not contain a final count. The note uses the same site code, workstream name, and monthly close date as the surrounding packet so that relation checks depend on the stated values rather tha",no,unknown,no,no,,"No role-label or direct-answer cue was visible in the reviewed title, metadata, or excerpt.",local_pre_model_surface_review
uncued_035,neutral_metadata_visible,uncued_035_d04,Operations Timeline Note,registry entry,2025-09-14,"A weekly digest repeats that Kestrel firmware checks reached 101 approved checks in August 2025. The digest points to the same earlier bulletin used by another note in the packet. The note uses the same site code, workstream name, and monthly close date as the",no,unknown,no,no,,"No role-label or direct-answer cue was visible in the reviewed title, metadata, or excerpt.",local_pre_model_surface_review
uncued_035,neutral_metadata_visible,uncued_035_d03,Program Registry Entry,operations memo,2025-09-15,"A partner summary also gives 101 for Kestrel firmware checks in August 2025. Its visible citation points back to the weekly digest rather than to a separate count sheet. The note uses the same site code, workstream name, and monthly close date as the surroundi",no,unknown,no,no,,"No role-label or direct-answer cue was visible in the reviewed title, metadata, or excerpt.",local_pre_model_surface_review
uncued_035,neutral_metadata_visible,uncued_035_d02,Field Summary Memo,field note,2025-09-13,"The closing ledger for Ridgeway bench gives 76 approved checks for Kestrel firmware checks in August 2025. The ledger row is the only visible row with a final count different from 101. The note uses the same site code, workstream name, and monthly close date a",no,unknown,no,no,,"No role-label or direct-answer cue was visible in the reviewed title, metadata, or excerpt.",local_pre_model_surface_review
