model,budget_setting,family,n,operational_epistemic_escape,conditional_epistemic_escape,parse_success,belief_correctness,evidence_cleanliness,uncertainty_discipline,verification_action_score,visible_output_tokens,answer_word_count,evidence_assessment_word_count,max_action_rationale_word_count,overlength_rate,cost_usd
deepseek-v4-pro,cap_4096_diagnostic,active_verification,4,0.75,0.75,1.0,0.75,1.0,0.75,0.5833333333333333,396.0,47.5,60.25,19.0,0.0,0.0035120625
deepseek-v4-pro,cap_4096_diagnostic,evidence_selection,8,0.875,0.875,1.0,1.0,1.0,1.0,0.0,403.625,40.875,60.375,18.5,0.0,0.0040493125
deepseek-v4-pro,cap_4096_diagnostic,packet_judgment,8,1.0,1.0,1.0,1.0,1.0,1.0,0.0,380.25,33.375,56.25,18.25,0.0,0.00448703125
deepseek-v4-pro,cap_8192,active_verification,4,0.5,0.6666666666666666,0.75,0.5,1.0,0.5,0.41666666666666663,270.25,29.333333333333332,48.666666666666664,19.666666666666668,0.0,0.0038485625000000004
deepseek-v4-pro,cap_8192,evidence_selection,8,0.5,0.6666666666666666,0.75,0.75,1.0,0.75,0.0,280.5,32.0,57.333333333333336,19.5,0.0,0.0036960625
deepseek-v4-pro,cap_8192,packet_judgment,8,1.0,1.0,1.0,1.0,1.0,1.0,0.0,404.5,48.125,59.25,17.75,0.0,0.00427378125
deepseek-v4-pro,no_cap,active_verification,4,0.75,0.75,1.0,0.75,1.0,0.75,0.5,429.0,39.5,69.0,24.25,0.0,0.0042435625
deepseek-v4-pro,no_cap,evidence_selection,8,0.875,0.875,1.0,1.0,1.0,1.0,0.0,401.0,38.125,60.75,18.625,0.0,0.0038405625
deepseek-v4-pro,no_cap,packet_judgment,8,1.0,1.0,1.0,1.0,1.0,1.0,0.0,419.0,50.125,60.375,19.25,0.0,0.00435103125
kimi-k2.6,cap_4096_diagnostic,active_verification,4,0.0,0.0,0.5,0.25,1.0,0.25,0.25,279.5,47.0,46.5,28.5,0.0,0.007955
kimi-k2.6,cap_4096_diagnostic,evidence_selection,8,0.125,0.5,0.25,0.25,1.0,0.25,0.0,100.375,43.0,48.5,26.5,0.0,0.008450625
kimi-k2.6,cap_4096_diagnostic,packet_judgment,8,0.5,1.0,0.5,0.625,1.0,0.625,0.0,246.5,50.75,60.0,13.75,0.0,0.0081819375
kimi-k2.6,cap_8192,active_verification,4,0.25,0.25,1.0,0.75,1.0,0.75,0.3333333333333333,384.5,46.0,55.25,18.5,0.0,0.009724
kimi-k2.6,cap_8192,evidence_selection,8,0.75,0.8571428571428571,0.875,0.875,1.0,0.875,0.0,340.875,56.57142857142857,60.57142857142857,19.0,0.0,0.011504875
kimi-k2.6,cap_8192,packet_judgment,8,1.0,1.0,1.0,1.0,1.0,1.0,0.0,377.625,51.75,59.25,16.25,0.0,0.0089031875
kimi-k2.6,no_cap,active_verification,4,0.25,0.25,1.0,0.75,1.0,0.75,0.41666666666666663,325.5,42.25,42.75,14.75,0.0,0.007494
kimi-k2.6,no_cap,evidence_selection,8,0.875,0.875,1.0,1.0,1.0,1.0,0.0,447.875,53.125,63.75,23.0,0.0,0.010347875
kimi-k2.6,no_cap,packet_judgment,8,1.0,1.0,1.0,1.0,1.0,1.0,0.0,350.75,47.625,57.0,15.75,0.0,0.009700687500000001
