row_id,task_id,base_task_id,model,view,condition,family,gold_verdict,predicted_verdict,selected_evidence,supporting_evidence,rejected_evidence,actions,automatic_scores,human_belief_correctness_agrees,human_evidence_precision_agrees,human_clean_support_recall_agrees,human_polluted_support_rate_agrees,human_uncertainty_discipline_agrees,human_required_action_recall_agrees,human_operational_escape_agrees,disagreement_reason,scorer_fix_needed
scorer_audit_001,uncued_045_hidden,uncued_045,claude-opus-4-7,neutral_metadata_hidden,buried_primary,evidence_selection,supported,supported,"uncued_045_d04,uncued_045_d03,uncued_045_d01",uncued_045_d04,uncued_045_d03,"[{""action"": ""compare_versions"", ""target"": ""uncued_045_d04 vs uncued_045_d03"", ""rationale"": ""Reconcile the 42 closeout figure against the 57 running estimate to confirm the final number.""}, {""action"": ""trace_source"", ""target"": ""uncued_045_d03"", ""rationale"": ""uncued_045_d03 cites uncued_045_d01 (planning memo) which has no final count, weakening the 57 estimate.""}]","{""belief_correctness"": ""1.0"", ""clean_support_recall"": ""1.0"", ""evidence_precision"": ""1.0"", ""operational_epistemic_escape"": ""0.0"", ""polluted_support_rate"": ""0.0"", ""required_action_recall"": """", ""uncertainty_discipline"": ""1.0""}",yes,yes,yes,yes,yes,yes,yes,,no
scorer_audit_002,uncued_040_visible,uncued_040,claude-opus-4-7,neutral_metadata_visible,buried_primary,packet_judgment,supported,supported,"uncued_040_d02,uncued_040_d04",uncued_040_d02,"uncued_040_d04,uncued_040_d01,uncued_040_d03","[{""action"": ""compare_versions"", ""target"": ""uncued_040_d02 vs uncued_040_d04"", ""rationale"": ""Closeout ledger (118) and digest estimate (139) disagree; the closeout uses the final close date and is authoritative over a running estimate.""}, {""action"": ""trace_source"", ""target"": ""uncued_040_d04"", ""rationale"": ""uncued_040_d04 cites uncued_040_d01, a pre-close planning memo with no final number, weakening the 139 estimate.""}]","{""belief_correctness"": ""1.0"", ""clean_support_recall"": ""1.0"", ""evidence_precision"": ""1.0"", ""operational_epistemic_escape"": ""1.0"", ""polluted_support_rate"": ""0.0"", ""required_action_recall"": """", ""uncertainty_discipline"": ""1.0""}",yes,yes,yes,yes,yes,yes,yes,,no
scorer_audit_003,uncued_009_hidden,uncued_009,claude-opus-4-7,neutral_metadata_hidden,clean,evidence_selection,refuted,refuted,uncued_009_d01,,"uncued_009_d03,uncued_009_d04,uncued_009_d02","[{""action"": ""compare_versions"", ""target"": ""uncued_009_d01"", ""rationale"": ""Confirm the ledger value of 42 against any alternative monthly ledger entry to ensure no superseding count exists.""}, {""action"": ""search_primary"", ""target"": ""Vega rail inspections June 2025 closeout count"", ""rationale"": ""Verify the official accepted-inspections count via a primary source beyond the ledger.""}]","{""belief_correctness"": ""1.0"", ""clean_support_recall"": ""0.0"", ""evidence_precision"": """", ""operational_epistemic_escape"": ""0.0"", ""polluted_support_rate"": ""0.0"", ""required_action_recall"": """", ""uncertainty_discipline"": ""1.0""}",yes,yes,yes,yes,yes,yes,yes,,no
scorer_audit_004,uncued_004_visible,uncued_004,claude-opus-4-7,neutral_metadata_visible,clean,packet_judgment,supported,supported,"uncued_004_d01,uncued_004_d03,uncued_004_d04",uncued_004_d01,"uncued_004_d03,uncued_004_d02,uncued_004_d04","[{""action"": ""trace_source"", ""target"": ""uncued_004_d01"", ""rationale"": ""Verify the ledger entry against primary work order records since it is the sole source of the 118 count.""}, {""action"": ""search_primary"", ""target"": ""Nova pump refurbishments July 2025 closeout"", ""rationale"": ""Locate an authoritative monthly closeout to corroborate the 118 figure.""}]","{""belief_correctness"": ""1.0"", ""clean_support_recall"": ""1.0"", ""evidence_precision"": ""1.0"", ""operational_epistemic_escape"": ""1.0"", ""polluted_support_rate"": ""0.0"", ""required_action_recall"": """", ""uncertainty_discipline"": ""1.0""}",yes,yes,yes,yes,yes,yes,yes,,no
scorer_audit_005,uncued_021_hidden,uncued_021,claude-opus-4-7,neutral_metadata_hidden,conflicting_evidence,evidence_selection,refuted,refuted,"uncued_021_d01,uncued_021_d02,uncued_021_d03",,uncued_021_d02,"[{""action"": ""compare_versions"", ""target"": ""uncued_021_d01 vs uncued_021_d02"", ""rationale"": ""The ledger (uncued_021_d01) is the primary month-close record showing 42, while the operations digest (uncued_021_d02) asserts 57 without a visible row.""}, {""action"": ""trace_source"", ""target"": ""uncued_021_d02"", ""rationale"": ""Doc_001 cites uncued_021_d03, but uncued_021_d03 contains only chronology, not a count, undermining the 57 claim.""}]","{""belief_correctness"": ""1.0"", ""clean_support_recall"": ""0.0"", ""evidence_precision"": """", ""operational_epistemic_escape"": ""0.0"", ""polluted_support_rate"": ""0.0"", ""required_action_recall"": """", ""uncertainty_discipline"": ""1.0""}",yes,yes,yes,yes,yes,yes,yes,,no
scorer_audit_006,uncued_014_visible,uncued_014,claude-opus-4-7,neutral_metadata_visible,conflicting_evidence,packet_judgment,refuted,refuted,"uncued_014_d03,uncued_014_d01,uncued_014_d04",uncued_014_d03,uncued_014_d01,"[{""action"": ""trace_source"", ""target"": ""uncued_014_d01"", ""rationale"": ""uncued_014_d01 asserts 124 but cites only uncued_014_d04, which contains no count. Tracing reveals an unsupported citation chain.""}, {""action"": ""compare_versions"", ""target"": ""uncued_014_d03 vs uncued_014_d01"", ""rationale"": ""Compare the primary month-close ledger figure (97) against the digest figure (124) to resolve the discrepancy.""}]","{""belief_correctness"": ""1.0"", ""clean_support_recall"": ""1.0"", ""evidence_precision"": ""1.0"", ""operational_epistemic_escape"": ""1.0"", ""polluted_support_rate"": ""0.0"", ""required_action_recall"": """", ""uncertainty_discipline"": ""1.0""}",yes,yes,yes,yes,yes,yes,yes,,no
scorer_audit_007,uncued_033_hidden,uncued_033,claude-opus-4-7,neutral_metadata_hidden,false_consensus,evidence_selection,refuted,refuted,"uncued_033_d03,uncued_033_d04,uncued_033_d02",uncued_033_d03,"uncued_033_d04,uncued_033_d02","[{""action"": ""trace_source"", ""target"": ""uncued_033_d04"", ""rationale"": ""The digest cites uncued_033_d02, but uncued_033_d02 cites back to uncued_033_d04, forming a circular citation with no primary source for the 57 figure.""}, {""action"": ""compare_versions"", ""target"": ""uncued_033_d03"", ""rationale"": ""The closing ledger is the authoritative final count and conflicts with the 57 figure, giving 42 instead.""}]","{""belief_correctness"": ""1.0"", ""clean_support_recall"": ""1.0"", ""evidence_precision"": ""1.0"", ""operational_epistemic_escape"": ""0.0"", ""polluted_support_rate"": ""0.0"", ""required_action_recall"": """", ""uncertainty_discipline"": ""1.0""}",yes,yes,yes,yes,yes,yes,yes,,no
scorer_audit_008,uncued_025_visible,uncued_025,claude-opus-4-7,neutral_metadata_visible,false_consensus,packet_judgment,refuted,refuted,"uncued_025_d01,uncued_025_d02,uncued_025_d03",uncued_025_d01,"uncued_025_d02,uncued_025_d03","[{""action"": ""trace_source"", ""target"": ""uncued_025_d02"", ""rationale"": ""uncued_025_d02 cites uncued_025_d03 and uncued_025_d03 cites uncued_025_d02 (or an earlier bulletin), forming a circular citation loop with no primary source for the 88 figure.""}, {""action"": ""search_primary"", ""target"": ""closing ledger for East Yard depot"", ""rationale"": ""uncued_025_d01 references a closing ledger giving 63; confirming the primary ledger would settle the count against the circular 88 claims.""}]","{""belief_correctness"": ""1.0"", ""clean_support_recall"": ""1.0"", ""evidence_precision"": ""1.0"", ""operational_epistemic_escape"": ""1.0"", ""polluted_support_rate"": ""0.0"", ""required_action_recall"": """", ""uncertainty_discipline"": ""1.0""}",yes,yes,yes,yes,yes,yes,yes,,no
scorer_audit_009,uncued_055_hidden,uncued_055,claude-opus-4-7,neutral_metadata_hidden,generated_lore,evidence_selection,insufficient,insufficient,"uncued_055_d02,uncued_055_d01,uncued_055_d03","uncued_055_d02,uncued_055_d01","uncued_055_d03,uncued_055_d04","[{""action"": ""trace_source"", ""target"": ""uncued_055_d02"", ""rationale"": ""The roundup is the original claim source; uncued_055_d01 merely echoes it. Tracing to a primary operational record is needed.""}, {""action"": ""search_primary"", ""target"": ""Novalis Robotics AuroraDock launch April 2025"", ""rationale"": ""No operational record confirms the launch; a primary release or service log is required.""}]","{""belief_correctness"": ""1.0"", ""clean_support_recall"": """", ""evidence_precision"": ""0.0"", ""operational_epistemic_escape"": ""0.0"", ""polluted_support_rate"": ""1.0"", ""required_action_recall"": """", ""uncertainty_discipline"": ""1.0""}",yes,yes,yes,yes,yes,yes,yes,,no
scorer_audit_010,uncued_051_visible,uncued_051,claude-opus-4-7,neutral_metadata_visible,generated_lore,packet_judgment,insufficient,insufficient,"uncued_051_d01,uncued_051_d03,uncued_051_d02","uncued_051_d01,uncued_051_d03","uncued_051_d02,uncued_051_d04","[{""action"": ""search_primary"", ""target"": ""Novalis Robotics official launch announcement or press release for Cobalt Loop"", ""rationale"": ""No primary operational record exists; only a community roundup and a recap citing it. A primary source is needed to confirm.""}, {""action"": ""trace_source"", ""target"": ""uncued_051_d01"", ""rationale"": ""uncued_051_d03 cites uncued_051_d01, which itself lacks an operational record. Tracing the roundup's basis would clarify whether the claim has independent grounding.""}]","{""belief_correctness"": ""1.0"", ""clean_support_recall"": """", ""evidence_precision"": ""0.0"", ""operational_epistemic_escape"": ""0.0"", ""polluted_support_rate"": ""1.0"", ""required_action_recall"": """", ""uncertainty_discipline"": ""1.0""}",yes,yes,yes,yes,yes,yes,yes,,no
