model,condition,family,n,clean_support_contract,pollutant_rejection_contract,evidence_selection_contract,verification_contract,composite_evidence_hygiene_contract,final_verdict_correct,no_dirty_support,clean_support_recovered,pollutant_rejected_or_diagnosed,verification_path_executable,operational_epistemic_escape,contract_minus_operational,operational_contract_interpretation
claude-opus-4-7,buried_primary,active_verification,4,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.75,0.25,operational_too_strict
claude-opus-4-7,buried_primary,evidence_selection,10,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,directionally_aligned
claude-opus-4-7,buried_primary,packet_judgment,10,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,directionally_aligned
claude-opus-4-7,clean,active_verification,4,0.5,0.0,0.75,1.0,1.0,1.0,1.0,0.5,0.75,1.0,1.0,0.0,directionally_aligned
claude-opus-4-7,clean,evidence_selection,10,0.4,0.0,0.5,1.0,0.5,1.0,1.0,0.4,0.4,1.0,0.5,0.0,directionally_aligned
claude-opus-4-7,clean,packet_judgment,10,0.6,0.0,0.9,1.0,0.6,1.0,1.0,0.6,0.4,1.0,1.0,-0.4,operational_too_permissive
claude-opus-4-7,conflicting_evidence,active_verification,4,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.75,1.0,0.0,0.0,directionally_aligned
claude-opus-4-7,conflicting_evidence,evidence_selection,10,0.3,0.0,0.0,1.0,0.0,1.0,0.4,0.3,1.0,1.0,0.0,0.0,directionally_aligned
claude-opus-4-7,conflicting_evidence,packet_judgment,10,0.3,0.0,0.0,1.0,0.3,1.0,0.3,0.3,1.0,1.0,0.3,0.0,directionally_aligned
claude-opus-4-7,false_consensus,active_verification,4,0.5,0.0,0.0,1.0,0.75,1.0,0.75,0.5,1.0,1.0,0.0,0.75,operational_too_strict
claude-opus-4-7,false_consensus,evidence_selection,10,0.3,0.0,0.0,1.0,0.0,0.7,0.5,0.3,1.0,1.0,0.0,0.0,directionally_aligned
claude-opus-4-7,false_consensus,packet_judgment,10,0.3,0.0,0.0,1.0,0.3,0.5,0.3,0.3,1.0,1.0,0.3,0.0,directionally_aligned
claude-opus-4-7,generated_lore,active_verification,8,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,directionally_aligned
claude-opus-4-7,generated_lore,evidence_selection,8,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,directionally_aligned
claude-opus-4-7,generated_lore,packet_judgment,8,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,directionally_aligned
deepseek-v4-pro,buried_primary,active_verification,4,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25,0.75,operational_too_strict
deepseek-v4-pro,buried_primary,evidence_selection,10,0.9,0.0,0.0,1.0,0.0,0.9,1.0,1.0,1.0,1.0,0.0,0.0,directionally_aligned
deepseek-v4-pro,buried_primary,packet_judgment,10,0.9,0.0,0.0,1.0,0.9,0.9,1.0,1.0,1.0,1.0,0.9,0.0,directionally_aligned
deepseek-v4-pro,clean,active_verification,4,0.75,0.0,0.0,1.0,1.0,1.0,1.0,0.75,0.25,1.0,0.75,0.25,operational_too_strict
deepseek-v4-pro,clean,evidence_selection,10,0.5,0.0,0.0,0.7,0.0,0.6,1.0,0.5,0.0,1.0,0.0,0.0,directionally_aligned
deepseek-v4-pro,clean,packet_judgment,10,0.8,0.0,0.0,1.0,0.8,0.9,1.0,0.9,0.2,1.0,0.9,-0.09999999999999998,operational_too_permissive
deepseek-v4-pro,conflicting_evidence,active_verification,4,0.0,0.0,0.0,1.0,0.0,0.25,0.0,0.0,1.0,1.0,0.0,0.0,directionally_aligned
deepseek-v4-pro,conflicting_evidence,evidence_selection,10,0.0,0.0,0.0,1.0,0.0,0.5,0.0,0.1,0.5,1.0,0.0,0.0,directionally_aligned
