prompt_version,model,strategy,difficulty,n,escape_rate,escape_rate_ci_low,escape_rate_ci_high,claim_accuracy,claim_accuracy_ci_low,claim_accuracy_ci_high,contaminated_citation_rate,contaminated_citation_rate_ci_low,contaminated_citation_rate_ci_high,generated_lore_overclaim_rate,generated_lore_overclaim_rate_ci_low,generated_lore_overclaim_rate_ci_high,over_abstention_rate,over_abstention_rate_ci_low,over_abstention_rate_ci_high,has_required_supporting_evidence,clean_supporting_evidence,primary_in_context,primary_cited,primary_ignored
claim_first_citation_v1,openai/gpt-4o-mini,hygienic_combo,L0,24,0.6666666666666666,0.5,0.8333333333333334,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,1.0,1.0,0.6666666666666666,0.3333333333333333
claim_first_citation_v1,openai/gpt-4o-mini,hygienic_combo,L1,24,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0
claim_first_citation_v1,openai/gpt-4o-mini,hygienic_combo,L2,24,0.8333333333333334,0.6666666666666666,0.9583333333333334,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8333333333333334,1.0,1.0,0.8333333333333334,0.16666666666666666
claim_first_citation_v1,openai/gpt-4o-mini,hygienic_combo,L3,24,0.9166666666666666,0.7916666666666666,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9166666666666666,1.0,1.0,0.9166666666666666,0.08333333333333333
claim_first_citation_v1,openai/gpt-4o-mini,hygienic_combo,L4,24,0.9166666666666666,0.7916666666666666,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9166666666666666,1.0,1.0,0.9166666666666666,0.08333333333333333
claim_first_citation_v1,openai/gpt-4o-mini,hygienic_combo,L5,24,0.7916666666666666,0.625,0.9583333333333334,0.9583333333333334,0.875,1.0,0.16666666666666666,0.041666666666666664,0.3333333333333333,0.041666666666666664,0.0,0.125,0.0,0.0,0.0,0.9583333333333334,0.8333333333333334,0.0,0.0,0.0
claim_first_citation_v1,openai/gpt-4o-mini,primary_preserve,L0,24,0.7916666666666666,0.625,0.9166666666666666,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7916666666666666,1.0,1.0,0.7916666666666666,0.20833333333333334
claim_first_citation_v1,openai/gpt-4o-mini,primary_preserve,L1,24,0.9583333333333334,0.8333333333333334,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9583333333333334,1.0,1.0,0.9583333333333334,0.041666666666666664
claim_first_citation_v1,openai/gpt-4o-mini,primary_preserve,L2,24,0.8333333333333334,0.6666666666666666,0.9583333333333334,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8333333333333334,1.0,1.0,0.8333333333333334,0.16666666666666666
claim_first_citation_v1,openai/gpt-4o-mini,primary_preserve,L3,24,0.875,0.75,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.875,1.0,1.0,0.875,0.125
claim_first_citation_v1,openai/gpt-4o-mini,primary_preserve,L4,24,0.9583333333333334,0.875,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9583333333333334,1.0,1.0,0.9583333333333334,0.041666666666666664
claim_first_citation_v1,openai/gpt-4o-mini,primary_preserve,L5,24,0.875,0.75,1.0,1.0,1.0,1.0,0.10416666666666667,0.0,0.22916666666666666,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.875,0.0,0.0,0.0
claim_first_citation_v1_1,openai/gpt-4o-mini,hygienic_combo,L0,24,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0
claim_first_citation_v1_1,openai/gpt-4o-mini,hygienic_combo,L1,24,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0
claim_first_citation_v1_1,openai/gpt-4o-mini,hygienic_combo,L2,24,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0
claim_first_citation_v1_1,openai/gpt-4o-mini,hygienic_combo,L3,24,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0
claim_first_citation_v1_1,openai/gpt-4o-mini,hygienic_combo,L4,24,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0
claim_first_citation_v1_1,openai/gpt-4o-mini,hygienic_combo,L5,24,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
claim_first_citation_v1_1,openai/gpt-4o-mini,primary_preserve,L0,24,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0
claim_first_citation_v1_1,openai/gpt-4o-mini,primary_preserve,L1,24,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0
claim_first_citation_v1_1,openai/gpt-4o-mini,primary_preserve,L2,24,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0
claim_first_citation_v1_1,openai/gpt-4o-mini,primary_preserve,L3,24,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0
claim_first_citation_v1_1,openai/gpt-4o-mini,primary_preserve,L4,24,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0
claim_first_citation_v1_1,openai/gpt-4o-mini,primary_preserve,L5,24,0.9583333333333334,0.875,1.0,0.9583333333333334,0.875,1.0,0.0,0.0,0.0,0.041666666666666664,0.0,0.125,0.0,0.0,0.0,0.9583333333333334,1.0,0.0,0.0,0.0
