task_id,difficulty,model,strategy,prompt,claim_correct,clean_supporting_evidence,has_required_supporting_evidence,generated_lore_abstention_ok,full_escape
eham_000,L0,openai/gpt-4o-mini,naive_bm25,simple_answer_v1,1.0,1.0,1.0,1.0,1.0
eham_000,L0,openai/gpt-4o-mini,careful_bm25,claim_first_citation_v1,1.0,1.0,0.0,1.0,0.0
eham_000,L0,openai/gpt-4o-mini,primary_preserve,claim_first_citation_v1,1.0,1.0,1.0,1.0,1.0
eham_000,L0,openai/gpt-4o-mini,hygienic_combo,claim_first_citation_v1,1.0,1.0,1.0,1.0,1.0
eham_001,L0,openai/gpt-4o-mini,naive_bm25,simple_answer_v1,1.0,1.0,1.0,1.0,1.0
eham_001,L0,openai/gpt-4o-mini,careful_bm25,claim_first_citation_v1,1.0,1.0,1.0,1.0,1.0
eham_001,L0,openai/gpt-4o-mini,primary_preserve,claim_first_citation_v1,1.0,1.0,1.0,1.0,1.0
eham_001,L0,openai/gpt-4o-mini,hygienic_combo,claim_first_citation_v1,1.0,1.0,1.0,1.0,1.0
eham_002,L0,openai/gpt-4o-mini,naive_bm25,simple_answer_v1,1.0,1.0,1.0,1.0,1.0
eham_002,L0,openai/gpt-4o-mini,careful_bm25,claim_first_citation_v1,1.0,1.0,0.0,1.0,0.0
eham_002,L0,openai/gpt-4o-mini,primary_preserve,claim_first_citation_v1,1.0,1.0,1.0,1.0,1.0
eham_002,L0,openai/gpt-4o-mini,hygienic_combo,claim_first_citation_v1,1.0,1.0,1.0,1.0,1.0
eham_003,L0,openai/gpt-4o-mini,naive_bm25,simple_answer_v1,1.0,1.0,1.0,1.0,1.0
eham_003,L0,openai/gpt-4o-mini,careful_bm25,claim_first_citation_v1,1.0,1.0,0.0,1.0,0.0
eham_003,L0,openai/gpt-4o-mini,primary_preserve,claim_first_citation_v1,1.0,1.0,1.0,1.0,1.0
eham_003,L0,openai/gpt-4o-mini,hygienic_combo,claim_first_citation_v1,1.0,1.0,1.0,1.0,1.0
eham_004,L0,openai/gpt-4o-mini,naive_bm25,simple_answer_v1,1.0,1.0,1.0,1.0,1.0
eham_004,L0,openai/gpt-4o-mini,careful_bm25,claim_first_citation_v1,1.0,1.0,0.0,1.0,0.0
eham_004,L0,openai/gpt-4o-mini,primary_preserve,claim_first_citation_v1,1.0,1.0,1.0,1.0,1.0
eham_004,L0,openai/gpt-4o-mini,hygienic_combo,claim_first_citation_v1,1.0,1.0,0.0,1.0,0.0
eham_005,L0,openai/gpt-4o-mini,naive_bm25,simple_answer_v1,1.0,1.0,1.0,1.0,1.0
eham_005,L0,openai/gpt-4o-mini,careful_bm25,claim_first_citation_v1,1.0,1.0,0.0,1.0,0.0
eham_005,L0,openai/gpt-4o-mini,primary_preserve,claim_first_citation_v1,1.0,1.0,1.0,1.0,1.0
eham_005,L0,openai/gpt-4o-mini,hygienic_combo,claim_first_citation_v1,1.0,1.0,1.0,1.0,1.0
eham_006,L0,openai/gpt-4o-mini,naive_bm25,simple_answer_v1,1.0,1.0,1.0,1.0,1.0
eham_006,L0,openai/gpt-4o-mini,careful_bm25,claim_first_citation_v1,1.0,1.0,0.0,1.0,0.0
eham_006,L0,openai/gpt-4o-mini,primary_preserve,claim_first_citation_v1,1.0,1.0,0.0,1.0,0.0
eham_006,L0,openai/gpt-4o-mini,hygienic_combo,claim_first_citation_v1,1.0,1.0,0.0,1.0,0.0
eham_007,L0,openai/gpt-4o-mini,naive_bm25,simple_answer_v1,1.0,1.0,1.0,1.0,1.0
eham_007,L0,openai/gpt-4o-mini,careful_bm25,claim_first_citation_v1,1.0,1.0,1.0,1.0,1.0
eham_007,L0,openai/gpt-4o-mini,primary_preserve,claim_first_citation_v1,1.0,1.0,1.0,1.0,1.0
eham_007,L0,openai/gpt-4o-mini,hygienic_combo,claim_first_citation_v1,1.0,1.0,0.0,1.0,0.0
eham_008,L0,openai/gpt-4o-mini,naive_bm25,simple_answer_v1,1.0,1.0,1.0,1.0,1.0
eham_008,L0,openai/gpt-4o-mini,careful_bm25,claim_first_citation_v1,1.0,1.0,0.0,1.0,0.0
eham_008,L0,openai/gpt-4o-mini,primary_preserve,claim_first_citation_v1,1.0,1.0,0.0,1.0,0.0
eham_008,L0,openai/gpt-4o-mini,hygienic_combo,claim_first_citation_v1,1.0,1.0,1.0,1.0,1.0
eham_009,L0,openai/gpt-4o-mini,naive_bm25,simple_answer_v1,1.0,1.0,1.0,1.0,1.0
eham_009,L0,openai/gpt-4o-mini,careful_bm25,claim_first_citation_v1,1.0,1.0,0.0,1.0,0.0
eham_009,L0,openai/gpt-4o-mini,primary_preserve,claim_first_citation_v1,1.0,1.0,1.0,1.0,1.0
eham_009,L0,openai/gpt-4o-mini,hygienic_combo,claim_first_citation_v1,1.0,1.0,1.0,1.0,1.0
eham_010,L0,openai/gpt-4o-mini,naive_bm25,simple_answer_v1,1.0,1.0,1.0,1.0,1.0
eham_010,L0,openai/gpt-4o-mini,careful_bm25,claim_first_citation_v1,1.0,1.0,1.0,1.0,1.0
eham_010,L0,openai/gpt-4o-mini,primary_preserve,claim_first_citation_v1,1.0,1.0,1.0,1.0,1.0
eham_010,L0,openai/gpt-4o-mini,hygienic_combo,claim_first_citation_v1,1.0,1.0,0.0,1.0,0.0
eham_011,L0,openai/gpt-4o-mini,naive_bm25,simple_answer_v1,1.0,1.0,1.0,1.0,1.0
eham_011,L0,openai/gpt-4o-mini,careful_bm25,claim_first_citation_v1,1.0,1.0,0.0,1.0,0.0
eham_011,L0,openai/gpt-4o-mini,primary_preserve,claim_first_citation_v1,1.0,1.0,1.0,1.0,1.0
eham_011,L0,openai/gpt-4o-mini,hygienic_combo,claim_first_citation_v1,1.0,1.0,0.0,1.0,0.0
