task_id,documents,semantic_doc_id_hits,semantic_visible_citation_hits,audit_id_hits_in_title_or_body,hidden_field_hits
ert_000,10,0,0,0,[]
ert_001,10,0,0,0,[]
ert_002,10,0,0,0,[]
ert_003,10,0,0,0,[]
ert_004,10,0,0,0,[]
ert_005,10,0,0,0,[]
ert_006,10,0,0,0,[]
ert_007,10,0,0,0,[]
ert_008,9,0,0,0,[]
ert_009,9,0,0,0,[]
ert_010,9,0,0,0,[]
ert_011,9,0,0,0,[]
ert_012,9,0,0,0,[]
ert_013,9,0,0,0,[]
ert_014,9,0,0,0,[]
ert_015,9,0,0,0,[]
ert_016,10,0,0,0,[]
ert_017,9,0,0,0,[]
ert_018,9,0,0,0,[]
ert_019,10,0,0,0,[]
ert_020,9,0,0,0,[]
ert_021,9,0,0,0,[]
ert_022,10,0,0,0,[]
ert_023,9,0,0,0,[]
ert_024,11,0,0,0,[]
ert_025,10,0,0,0,[]
ert_026,10,0,0,0,[]
ert_027,11,0,0,0,[]
ert_028,10,0,0,0,[]
ert_029,10,0,0,0,[]
ert_030,11,0,0,0,[]
ert_031,10,0,0,0,[]
ert_032,11,0,0,0,[]
ert_033,11,0,0,0,[]
ert_034,11,0,0,0,[]
ert_035,11,0,0,0,[]
ert_036,10,0,0,0,[]
ert_037,11,0,0,0,[]
ert_038,10,0,0,0,[]
ert_039,11,0,0,0,[]
ert_040,20,0,0,0,[]
ert_041,20,0,0,0,[]
ert_042,20,0,0,0,[]
ert_043,20,0,0,0,[]
ert_044,20,0,0,0,[]
ert_045,20,0,0,0,[]
ert_046,20,0,0,0,[]
ert_047,20,0,0,0,[]
ert_048,20,0,0,0,[]
ert_049,19,0,0,0,[]
ert_050,20,0,0,0,[]
ert_051,20,0,0,0,[]
ert_052,20,0,0,0,[]
ert_053,20,0,0,0,[]
ert_054,20,0,0,0,[]
ert_055,19,0,0,0,[]
ert_056,14,0,0,0,[]
ert_057,16,0,0,0,[]
ert_058,18,0,0,0,[]
ert_059,14,0,0,0,[]
ert_060,16,0,0,0,[]
ert_061,18,0,0,0,[]
ert_062,14,0,0,0,[]
ert_063,16,0,0,0,[]
ert_064,14,0,0,0,[]
ert_065,16,0,0,0,[]
ert_066,18,0,0,0,[]
ert_067,14,0,0,0,[]
ert_068,16,0,0,0,[]
ert_069,18,0,0,0,[]
ert_070,14,0,0,0,[]
ert_071,16,0,0,0,[]
ert_072,20,0,0,0,[]
ert_073,20,0,0,0,[]
ert_074,20,0,0,0,[]
ert_075,20,0,0,0,[]
ert_076,20,0,0,0,[]
ert_077,20,0,0,0,[]
ert_078,20,0,0,0,[]
ert_079,20,0,0,0,[]
ert_080,8,0,0,0,[]
ert_081,8,0,0,0,[]
ert_082,8,0,0,0,[]
ert_083,8,0,0,0,[]
ert_084,8,0,0,0,[]
ert_085,8,0,0,0,[]
ert_086,8,0,0,0,[]
ert_087,8,0,0,0,[]
ert_088,8,0,0,0,[]
ert_089,8,0,0,0,[]
ert_090,8,0,0,0,[]
ert_091,8,0,0,0,[]
ert_092,8,0,0,0,[]
ert_093,8,0,0,0,[]
ert_094,8,0,0,0,[]
ert_095,8,0,0,0,[]
ert_096,8,0,0,0,[]
ert_097,8,0,0,0,[]
ert_098,8,0,0,0,[]
ert_099,8,0,0,0,[]
