model,strategy,difficulty,n,parse_success,claim_accuracy,escape_rate,contaminated_citation_rate,overconfident_wrong_rate,over_abstention_rate,generated_lore_overclaim_rate,false_consensus_susceptibility,primary_recovery_rate,confidence,cost_usd,abstention_quality,ece
openai/gpt-4o-mini,claim_first_bm25,L0,6,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9499999999999998,0.000308925,0.0,0.050000000000000155
openai/gpt-4o-mini,claim_first_bm25,L1,6,1.0,1.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,1.0,0.9416666666666665,0.000320875,0.0,0.05833333333333346
openai/gpt-4o-mini,claim_first_bm25,L2,6,1.0,1.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,1.0,0.9499999999999998,0.00029685,0.0,0.050000000000000155
openai/gpt-4o-mini,claim_first_bm25,L3,6,1.0,1.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,1.0,0.9166666666666666,0.000310125,0.0,0.08333333333333337
openai/gpt-4o-mini,claim_first_bm25,L4,6,1.0,0.0,0.0,0.5,0.8333333333333334,0.0,0.0,0.5,0.0,0.775,0.00028445,0.0,0.7749999999999999
openai/gpt-4o-mini,claim_first_bm25,L5,6,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31666666666666665,0.0002822,1.0,0.6833333333333333
openai/gpt-4o-mini,claim_first_hygienic,L0,6,1.0,1.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,1.0,0.9416666666666665,0.00027855,0.0,0.05833333333333346
openai/gpt-4o-mini,claim_first_hygienic,L1,6,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9416666666666665,0.00029025,0.0,0.05833333333333346
openai/gpt-4o-mini,claim_first_hygienic,L2,6,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9499999999999998,0.000275775,0.0,0.050000000000000155
openai/gpt-4o-mini,claim_first_hygienic,L3,6,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9416666666666665,0.00030825,0.0,0.05833333333333346
openai/gpt-4o-mini,claim_first_hygienic,L4,6,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9416666666666665,0.0002921,0.0,0.05833333333333346
openai/gpt-4o-mini,claim_first_hygienic,L5,6,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3833333333333333,0.000256125,1.0,0.6166666666666667
openai/gpt-4o-mini,evidence_graph_v3_bm25,L0,6,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.975,0.00037855,0.0,0.025000000000000022
openai/gpt-4o-mini,evidence_graph_v3_bm25,L1,6,1.0,1.0,0.8333333333333334,0.0,0.0,0.0,0.0,0.0,1.0,0.9249999999999999,0.000461925,0.0,0.07500000000000007
openai/gpt-4o-mini,evidence_graph_v3_bm25,L2,6,1.0,1.0,0.8333333333333334,0.0,0.0,0.0,0.0,0.0,1.0,0.9500000000000001,0.0004115,0.0,0.04999999999999993
openai/gpt-4o-mini,evidence_graph_v3_bm25,L3,6,1.0,1.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,1.0,0.9166666666666666,0.00044382499999999996,0.0,0.08333333333333337
openai/gpt-4o-mini,evidence_graph_v3_bm25,L4,6,1.0,0.0,0.0,0.8333333333333334,0.0,0.0,0.0,0.8333333333333334,0.0,0.43333333333333335,0.0004373,0.0,0.43333333333333335
openai/gpt-4o-mini,evidence_graph_v3_bm25,L5,6,1.0,1.0,0.8333333333333334,0.10416666666666667,0.0,0.0,0.0,0.0,0.0,0.25,0.000373375,1.0,0.75
openai/gpt-4o-mini,evidence_graph_v3_hygienic,L0,6,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9416666666666668,0.0003672,0.0,0.05833333333333324
openai/gpt-4o-mini,evidence_graph_v3_hygienic,L1,6,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9333333333333332,0.0003886,0.0,0.06666666666666676
openai/gpt-4o-mini,evidence_graph_v3_hygienic,L2,6,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9416666666666668,0.000400175,0.0,0.05833333333333324
openai/gpt-4o-mini,evidence_graph_v3_hygienic,L3,6,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9333333333333332,0.00044517499999999997,0.0,0.06666666666666676
openai/gpt-4o-mini,evidence_graph_v3_hygienic,L4,6,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9083333333333333,0.0004631,0.0,0.09166666666666667
openai/gpt-4o-mini,evidence_graph_v3_hygienic,L5,6,1.0,1.0,0.8333333333333334,0.0625,0.0,0.0,0.0,0.0,0.0,0.35000000000000003,0.00030307500000000003,1.0,0.6499999999999999
