task_id,family,condition,difficulty,model,provider,budget_setting,prompt_condition,backend,parse_success,empty_output,schema_missing,attempt_count,visible_output_tokens,answer_word_count,evidence_assessment_word_count,max_action_rationale_word_count,supporting_evidence_count,rejected_evidence_count,overlength_rate,belief_correctness,evidence_cleanliness,uncertainty_discipline,support_empty_rate,evidence_precision,clean_support_recall,rejected_pollutant_rate,dual_role_rate,required_action_recall,primary_seeking_rate,duplicate_avoidance_rate,generated_lore_avoidance_rate,contradiction_seeking_rate,evidence_value_score,primary_action_rate,contradiction_action_rate,generated_lore_trace_rate,epistemic_escape,operational_epistemic_escape,conditional_epistemic_escape,confidence,cost_usd,gold_verdict,predicted_verdict,supporting_evidence,selected_doc_ids,actions,base_task_id,view,variant,polluted_support_rate,verification_action_score,exact_target_rate,support_doc_ids,rejected_doc_ids,prompt_path,response_path
uncued_049_visible,packet_judgment,generated_lore,uncued_pilot,gemini-3.1-pro-preview,Google,robustness,standard_answer,api,1.0,0.0,0.0,1,298,41,46,16,3,1,0.0,1.0,0.0,1.0,0.0,0.0,,1.0,0.0,,0.0,1.0,0.0,0.0,0.06666666666666665,1.0,0.0,0.0,0.0,0.0,0.0,0.8,0.00232125,insufficient,insufficient,"uncued_049_d04,uncued_049_d03,uncued_049_d02","uncued_049_d04,uncued_049_d02,uncued_049_d03","[{""action"": ""search_primary"", ""target"": ""Novalis Robotics AuroraDock field upgrade toolkit April 2025 launch"", ""rationale"": ""Look for an official announcement or primary record from Novalis Robotics to verify the community roundup.""}]",uncued_049,neutral_metadata_visible,baseline_original,1.0,,,"uncued_049_d04,uncued_049_d03,uncued_049_d02",uncued_049_d01,artifacts/gemini-3.1-pro-preview/standard_answer/baseline_original/uncued_049_visible.prompt.json,artifacts/gemini-3.1-pro-preview/standard_answer/baseline_original/uncued_049_visible.response.json
uncued_049_visible,packet_judgment,generated_lore,uncued_pilot,gpt-5.5,OpenAI,robustness,standard_answer,api,1.0,0.0,0.0,1,434,77,73,22,3,1,0.0,1.0,0.0,1.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.74,0.029774999999999996,insufficient,insufficient,"uncued_049_d04,uncued_049_d01,uncued_049_d02","uncued_049_d04,uncued_049_d01,uncued_049_d02","[{""action"": ""trace_source"", ""target"": ""uncued_049_d01 -> uncued_049_d04"", ""rationale"": ""The partner recap's AuroraDock launch wording is derivative and visibly cites the roundup, so it should not be treated as independent corroboration.""}, {""action"": ""search_primary"", ""target"": ""primary Novalis Robotics launch or operations record"", ""rationale"": ""The environment contains no linked launch announcement, operational record, or registry entry confirming an April 2025 AuroraDock toolkit launch.""}]",uncued_049,neutral_metadata_visible,baseline_original,1.0,,,"uncued_049_d04,uncued_049_d01,uncued_049_d02",uncued_049_d03,artifacts/gpt-5.5/standard_answer/baseline_original/uncued_049_visible.prompt.json,artifacts/gpt-5.5/standard_answer/baseline_original/uncued_049_visible.response.json
uncued_049_visible,packet_judgment,generated_lore,uncued_pilot,gpt-5.5,OpenAI,robustness,standard_answer,api,1.0,0.0,0.0,1,406,69,60,26,3,1,0.0,1.0,0.0,1.0,0.0,0.0,,1.0,0.0,,0.0,1.0,0.0,0.0,0.06666666666666665,1.0,0.0,1.0,0.0,0.0,0.0,0.74,0.027644999999999996,insufficient,insufficient,"uncued_049_d04,uncued_049_d02,uncued_049_d03","uncued_049_d04,uncued_049_d02,uncued_049_d03","[{""action"": ""trace_source"", ""target"": ""uncued_049_d01"", ""rationale"": ""The partner recap is derivative because its visible citation points back to the roundup item, so it is not independent confirmation of the launch claim.""}, {""action"": ""search_primary"", ""target"": ""AuroraDock field upgrade toolkit operational launch record"", ""rationale"": ""The available evidence lacks a linked operational record or primary launch notice for AuroraDock; primary confirmation would be needed to support the April 2025 launch claim.""}]",uncued_049,neutral_metadata_visible,order_randomized,1.0,,,"uncued_049_d04,uncued_049_d02,uncued_049_d03",uncued_049_d01,artifacts/gpt-5.5/standard_answer/order_randomized/uncued_049_visible.prompt.json,artifacts/gpt-5.5/standard_answer/order_randomized/uncued_049_visible.response.json
uncued_049_visible,packet_judgment,generated_lore,uncued_pilot,gemini-3.1-pro-preview,Google,robustness,standard_answer,api,1.0,0.0,0.0,1,300,45,51,23,3,1,0.0,1.0,0.0,1.0,0.0,0.0,,1.0,0.0,,0.0,1.0,0.0,0.0,0.06666666666666665,1.0,0.0,0.0,0.0,0.0,0.0,0.85,0.004319,insufficient,insufficient,"uncued_049_d04,uncued_049_d02,uncued_049_d03","uncued_049_d04,uncued_049_d02,uncued_049_d03","[{""action"": ""search_primary"", ""target"": ""Novalis Robotics AuroraDock launch April 2025"", ""rationale"": ""Search for official company announcements or primary operational records to confirm the launch, as current evidence is based on an unverified community roundup.""}]",uncued_049,neutral_metadata_visible,order_randomized,1.0,,,"uncued_049_d04,uncued_049_d02,uncued_049_d03",uncued_049_d01,artifacts/gemini-3.1-pro-preview/standard_answer/order_randomized/uncued_049_visible.prompt.json,artifacts/gemini-3.1-pro-preview/standard_answer/order_randomized/uncued_049_visible.response.json
uncued_049_visible,packet_judgment,generated_lore,uncued_pilot,gpt-5.5,OpenAI,robustness,standard_answer,api,1.0,0.0,0.0,1,412,62,82,22,3,1,0.0,1.0,0.0,1.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.78,0.029875,insufficient,insufficient,"uncued_049_d04,uncued_049_d01,uncued_049_d02","uncued_049_d04,uncued_049_d01,uncued_049_d02","[{""action"": ""trace_source"", ""target"": ""uncued_049_d01"", ""rationale"": ""The partner recap is not independent because its visible citation points back to the roundup item that contains the same launch wording.""}, {""action"": ""search_primary"", ""target"": ""Novalis Robotics AuroraDock field upgrade toolkit April 2025 launch"", ""rationale"": ""The environment lacks a Novalis Robotics announcement, operational launch record, or registry entry confirming an AuroraDock toolkit launch in April 2025.""}]",uncued_049,neutral_metadata_visible,source_type_masked,1.0,,,"uncued_049_d04,uncued_049_d01,uncued_049_d02",uncued_049_d03,artifacts/gpt-5.5/standard_answer/source_type_masked/uncued_049_visible.prompt.json,artifacts/gpt-5.5/standard_answer/source_type_masked/uncued_049_visible.response.json
uncued_049_visible,packet_judgment,generated_lore,uncued_pilot,gemini-3.1-pro-preview,Google,robustness,standard_answer,api,1.0,0.0,0.0,1,286,52,40,15,1,3,0.0,1.0,0.0,1.0,0.0,0.0,,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.4,0.002463,insufficient,insufficient,uncued_049_d04,"uncued_049_d01,uncued_049_d04,uncued_049_d02","[{""action"": ""search_primary"", ""target"": ""Novalis Robotics AuroraDock field upgrade toolkit launch April 2025"", ""rationale"": ""An official announcement or operational record is needed to substantiate the unverified community roundup claim.""}]",uncued_049,neutral_metadata_visible,source_type_masked,1.0,,,uncued_049_d04,"uncued_049_d03,uncued_049_d01,uncued_049_d02",artifacts/gemini-3.1-pro-preview/standard_answer/source_type_masked/uncued_049_visible.prompt.json,artifacts/gemini-3.1-pro-preview/standard_answer/source_type_masked/uncued_049_visible.response.json
uncued_049_visible,packet_judgment,generated_lore,uncued_pilot,gpt-5.5,OpenAI,robustness,standard_answer,api,1.0,0.0,0.0,1,362,47,70,22,3,1,0.0,1.0,0.0,1.0,0.0,0.0,,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.68,0.02975,insufficient,insufficient,"uncued_049_d04,uncued_049_d02,uncued_049_d03","uncued_049_d04,uncued_049_d01,uncued_049_d02","[{""action"": ""trace_source"", ""target"": ""uncued_049_d01"", ""rationale"": ""The partner recap's visible citation points back to the roundup, so it is not independent confirmation of the launch claim.""}, {""action"": ""search_primary"", ""target"": ""uncued_049_d03, uncued_049_d02"", ""rationale"": ""Operational timeline and planning/registry-style records were checked for a launch entry; they mention routine Orion battery swaps and no AuroraDock toolkit launch.""}]",uncued_049,neutral_metadata_visible,prompt_paraphrase,1.0,,,"uncued_049_d04,uncued_049_d02,uncued_049_d03",uncued_049_d01,artifacts/gpt-5.5/standard_answer/prompt_paraphrase/uncued_049_visible.prompt.json,artifacts/gpt-5.5/standard_answer/prompt_paraphrase/uncued_049_visible.response.json
uncued_049_visible,packet_judgment,generated_lore,uncued_pilot,gemini-3.1-pro-preview,Google,robustness,standard_answer,api,1.0,0.0,0.0,1,417,59,81,25,3,1,0.0,1.0,0.0,1.0,0.0,0.0,,1.0,0.0,,0.0,1.0,0.0,0.0,0.06666666666666665,1.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0047675,insufficient,insufficient,"uncued_049_d03,uncued_049_d04,uncued_049_d02","uncued_049_d03,uncued_049_d04,uncued_049_d02","[{""action"": ""search_primary"", ""target"": ""Novalis Robotics operational records April 2025"", ""rationale"": ""Search for primary official corporate records or announcements from Novalis Robotics to confirm if the AuroraDock field upgrade toolkit was actually launched in April 2025.""}, {""action"": ""trace_source"", ""target"": ""uncued_049_d04 community roundup"", ""rationale"": ""Trace the origin of the community roundup mentioned in uncued_049_d04 to determine if it is based on any factual operational data.""}]",uncued_049,neutral_metadata_visible,prompt_paraphrase,1.0,,,"uncued_049_d03,uncued_049_d04,uncued_049_d02",uncued_049_d01,artifacts/gemini-3.1-pro-preview/standard_answer/prompt_paraphrase/uncued_049_visible.prompt.json,artifacts/gemini-3.1-pro-preview/standard_answer/prompt_paraphrase/uncued_049_visible.response.json
uncued_049_visible,packet_judgment,generated_lore,uncued_pilot,gpt-5.5,OpenAI,robustness,standard_answer,api,1.0,0.0,0.0,1,428,64,84,22,4,0,0.0,1.0,0.0,1.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.78,0.026605000000000004,insufficient,insufficient,"uncued_049_d04,uncued_049_d01,uncued_049_d03,uncued_049_d02","uncued_049_d04,uncued_049_d01,uncued_049_d02","[{""action"": ""trace_source"", ""target"": ""uncued_049_d01"", ""rationale"": ""The partner recap is derivative and visibly points back to the roundup, so it does not independently verify the launch claim.""}, {""action"": ""search_primary"", ""target"": ""Novalis Robotics AuroraDock field upgrade toolkit April 2025 launch"", ""rationale"": ""The environment lacks a primary Novalis Robotics launch notice, operational record, or registry entry confirming an AuroraDock toolkit launch in April 2025.""}]",uncued_049,neutral_metadata_visible,citation_masked,1.0,,,"uncued_049_d04,uncued_049_d01,uncued_049_d03,uncued_049_d02",,artifacts/gpt-5.5/standard_answer/citation_masked/uncued_049_visible.prompt.json,artifacts/gpt-5.5/standard_answer/citation_masked/uncued_049_visible.response.json
uncued_049_visible,packet_judgment,generated_lore,uncued_pilot,gemini-3.1-pro-preview,Google,robustness,standard_answer,api,1.0,0.0,0.0,1,374,46,54,19,3,1,0.0,1.0,0.0,1.0,0.0,0.0,,1.0,0.0,,0.0,1.0,0.0,0.0,0.06666666666666665,1.0,0.0,1.0,0.0,0.0,0.0,0.8,0.0023905,insufficient,insufficient,"uncued_049_d03,uncued_049_d04,uncued_049_d02","uncued_049_d04,uncued_049_d02,uncued_049_d03","[{""action"": ""search_primary"", ""target"": ""AuroraDock field upgrade toolkit launch April 2025"", ""rationale"": ""Seeking primary operational records or official launch announcements from Novalis Robotics to verify the community roundup claim.""}, {""action"": ""trace_source"", ""target"": ""uncued_049_d04"", ""rationale"": ""Tracing the origin of the community roundup claim to determine if it is based on any actual operational record.""}]",uncued_049,neutral_metadata_visible,citation_masked,1.0,,,"uncued_049_d03,uncued_049_d04,uncued_049_d02",uncued_049_d01,artifacts/gemini-3.1-pro-preview/standard_answer/citation_masked/uncued_049_visible.prompt.json,artifacts/gemini-3.1-pro-preview/standard_answer/citation_masked/uncued_049_visible.response.json
