model,budget_setting,condition,n,operational_epistemic_escape,conditional_epistemic_escape,parse_success,belief_correctness,evidence_cleanliness,uncertainty_discipline,verification_action_score,visible_output_tokens,answer_word_count,evidence_assessment_word_count,max_action_rationale_word_count,overlength_rate,cost_usd
claude-opus-4-7,operational,buried_primary,40,0.8,0.8,1.0,0.8,0.925,0.8,0.3333333333333333,418.6,61.2,71.025,20.575,0.0,0.001976475
claude-opus-4-7,operational,clean,40,0.925,0.925,1.0,1.0,1.0,1.0,0.5416666666666666,412.225,60.325,69.35,21.675,0.0,0.0019322125
claude-opus-4-7,operational,conflicting_evidence,40,1.0,1.0,1.0,1.0,1.0,1.0,0.6666666666666666,430.825,59.625,70.275,22.0,0.0,0.00199225
claude-opus-4-7,operational,false_consensus,40,1.0,1.0,1.0,1.0,1.0,1.0,0.6666666666666666,402.725,58.85,71.55,18.1,0.0,0.001921675
claude-opus-4-7,operational,generated_lore,40,0.425,0.425,1.0,1.0,0.8,1.0,0.625,440.675,58.0,70.575,22.275,0.0,0.001995925
deepseek-v4-pro,operational,buried_primary,40,0.8,0.8,1.0,0.8,0.925,0.8,0.3333333333333333,359.725,43.15,57.725,20.325,0.0,0.0040810625
deepseek-v4-pro,operational,clean,40,0.975,0.975,1.0,1.0,1.0,1.0,0.41666666666666663,362.6,39.05,64.525,19.975,0.0,0.004270025
deepseek-v4-pro,operational,conflicting_evidence,40,0.825,0.825,1.0,1.0,0.95,1.0,0.5,376.925,39.45,66.1,20.425,0.0,0.004670187500000001
deepseek-v4-pro,operational,false_consensus,40,0.9,0.9,1.0,1.0,0.975,1.0,0.5,356.05,40.7,60.675,19.625,0.0,0.0038629499999999995
deepseek-v4-pro,operational,generated_lore,40,0.375,0.375,1.0,1.0,0.675,1.0,0.6666666666666666,396.4,49.475,60.9,20.925,0.0,0.004631575000000001
gemini-3.1-pro-preview,operational,buried_primary,40,0.8,0.8,1.0,0.8,1.0,0.8,0.375,441.775,77.025,65.5,19.025,0.0,0.003773125
gemini-3.1-pro-preview,operational,clean,40,0.9,0.9,1.0,1.0,1.0,1.0,0.41666666666666663,402.025,71.35,61.675,16.3,0.0,0.0036481375
gemini-3.1-pro-preview,operational,conflicting_evidence,40,0.85,0.85,1.0,1.0,1.0,1.0,0.41666666666666663,451.925,73.85,66.225,18.7,0.0,0.0041875
gemini-3.1-pro-preview,operational,false_consensus,40,0.875,0.875,1.0,1.0,1.0,1.0,0.41666666666666663,423.675,72.7,65.125,16.7,0.0,0.0036150375
gemini-3.1-pro-preview,operational,generated_lore,40,0.575,0.575,1.0,1.0,1.0,1.0,0.6666666666666666,434.3,71.2,54.95,19.425,0.0,0.003257525
gpt-5.4,operational,buried_primary,40,0.8,0.8,1.0,0.8,0.8,0.8,0.08333333333333333,338.35,58.925,61.95,12.85,0.0,0.001153875
gpt-5.4,operational,clean,40,0.975,0.975,1.0,1.0,1.0,1.0,0.3333333333333333,350.375,66.925,64.275,11.375,0.0,0.0011411875
gpt-5.4,operational,conflicting_evidence,40,0.95,0.95,1.0,1.0,0.725,1.0,0.5833333333333333,350.1,58.85,63.55,12.825,0.0,0.0011425625
gpt-5.4,operational,false_consensus,40,1.0,1.0,1.0,1.0,1.0,1.0,0.6666666666666666,323.425,52.775,61.7,13.275,0.0,0.0011267249999999999
gpt-5.4,operational,generated_lore,40,0.0,0.0,1.0,1.0,0.0,1.0,0.4583333333333333,368.4,61.35,60.525,13.9,0.0,0.001168
kimi-k2.6,operational,buried_primary,40,0.775,0.775,1.0,0.8,0.975,0.8,0.3333333333333333,382.3,56.675,56.85,22.125,0.0,0.009877825
kimi-k2.6,operational,clean,40,0.8,0.8,1.0,1.0,1.0,1.0,0.4583333333333333,341.05,53.425,58.75,16.45,0.0,0.008946875
kimi-k2.6,operational,conflicting_evidence,40,0.7,0.7,1.0,1.0,0.725,1.0,0.4583333333333333,399.1,56.45,61.825,24.6,0.0,0.00939945
kimi-k2.6,operational,false_consensus,40,0.725,0.725,1.0,1.0,1.0,1.0,0.3333333333333333,374.95,50.25,57.575,23.55,0.0,0.0091784375
kimi-k2.6,operational,generated_lore,40,0.55,0.55,1.0,1.0,1.0,1.0,0.6666666666666666,392.025,53.825,55.425,24.25,0.0,0.0078457875
