task_id,family,condition,model,prompt_condition,parse_success,empty_output,schema_missing,parse_error,response_format_used,json_extractor_used,cost_usd
ert_000,packet_judgment,clean,deepseek-v4-pro,epistemic_hygiene_instruction,1.0,0.0,0.0,,json_object,first_json_object,0.0035909999999999996
ert_001,packet_judgment,clean,deepseek-v4-pro,epistemic_hygiene_instruction,1.0,0.0,0.0,,json_object,first_json_object,0.0060307500000000005
ert_040,evidence_selection,clean,deepseek-v4-pro,epistemic_hygiene_instruction,1.0,0.0,0.0,,json_object,first_json_object,0.00568675
ert_080,active_verification,clean,deepseek-v4-pro,epistemic_hygiene_instruction,1.0,0.0,0.0,,json_object,first_json_object,0.00391325
ert_008,packet_judgment,conflicting_evidence,deepseek-v4-pro,epistemic_hygiene_instruction,1.0,0.0,0.0,,json_object,first_json_object,0.00380075
ert_048,evidence_selection,conflicting_evidence,deepseek-v4-pro,epistemic_hygiene_instruction,1.0,0.0,0.0,,json_object,first_json_object,0.00628725
ert_049,evidence_selection,conflicting_evidence,deepseek-v4-pro,epistemic_hygiene_instruction,1.0,0.0,0.0,,json_object,first_json_object,0.0057627500000000005
ert_084,active_verification,conflicting_evidence,deepseek-v4-pro,epistemic_hygiene_instruction,1.0,0.0,0.0,,json_object,first_json_object,0.005233
ert_016,packet_judgment,false_consensus,deepseek-v4-pro,epistemic_hygiene_instruction,1.0,0.0,0.0,,json_object,first_json_object,0.005474
ert_017,packet_judgment,false_consensus,deepseek-v4-pro,epistemic_hygiene_instruction,1.0,0.0,0.0,,json_object,first_json_object,0.00439175
ert_056,evidence_selection,false_consensus,deepseek-v4-pro,epistemic_hygiene_instruction,1.0,0.0,0.0,,json_object,first_json_object,0.00391025
ert_057,evidence_selection,false_consensus,deepseek-v4-pro,epistemic_hygiene_instruction,1.0,0.0,0.0,,json_object,first_json_object,0.0052625
ert_024,packet_judgment,buried_primary,deepseek-v4-pro,epistemic_hygiene_instruction,1.0,0.0,0.0,,json_object,first_json_object,0.0050297499999999995
