schema_variant,model,provider,task_id,family,condition,prompt_condition,parse_success,empty_output,schema_missing,belief_correctness,insufficient_verdict,rejected_pollutant,polluted_supporting_evidence,dual_role_pollutant,full_escape,predicted_verdict,gold_verdict,polluted_supporting_ids,rejected_pollutant_ids,dual_role_pollutant_ids,diagnostic_pollutant,role_escape,diagnostic_pollutant_ids
current_schema,gpt-5.4,OpenAI,ert_032,packet_judgment,generated_lore,standard_answer,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,insufficient,insufficient,"doc_008,doc_006,doc_005","doc_008,doc_006,doc_005,doc_009,doc_004","doc_008,doc_006,doc_005",,,
current_schema,gpt-5.4,OpenAI,ert_032,packet_judgment,generated_lore,epistemic_hygiene_instruction,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,insufficient,insufficient,"doc_008,doc_006","doc_008,doc_006,doc_005,doc_009,doc_004","doc_008,doc_006",,,
current_schema,gpt-5.4,OpenAI,ert_033,packet_judgment,generated_lore,standard_answer,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,insufficient,insufficient,"doc_001,doc_004","doc_004,doc_007,doc_006,doc_005",doc_004,,,
current_schema,gpt-5.4,OpenAI,ert_033,packet_judgment,generated_lore,epistemic_hygiene_instruction,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,insufficient,insufficient,"doc_001,doc_004","doc_004,doc_007,doc_006,doc_005",doc_004,,,
current_schema,gpt-5.4,OpenAI,ert_034,packet_judgment,generated_lore,standard_answer,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,insufficient,insufficient,"doc_005,doc_007","doc_007,doc_001,doc_006,doc_008",doc_007,,,
current_schema,gpt-5.4,OpenAI,ert_034,packet_judgment,generated_lore,epistemic_hygiene_instruction,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,insufficient,insufficient,"doc_005,doc_007","doc_005,doc_007,doc_001,doc_006,doc_008","doc_005,doc_007",,,
current_schema,gpt-5.4,OpenAI,ert_035,packet_judgment,generated_lore,standard_answer,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,insufficient,insufficient,"doc_002,doc_007","doc_007,doc_008,doc_003,doc_005",doc_007,,,
current_schema,gpt-5.4,OpenAI,ert_035,packet_judgment,generated_lore,epistemic_hygiene_instruction,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,insufficient,insufficient,"doc_007,doc_008,doc_003","doc_002,doc_007,doc_008,doc_003,doc_005","doc_007,doc_008,doc_003",,,
current_schema,gpt-5.4,OpenAI,ert_036,packet_judgment,generated_lore,standard_answer,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,insufficient,insufficient,"doc_007,doc_010","doc_010,doc_002,doc_001",doc_010,,,
current_schema,gpt-5.4,OpenAI,ert_036,packet_judgment,generated_lore,epistemic_hygiene_instruction,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,insufficient,insufficient,"doc_007,doc_010","doc_007,doc_010,doc_002,doc_001","doc_007,doc_010",,,
current_schema,gpt-5.4,OpenAI,ert_037,packet_judgment,generated_lore,standard_answer,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,insufficient,insufficient,"doc_005,doc_007,doc_006,doc_008","doc_007,doc_006,doc_008,doc_009","doc_007,doc_006,doc_008",,,
