model,strategy,difficulty,n,parse_success,claim_accuracy,escape_rate,contaminated_citation_rate,overconfident_wrong_rate,over_abstention_rate,generated_lore_overclaim_rate,false_consensus_susceptibility,primary_recovery_rate,confidence,cost_usd,abstention_quality,ece
openai/gpt-4o-mini,careful_bm25,L0,24,1.0,1.0,0.375,0.0,0.0,0.0,0.0,0.0,1.0,0.9533333333333333,0.0002999375,0.0,0.046666666666666745
openai/gpt-4o-mini,careful_bm25,L1,24,1.0,1.0,0.4166666666666667,0.0,0.0,0.0,0.0,0.0,1.0,0.94375,0.00032013125,0.0,0.05625000000000002
openai/gpt-4o-mini,careful_bm25,L2,24,1.0,1.0,0.375,0.0,0.0,0.0,0.0,0.0,1.0,0.9479166666666666,0.00029120625,0.0,0.05208333333333337
openai/gpt-4o-mini,careful_bm25,L3,24,1.0,1.0,0.7083333333333334,0.0,0.0,0.0,0.0,0.0,1.0,0.9354166666666667,0.00031009375,0.0,0.06458333333333333
openai/gpt-4o-mini,careful_bm25,L4,24,1.0,0.0,0.0,0.20833333333333334,1.0,0.0,0.0,0.20833333333333334,0.0,0.84375,0.00028118125,0.0,0.84375
openai/gpt-4o-mini,careful_bm25,L5,24,1.0,1.0,0.875,0.11458333333333333,0.0,0.0,0.0,0.0,0.0,0.3229166666666667,0.00028395625,1.0,0.6770833333333333
openai/gpt-4o-mini,hygienic_combo,L0,24,1.0,1.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,1.0,0.94375,0.00027484374999999997,0.0,0.05625000000000002
openai/gpt-4o-mini,hygienic_combo,L1,24,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9479166666666666,0.00027898749999999997,0.0,0.05208333333333337
openai/gpt-4o-mini,hygienic_combo,L2,24,1.0,1.0,0.8333333333333334,0.0,0.0,0.0,0.0,0.0,1.0,0.9458333333333333,0.00027531874999999997,0.0,0.054166666666666696
openai/gpt-4o-mini,hygienic_combo,L3,24,1.0,1.0,0.9166666666666666,0.0,0.0,0.0,0.0,0.0,1.0,0.9416666666666665,0.00027661875,0.0,0.05833333333333346
openai/gpt-4o-mini,hygienic_combo,L4,24,1.0,1.0,0.9166666666666666,0.0,0.0,0.0,0.0,0.0,1.0,0.9458333333333333,0.0002864375,0.0,0.054166666666666696
openai/gpt-4o-mini,hygienic_combo,L5,24,1.0,0.9583333333333334,0.7916666666666666,0.16666666666666666,0.0,0.0,0.041666666666666664,0.0,0.0,0.3541666666666667,0.00026423749999999997,0.9583333333333334,0.6041666666666666
openai/gpt-4o-mini,naive_bm25,L0,24,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9458333333333333,0.0002694625,0.0,0.054166666666666696
openai/gpt-4o-mini,naive_bm25,L1,24,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9395833333333333,0.00028643125,0.0,0.060416666666666674
openai/gpt-4o-mini,naive_bm25,L2,24,1.0,1.0,0.9166666666666666,0.027777777777777776,0.0,0.0,0.0,0.0,1.0,0.9416666666666665,0.00026753125000000003,0.0,0.05833333333333346
openai/gpt-4o-mini,naive_bm25,L3,24,0.9583333333333334,0.9583333333333334,0.9583333333333334,0.0,0.0,0.0,0.0,0.0,1.0,0.8999999999999999,0.00028510625,0.0,0.058333333333333424
openai/gpt-4o-mini,naive_bm25,L4,24,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.9479166666666666,0.00029013125,0.0,0.9479166666666666
openai/gpt-4o-mini,naive_bm25,L5,24,1.0,0.375,0.0,0.9895833333333334,0.625,0.0,0.625,0.0,0.0,0.71875,0.00026325625,0.375,0.7770833333333333
openai/gpt-4o-mini,primary_preserve,L0,24,1.0,1.0,0.7916666666666666,0.0,0.0,0.0,0.0,0.0,1.0,0.9541666666666666,0.0002924375,0.0,0.04583333333333339
openai/gpt-4o-mini,primary_preserve,L1,24,1.0,1.0,0.9583333333333334,0.0,0.0,0.0,0.0,0.0,1.0,0.9416666666666665,0.00029533125,0.0,0.05833333333333346
openai/gpt-4o-mini,primary_preserve,L2,24,1.0,1.0,0.8333333333333334,0.0,0.0,0.0,0.0,0.0,1.0,0.9416666666666665,0.00029168125,0.0,0.05833333333333346
openai/gpt-4o-mini,primary_preserve,L3,24,1.0,1.0,0.875,0.0,0.0,0.0,0.0,0.0,1.0,0.9470833333333334,0.00030201875,0.0,0.05291666666666661
openai/gpt-4o-mini,primary_preserve,L4,24,1.0,1.0,0.9583333333333334,0.0,0.0,0.0,0.0,0.0,1.0,0.9479166666666666,0.00029604375,0.0,0.05208333333333337
openai/gpt-4o-mini,primary_preserve,L5,24,1.0,1.0,0.875,0.10416666666666667,0.0,0.0,0.0,0.0,0.0,0.36874999999999997,0.00025540625,1.0,0.6312499999999999
openai/gpt-5-mini,careful_bm25,L0,24,0.9583333333333334,0.9583333333333334,0.9583333333333334,0.0,0.0,0.041666666666666664,0.0,0.0,1.0,0.8591666666666667,0.0024921875,0.0,0.09916666666666658
openai/gpt-5-mini,careful_bm25,L1,24,1.0,1.0,0.9583333333333334,0.0,0.0,0.0,0.0,0.0,1.0,0.9125,0.0023361770833333333,0.0,0.08750000000000002
openai/gpt-5-mini,careful_bm25,L2,24,0.9583333333333334,0.9583333333333334,0.4166666666666667,0.18055555555555555,0.0,0.0,0.0,0.0,1.0,0.8725,0.0026956770833333333,0.0,0.08583333333333329
openai/gpt-5-mini,careful_bm25,L3,24,1.0,1.0,0.9583333333333334,0.0,0.0,0.0,0.0,0.0,1.0,0.9066666666666667,0.0023692395833333334,0.0,0.09333333333333327
openai/gpt-5-mini,careful_bm25,L4,24,1.0,0.0,0.0,0.0,0.9166666666666666,0.0,0.0,0.0,0.0,0.7637499999999999,0.00225084375,0.0,0.7637499999999999
openai/gpt-5-mini,careful_bm25,L5,24,0.875,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.71,0.00256371875,1.0,0.29
openai/gpt-5-mini,hygienic_combo,L0,24,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.895,0.00239428125,0.0,0.10499999999999998
openai/gpt-5-mini,hygienic_combo,L1,24,1.0,1.0,0.9583333333333334,0.0,0.0,0.0,0.0,0.0,1.0,0.915,0.0020944375,0.0,0.08499999999999996
openai/gpt-5-mini,hygienic_combo,L2,24,1.0,1.0,0.5833333333333334,0.13888888888888887,0.0,0.0,0.0,0.0,1.0,0.9145833333333333,0.0027783229166666664,0.0,0.0854166666666667
openai/gpt-5-mini,hygienic_combo,L3,24,1.0,1.0,0.9583333333333334,0.0,0.0,0.0,0.0,0.0,1.0,0.90375,0.00220253125,0.0,0.09624999999999995
openai/gpt-5-mini,hygienic_combo,L4,24,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9066666666666667,0.0022987291666666664,0.0,0.09333333333333327
openai/gpt-5-mini,hygienic_combo,L5,24,0.875,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6695833333333333,0.0025172708333333336,1.0,0.33041666666666664
openai/gpt-5-mini,naive_bm25,L0,24,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9008333333333334,0.0017924791666666668,0.0,0.09916666666666663
openai/gpt-5-mini,naive_bm25,L1,24,1.0,1.0,0.9166666666666666,0.041666666666666664,0.0,0.0,0.0,0.0,1.0,0.9154166666666667,0.0019926770833333333,0.0,0.08458333333333334
openai/gpt-5-mini,naive_bm25,L2,24,1.0,1.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,1.0,0.9070833333333334,0.0020664270833333333,0.0,0.09291666666666665
openai/gpt-5-mini,naive_bm25,L3,24,1.0,1.0,0.875,0.125,0.0,0.0,0.0,0.0,1.0,0.9191666666666666,0.0020068229166666667,0.0,0.08083333333333342
openai/gpt-5-mini,naive_bm25,L4,24,1.0,0.0,0.0,1.0,0.20833333333333334,0.0,0.0,1.0,0.0,0.4025,0.00205459375,0.0,0.40249999999999997
openai/gpt-5-mini,naive_bm25,L5,24,1.0,1.0,0.0,0.9791666666666666,0.0,0.0,0.0,0.0,0.0,0.5883333333333334,0.00212096875,1.0,0.4116666666666666
openai/gpt-5-mini,primary_preserve,L0,24,0.9583333333333334,0.9583333333333334,0.9583333333333334,0.0,0.0,0.041666666666666664,0.0,0.0,1.0,0.85875,0.0024347291666666666,0.0,0.09958333333333338
openai/gpt-5-mini,primary_preserve,L1,24,1.0,1.0,0.9583333333333334,0.0,0.0,0.0,0.0,0.0,1.0,0.9183333333333333,0.002356510416666667,0.0,0.08166666666666667
openai/gpt-5-mini,primary_preserve,L2,24,0.9166666666666666,0.9166666666666666,0.3333333333333333,0.19444444444444442,0.0,0.0,0.0,0.0,1.0,0.8300000000000001,0.0029204270833333335,0.0,0.08666666666666661
openai/gpt-5-mini,primary_preserve,L3,24,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9029166666666667,0.00220265625,0.0,0.0970833333333333
openai/gpt-5-mini,primary_preserve,L4,24,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9095833333333334,0.0023664479166666664,0.0,0.09041666666666659
openai/gpt-5-mini,primary_preserve,L5,24,0.9583333333333334,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7495833333333333,0.0024498854166666666,1.0,0.2504166666666666
openai/gpt-5.4-mini,careful_bm25,L0,24,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9758333333333332,0.0021688125,0.0,0.02416666666666678
openai/gpt-5.4-mini,careful_bm25,L1,24,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9808333333333333,0.00218409375,0.0,0.019166666666666665
openai/gpt-5.4-mini,careful_bm25,L2,24,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9804166666666667,0.00225415625,0.0,0.019583333333333286
openai/gpt-5.4-mini,careful_bm25,L3,24,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9820833333333333,0.00230121875,0.0,0.017916666666666692
openai/gpt-5.4-mini,careful_bm25,L4,24,1.0,0.0,0.0,0.041666666666666664,1.0,0.0,0.0,0.041666666666666664,0.0,0.9141666666666667,0.00249696875,0.0,0.9141666666666667
openai/gpt-5.4-mini,careful_bm25,L5,24,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9391666666666666,0.00227565625,1.0,0.060833333333333406
openai/gpt-5.4-mini,hygienic_combo,L0,24,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9725,0.00198521875,0.0,0.02749999999999997
openai/gpt-5.4-mini,hygienic_combo,L1,24,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9816666666666666,0.0019441249999999999,0.0,0.018333333333333424
openai/gpt-5.4-mini,hygienic_combo,L2,24,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9795833333333333,0.00230971875,0.0,0.02041666666666675
openai/gpt-5.4-mini,hygienic_combo,L3,24,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9808333333333333,0.00147209375,0.0,0.019166666666666665
openai/gpt-5.4-mini,hygienic_combo,L4,24,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.975,0.0016285625,0.0,0.025000000000000022
openai/gpt-5.4-mini,hygienic_combo,L5,24,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9429166666666666,0.00213925,1.0,0.057083333333333375
openai/gpt-5.4-mini,naive_bm25,L0,24,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9787499999999999,0.00177975,0.0,0.021250000000000102
openai/gpt-5.4-mini,naive_bm25,L1,24,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.98,0.00179709375,0.0,0.020000000000000018
openai/gpt-5.4-mini,naive_bm25,L2,24,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9812500000000001,0.0018624687500000002,0.0,0.018749999999999933
openai/gpt-5.4-mini,naive_bm25,L3,24,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9795833333333333,0.00182496875,0.0,0.02041666666666675
