condition,family,model,row_class,n,strict_current_score,prose_aware_rejected_score,action_aware_partial_score,strict_to_prose_pass_count,strict_to_action_partial_or_pass_count
conflicting_evidence,active_verification,claude-opus-4-7,all_polluted_support,4,0.0,0.75,0.75,3,3
conflicting_evidence,active_verification,deepseek-v4-pro,all_polluted_support,4,0.0,0.25,0.25,1,1
conflicting_evidence,active_verification,gemini-3.1-pro-preview,all_polluted_support,1,0.0,0.0,0.0,0,0
conflicting_evidence,evidence_selection,claude-opus-4-7,all_polluted_support,6,0.0,1.0,1.0,6,6
conflicting_evidence,evidence_selection,deepseek-v4-pro,all_polluted_support,10,0.0,0.3,0.3,3,3
conflicting_evidence,evidence_selection,gemini-3.1-pro-preview,all_polluted_support,1,0.0,0.0,0.0,0,0
conflicting_evidence,packet_judgment,claude-opus-4-7,all_polluted_support,7,0.0,1.0,1.0,7,7
conflicting_evidence,packet_judgment,deepseek-v4-pro,all_polluted_support,7,0.0,0.14285714285714285,0.14285714285714285,1,1
conflicting_evidence,packet_judgment,gemini-3.1-pro-preview,all_polluted_support,3,0.0,0.0,0.0,0,0
false_consensus,active_verification,claude-opus-4-7,all_polluted_support,1,0.0,1.0,1.0,1,1
false_consensus,active_verification,deepseek-v4-pro,all_polluted_support,4,0.0,0.0,0.0,0,0
false_consensus,evidence_selection,claude-opus-4-7,all_polluted_support,5,0.0,0.4,0.4,2,2
false_consensus,evidence_selection,deepseek-v4-pro,all_polluted_support,7,0.0,0.14285714285714285,0.14285714285714285,1,1
false_consensus,evidence_selection,gemini-3.1-pro-preview,all_polluted_support,1,0.0,0.0,0.0,0,0
false_consensus,packet_judgment,claude-opus-4-7,all_polluted_support,7,0.0,0.2857142857142857,0.2857142857142857,2,2
false_consensus,packet_judgment,deepseek-v4-pro,all_polluted_support,6,0.0,0.3333333333333333,0.3333333333333333,2,2
generated_lore,active_verification,claude-opus-4-7,all_polluted_support,8,0.0,1.0,1.0,8,8
generated_lore,active_verification,claude-opus-4-7,target_generated_lore_gap,8,0.0,1.0,1.0,8,8
generated_lore,active_verification,deepseek-v4-pro,all_polluted_support,8,0.0,0.625,0.625,5,5
generated_lore,active_verification,deepseek-v4-pro,target_generated_lore_gap,6,0.0,0.8333333333333334,0.8333333333333334,5,5
generated_lore,active_verification,gemini-3.1-pro-preview,all_polluted_support,4,0.0,1.0,1.0,4,4
generated_lore,active_verification,gemini-3.1-pro-preview,target_generated_lore_gap,4,0.0,1.0,1.0,4,4
generated_lore,active_verification,gpt-5.5,all_polluted_support,5,0.0,1.0,1.0,5,5
generated_lore,active_verification,gpt-5.5,target_generated_lore_gap,5,0.0,1.0,1.0,5,5
generated_lore,evidence_selection,claude-opus-4-7,all_polluted_support,8,0.0,1.0,1.0,8,8
generated_lore,evidence_selection,claude-opus-4-7,target_generated_lore_gap,8,0.0,1.0,1.0,8,8
generated_lore,evidence_selection,deepseek-v4-pro,all_polluted_support,8,0.0,0.875,0.875,7,7
generated_lore,evidence_selection,deepseek-v4-pro,target_generated_lore_gap,7,0.0,1.0,1.0,7,7
generated_lore,evidence_selection,gemini-3.1-pro-preview,all_polluted_support,2,0.0,1.0,1.0,2,2
generated_lore,evidence_selection,gemini-3.1-pro-preview,target_generated_lore_gap,2,0.0,1.0,1.0,2,2
generated_lore,evidence_selection,gpt-5.5,all_polluted_support,8,0.0,1.0,1.0,8,8
generated_lore,evidence_selection,gpt-5.5,target_generated_lore_gap,8,0.0,1.0,1.0,8,8
generated_lore,packet_judgment,claude-opus-4-7,all_polluted_support,8,0.0,1.0,1.0,8,8
generated_lore,packet_judgment,claude-opus-4-7,target_generated_lore_gap,8,0.0,1.0,1.0,8,8
generated_lore,packet_judgment,deepseek-v4-pro,all_polluted_support,8,0.0,0.75,0.75,6,6
generated_lore,packet_judgment,deepseek-v4-pro,target_generated_lore_gap,6,0.0,1.0,1.0,6,6
generated_lore,packet_judgment,gemini-3.1-pro-preview,all_polluted_support,3,0.0,1.0,1.0,3,3
generated_lore,packet_judgment,gemini-3.1-pro-preview,target_generated_lore_gap,3,0.0,1.0,1.0,3,3
generated_lore,packet_judgment,gpt-5.5,all_polluted_support,7,0.0,1.0,1.0,7,7
generated_lore,packet_judgment,gpt-5.5,target_generated_lore_gap,7,0.0,1.0,1.0,7,7
