task_id,family,condition,model,prompt_condition,parse_success,empty_output,schema_missing,parse_error,response_format_used,json_extractor_used,cost_usd
uncued_000_visible,packet_judgment,clean,gpt-5.5,standard_answer,1.0,0.0,0.0,,json_schema,first_json_object,0.025730000000000003
uncued_000_hidden,packet_judgment,clean,gpt-5.5,standard_answer,1.0,0.0,0.0,,json_schema,first_json_object,0.020999999999999998
uncued_005_visible,evidence_selection,clean,gpt-5.5,standard_answer,1.0,0.0,0.0,,json_schema,first_json_object,0.019255
uncued_010_visible,active_verification,clean,gpt-5.5,standard_answer,1.0,0.0,0.0,,json_schema,first_json_object,0.0188
uncued_012_visible,packet_judgment,conflicting_evidence,gpt-5.5,standard_answer,1.0,0.0,0.0,,json_schema,first_json_object,0.022690000000000002
uncued_017_visible,evidence_selection,conflicting_evidence,gpt-5.5,standard_answer,1.0,0.0,0.0,,json_schema,first_json_object,0.019995
uncued_017_hidden,evidence_selection,conflicting_evidence,gpt-5.5,standard_answer,1.0,0.0,0.0,,json_schema,first_json_object,0.020124999999999997
uncued_022_visible,active_verification,conflicting_evidence,gpt-5.5,standard_answer,1.0,0.0,0.0,,json_schema,first_json_object,0.020720000000000002
uncued_024_visible,packet_judgment,false_consensus,gpt-5.5,standard_answer,1.0,0.0,0.0,,json_schema,first_json_object,0.021955
uncued_024_hidden,packet_judgment,false_consensus,gpt-5.5,standard_answer,1.0,0.0,0.0,,json_schema,first_json_object,0.018815
uncued_029_visible,evidence_selection,false_consensus,gpt-5.5,standard_answer,1.0,0.0,0.0,,json_schema,first_json_object,0.02372
uncued_029_hidden,evidence_selection,false_consensus,gpt-5.5,standard_answer,1.0,0.0,0.0,,json_schema,first_json_object,0.024390000000000002
uncued_036_visible,packet_judgment,buried_primary,gpt-5.5,standard_answer,1.0,0.0,0.0,,json_schema,first_json_object,0.026000000000000002
uncued_041_visible,evidence_selection,buried_primary,gpt-5.5,standard_answer,1.0,0.0,0.0,,json_schema,first_json_object,0.02978
uncued_041_hidden,evidence_selection,buried_primary,gpt-5.5,standard_answer,1.0,0.0,0.0,,json_schema,first_json_object,0.02895
uncued_046_visible,active_verification,buried_primary,gpt-5.5,standard_answer,1.0,0.0,0.0,,json_schema,first_json_object,0.02302
uncued_048_visible,packet_judgment,generated_lore,gpt-5.5,standard_answer,1.0,0.0,0.0,,json_schema,first_json_object,0.013555
uncued_048_hidden,packet_judgment,generated_lore,gpt-5.5,standard_answer,1.0,0.0,0.0,,json_schema,first_json_object,0.028445
uncued_052_visible,evidence_selection,generated_lore,gpt-5.5,standard_answer,1.0,0.0,0.0,,json_schema,first_json_object,0.030010000000000002
uncued_056_visible,active_verification,generated_lore,gpt-5.5,standard_answer,1.0,0.0,0.0,,json_schema,first_json_object,0.030455
uncued_000_visible,packet_judgment,clean,claude-opus-4-7,standard_answer,1.0,0.0,0.0,,json_schema,first_json_object,0.0014130000000000002
uncued_000_hidden,packet_judgment,clean,claude-opus-4-7,standard_answer,1.0,0.0,0.0,,json_schema,first_json_object,0.001454
uncued_005_visible,evidence_selection,clean,claude-opus-4-7,standard_answer,1.0,0.0,0.0,,json_schema,first_json_object,0.001193
