baseline,view,task_id,family,condition,gold_verdict,predicted_verdict,verdict_accuracy,evidence_precision,clean_support_recall,polluted_support_rate,role_reconstruction_accuracy,action_target_score,operational_epistemic_escape,supporting_evidence,selected_doc_ids,is_simple_heuristic
id_only,neutral_metadata_visible,uncued_000,packet_judgment,clean,supported,supported,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,uncued_000_d01,0
document_order_only,neutral_metadata_visible,uncued_000,packet_judgment,clean,supported,supported,1.0,0.0,0.0,0.0,0.0,0.0,0.0,uncued_000_d01,uncued_000_d01,0
title_only,neutral_metadata_visible,uncued_000,packet_judgment,clean,supported,insufficient,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,uncued_000_d01,0
source_type_only,neutral_metadata_visible,uncued_000,packet_judgment,clean,supported,supported,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,uncued_000_d01,0
metadata_only,neutral_metadata_visible,uncued_000,packet_judgment,clean,supported,supported,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,uncued_000_d04,0
timestamp_only,neutral_metadata_visible,uncued_000,packet_judgment,clean,supported,supported,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,uncued_000_d01,0
citation_graph_only,neutral_metadata_visible,uncued_000,packet_judgment,clean,supported,insufficient,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,"uncued_000_d01,uncued_000_d03",0
claim_overlap_only,neutral_metadata_visible,uncued_000,packet_judgment,clean,supported,insufficient,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,"uncued_000_d03,uncued_000_d04",0
cue_phrase_only,neutral_metadata_visible,uncued_000,packet_judgment,clean,supported,supported,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0
random_valid_schema,neutral_metadata_visible,uncued_000,packet_judgment,clean,supported,supported,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,uncued_000_d01,0
always_insufficient,neutral_metadata_visible,uncued_000,packet_judgment,clean,supported,insufficient,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0
simple_heuristic,neutral_metadata_visible,uncued_000,packet_judgment,clean,supported,supported,1.0,1.0,1.0,0.0,0.0,0.0,1.0,uncued_000_d03,"uncued_000_d03,uncued_000_d04,uncued_000_d02",1
id_only,neutral_metadata_visible,uncued_001,packet_judgment,clean,refuted,supported,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,uncued_001_d01,0
document_order_only,neutral_metadata_visible,uncued_001,packet_judgment,clean,refuted,supported,0.0,0.0,0.0,0.0,0.0,0.0,0.0,uncued_001_d02,uncued_001_d02,0
title_only,neutral_metadata_visible,uncued_001,packet_judgment,clean,refuted,insufficient,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,uncued_001_d02,0
source_type_only,neutral_metadata_visible,uncued_001,packet_judgment,clean,refuted,supported,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,uncued_001_d02,0
metadata_only,neutral_metadata_visible,uncued_001,packet_judgment,clean,refuted,supported,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,uncued_001_d04,0
timestamp_only,neutral_metadata_visible,uncued_001,packet_judgment,clean,refuted,supported,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,uncued_001_d01,0
citation_graph_only,neutral_metadata_visible,uncued_001,packet_judgment,clean,refuted,insufficient,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,"uncued_001_d02,uncued_001_d01",0
claim_overlap_only,neutral_metadata_visible,uncued_001,packet_judgment,clean,refuted,insufficient,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,"uncued_001_d03,uncued_001_d02",0
cue_phrase_only,neutral_metadata_visible,uncued_001,packet_judgment,clean,refuted,supported,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0
random_valid_schema,neutral_metadata_visible,uncued_001,packet_judgment,clean,refuted,refuted,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,uncued_001_d04,0
always_insufficient,neutral_metadata_visible,uncued_001,packet_judgment,clean,refuted,insufficient,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0
simple_heuristic,neutral_metadata_visible,uncued_001,packet_judgment,clean,refuted,supported,0.0,1.0,1.0,0.0,0.0,0.0,0.0,uncued_001_d03,"uncued_001_d03,uncued_001_d02,uncued_001_d04",1
id_only,neutral_metadata_visible,uncued_002,packet_judgment,clean,supported,supported,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,uncued_002_d01,0
document_order_only,neutral_metadata_visible,uncued_002,packet_judgment,clean,supported,supported,1.0,0.0,0.0,0.0,0.0,0.0,0.0,uncued_002_d02,uncued_002_d02,0
title_only,neutral_metadata_visible,uncued_002,packet_judgment,clean,supported,insufficient,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,uncued_002_d02,0
source_type_only,neutral_metadata_visible,uncued_002,packet_judgment,clean,supported,supported,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,uncued_002_d02,0
metadata_only,neutral_metadata_visible,uncued_002,packet_judgment,clean,supported,supported,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,uncued_002_d04,0
timestamp_only,neutral_metadata_visible,uncued_002,packet_judgment,clean,supported,supported,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,uncued_002_d04,0
citation_graph_only,neutral_metadata_visible,uncued_002,packet_judgment,clean,supported,insufficient,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,"uncued_002_d02,uncued_002_d04",0
claim_overlap_only,neutral_metadata_visible,uncued_002,packet_judgment,clean,supported,insufficient,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,"uncued_002_d01,uncued_002_d02",0
cue_phrase_only,neutral_metadata_visible,uncued_002,packet_judgment,clean,supported,supported,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0
random_valid_schema,neutral_metadata_visible,uncued_002,packet_judgment,clean,supported,insufficient,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,uncued_002_d02,0
always_insufficient,neutral_metadata_visible,uncued_002,packet_judgment,clean,supported,insufficient,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0
simple_heuristic,neutral_metadata_visible,uncued_002,packet_judgment,clean,supported,supported,1.0,1.0,1.0,0.0,0.0,0.0,1.0,uncued_002_d01,"uncued_002_d01,uncued_002_d02,uncued_002_d03",1
id_only,neutral_metadata_visible,uncued_003,packet_judgment,clean,refuted,supported,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,uncued_003_d01,0
document_order_only,neutral_metadata_visible,uncued_003,packet_judgment,clean,refuted,supported,0.0,1.0,1.0,0.0,0.0,0.0,0.0,uncued_003_d03,uncued_003_d03,0
title_only,neutral_metadata_visible,uncued_003,packet_judgment,clean,refuted,insufficient,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,uncued_003_d03,0
source_type_only,neutral_metadata_visible,uncued_003,packet_judgment,clean,refuted,supported,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,uncued_003_d03,0
metadata_only,neutral_metadata_visible,uncued_003,packet_judgment,clean,refuted,supported,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,uncued_003_d04,0
