record_type,check,severity,task_id,view,subject,detail,from_doc,to_doc,relation,from_title,from_source_type,from_body_excerpt,to_title,to_source_type,to_body_excerpt
cycle_warning,dependency_edge_consistency,P1,uncued_024,neutral_metadata_visible,uncued_024_d01,visible citation graph contains a cycle,,,,,,,,,
cycle_warning,dependency_edge_consistency,P1,uncued_024,neutral_metadata_hidden,uncued_024_d02,visible citation graph contains a cycle,,,,,,,,,
cycle_warning,dependency_edge_consistency,P1,uncued_025,neutral_metadata_visible,uncued_025_d03,visible citation graph contains a cycle,,,,,,,,,
cycle_warning,dependency_edge_consistency,P1,uncued_025,neutral_metadata_hidden,uncued_025_d02,visible citation graph contains a cycle,,,,,,,,,
cycle_warning,dependency_edge_consistency,P1,uncued_026,neutral_metadata_visible,uncued_026_d03,visible citation graph contains a cycle,,,,,,,,,
cycle_warning,dependency_edge_consistency,P1,uncued_026,neutral_metadata_hidden,uncued_026_d01,visible citation graph contains a cycle,,,,,,,,,
cycle_warning,dependency_edge_consistency,P1,uncued_027,neutral_metadata_visible,uncued_027_d02,visible citation graph contains a cycle,,,,,,,,,
cycle_warning,dependency_edge_consistency,P1,uncued_027,neutral_metadata_hidden,uncued_027_d01,visible citation graph contains a cycle,,,,,,,,,
cycle_warning,dependency_edge_consistency,P1,uncued_028,neutral_metadata_visible,uncued_028_d03,visible citation graph contains a cycle,,,,,,,,,
cycle_warning,dependency_edge_consistency,P1,uncued_028,neutral_metadata_hidden,uncued_028_d04,visible citation graph contains a cycle,,,,,,,,,
cycle_warning,dependency_edge_consistency,P1,uncued_029,neutral_metadata_visible,uncued_029_d02,visible citation graph contains a cycle,,,,,,,,,
cycle_warning,dependency_edge_consistency,P1,uncued_029,neutral_metadata_hidden,uncued_029_d03,visible citation graph contains a cycle,,,,,,,,,
cycle_warning,dependency_edge_consistency,P1,uncued_030,neutral_metadata_visible,uncued_030_d01,visible citation graph contains a cycle,,,,,,,,,
cycle_warning,dependency_edge_consistency,P1,uncued_030,neutral_metadata_hidden,uncued_030_d03,visible citation graph contains a cycle,,,,,,,,,
cycle_warning,dependency_edge_consistency,P1,uncued_031,neutral_metadata_visible,uncued_031_d03,visible citation graph contains a cycle,,,,,,,,,
cycle_warning,dependency_edge_consistency,P1,uncued_031,neutral_metadata_hidden,uncued_031_d02,visible citation graph contains a cycle,,,,,,,,,
cycle_warning,dependency_edge_consistency,P1,uncued_032,neutral_metadata_visible,uncued_032_d02,visible citation graph contains a cycle,,,,,,,,,
cycle_warning,dependency_edge_consistency,P1,uncued_032,neutral_metadata_hidden,uncued_032_d03,visible citation graph contains a cycle,,,,,,,,,
cycle_warning,dependency_edge_consistency,P1,uncued_033,neutral_metadata_visible,uncued_033_d02,visible citation graph contains a cycle,,,,,,,,,
cycle_warning,dependency_edge_consistency,P1,uncued_033,neutral_metadata_hidden,uncued_033_d04,visible citation graph contains a cycle,,,,,,,,,
cycle_warning,dependency_edge_consistency,P1,uncued_034,neutral_metadata_visible,uncued_034_d02,visible citation graph contains a cycle,,,,,,,,,
cycle_warning,dependency_edge_consistency,P1,uncued_034,neutral_metadata_hidden,uncued_034_d02,visible citation graph contains a cycle,,,,,,,,,
cycle_warning,dependency_edge_consistency,P1,uncued_035,neutral_metadata_visible,uncued_035_d04,visible citation graph contains a cycle,,,,,,,,,
cycle_warning,dependency_edge_consistency,P1,uncued_035,neutral_metadata_hidden,uncued_035_d03,visible citation graph contains a cycle,,,,,,,,,
dependency_edge,dependency_edge_consistency,P1,uncued_024,neutral_metadata_visible,,dependency edge for cycle-affected task,uncued_024_d01,uncued_024_d04,visible_citation,Service Ledger Extract,registry entry,"A weekly digest repeats that Atlas valve checks reached 211 completed checks in March 2025. The digest points to the same earlier bulletin used by another note in the packet. The note uses the same site code, workstream name, and monthly close date as the surrounding packet so that relation checks depend on the stated values rather than labels.",Operations Timeline Note,operations memo,"A partner summary also gives 211 for Atlas valve checks in March 2025. Its visible citation points back to the weekly digest rather than to a separate count sheet. The note uses the same site code, workstream name, and monthly close date as the surrounding packet so that relation checks depend on the stated values rather than labels."
dependency_edge,dependency_edge_consistency,P1,uncued_024,neutral_metadata_visible,,dependency edge for cycle-affected task,uncued_024_d04,uncued_024_d01,visible_citation,Operations Timeline Note,operations memo,"A partner summary also gives 211 for Atlas valve checks in March 2025. Its visible citation points back to the weekly digest rather than to a separate count sheet. The note uses the same site code, workstream name, and monthly close date as the surrounding packet so that relation checks depend on the stated values rather than labels.",Service Ledger Extract,registry entry,"A weekly digest repeats that Atlas valve checks reached 211 completed checks in March 2025. The digest points to the same earlier bulletin used by another note in the packet. The note uses the same site code, workstream name, and monthly close date as the surrounding packet so that relation checks depend on the stated values rather than labels."
