row_id,episode_type,task_id,retriever,gold_risks,v7_predicted_risks,v7_claim,v7_fp_flags,v7_fn_flags,calibration_focus
cal_001,clean_control,eha2r_000,bm25_top8,-,-,supported->supported,-,-,clean control should stay risk-empty
cal_002,clean_control,eha2r_001,primary_preserve_top8,-,stale_evidence+false_consensus,supported->supported,stale+false_consensus,-,rejected pollution should not become critical risk
cal_003,clean_control,eha2r_004,bm25_top8,-,stale_evidence+false_consensus,supported->supported,stale+false_consensus,-,clean answer with visible pollutant should stay sparse
cal_004,clean_control,eha2r_002,hygienic_combo_top8,-,-,supported->supported,-,-,clean hygienic retrieval control
cal_005,clean_control,eha2r_007,primary_preserve_top8,-,-,supported->supported,-,-,clean primary-preserve control
cal_006,false_consensus_stress,eha2r_008,primary_preserve_top8,conflicting_evidence+false_consensus,conflicting_evidence+false_consensus,refuted->refuted,-,-,positive false-consensus control
cal_007,false_consensus_stress,eha2r_009,bm25_top8,conflicting_evidence+false_consensus,stale_evidence+conflicting_evidence+citation_laundering+false_consensus,refuted->refuted,stale+citation_laundering,-,separate same-root repetition from citation laundering
cal_008,false_consensus_stress,eha2r_014,bm25_top8,conflicting_evidence+false_consensus,generated_lore+no_primary_source+false_consensus,refuted->insufficient,stale+generated_lore+no_primary,conflict,do not turn false consensus into no-primary/generated lore
cal_009,false_consensus_stress,eha2r_029,bm25_top8,conflicting_evidence+false_consensus,generated_lore+no_primary_source+false_consensus+citation_laundering,refuted->insufficient,stale+generated_lore+no_primary+citation_laundering,conflict,false-consensus high-pressure failure
cal_010,false_consensus_stress,eha2r_031,bm25_top8,conflicting_evidence+false_consensus,citation_laundering+false_consensus,refuted->insufficient,stale+citation_laundering+partial_support,conflict,false consensus should not imply partial support
cal_011,citation_laundering_trace,eha2r_049,hygienic_combo_top8,citation_laundering+conflicting_evidence,citation_laundering,refuted->refuted,-,-,positive citation-laundering control
