model,strategy,difficulty,n,parse_success,claim_accuracy,escape_rate,contaminated_citation_rate,overconfident_wrong_rate,over_abstention_rate,generated_lore_overclaim_rate,false_consensus_susceptibility,primary_recovery_rate,confidence,cost_usd,abstention_quality,ece
heuristic-sim,careful_bm25,L0,24,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.7399999999999999,0.0,0.0,0.2600000000000001
heuristic-sim,careful_bm25,L1,24,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.7399999999999999,0.0,0.0,0.2600000000000001
heuristic-sim,careful_bm25,L2,24,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.7399999999999999,0.0,0.0,0.2600000000000001
heuristic-sim,careful_bm25,L3,24,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.7399999999999999,0.0,0.0,0.2600000000000001
heuristic-sim,careful_bm25,L4,24,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.82,0.0,0.0,0.82
heuristic-sim,careful_bm25,L5,24,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.55,0.0,1.0,0.44999999999999996
heuristic-sim,hygienic_combo,L0,24,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.7399999999999999,0.0,0.0,0.2600000000000001
heuristic-sim,hygienic_combo,L1,24,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.7399999999999999,0.0,0.0,0.2600000000000001
heuristic-sim,hygienic_combo,L2,24,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.7399999999999999,0.0,0.0,0.2600000000000001
heuristic-sim,hygienic_combo,L3,24,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.7399999999999999,0.0,0.0,0.2600000000000001
heuristic-sim,hygienic_combo,L4,24,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.7399999999999999,0.0,0.0,0.2600000000000001
heuristic-sim,hygienic_combo,L5,24,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.55,0.0,1.0,0.44999999999999996
heuristic-sim,naive_bm25,L0,24,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.7399999999999999,0.0,0.0,0.2600000000000001
heuristic-sim,naive_bm25,L1,24,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.7399999999999999,0.0,0.0,0.2600000000000001
heuristic-sim,naive_bm25,L2,24,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.7399999999999999,0.0,0.0,0.2600000000000001
heuristic-sim,naive_bm25,L3,24,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.82,0.0,0.0,0.82
heuristic-sim,naive_bm25,L4,24,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.82,0.0,0.0,0.82
heuristic-sim,naive_bm25,L5,24,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.7200000000000001,0.0,0.0,0.7200000000000001
heuristic-sim,primary_preserve,L0,24,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.7399999999999999,0.0,0.0,0.2600000000000001
heuristic-sim,primary_preserve,L1,24,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.7399999999999999,0.0,0.0,0.2600000000000001
heuristic-sim,primary_preserve,L2,24,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.7399999999999999,0.0,0.0,0.2600000000000001
heuristic-sim,primary_preserve,L3,24,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.7399999999999999,0.0,0.0,0.2600000000000001
heuristic-sim,primary_preserve,L4,24,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.7399999999999999,0.0,0.0,0.2600000000000001
heuristic-sim,primary_preserve,L5,24,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.55,0.0,1.0,0.44999999999999996
