model,strategy,difficulty,n,parse_success,claim_accuracy,escape_rate,contaminated_citation_rate,overconfident_wrong_rate,over_abstention_rate,generated_lore_overclaim_rate,false_consensus_susceptibility,primary_recovery_rate,confidence,cost_usd,abstention_quality,ece
openai/gpt-4o-mini,careful_bm25,L0,24,1.0,1.0,0.375,0.0,0.0,0.0,0.0,0.0,1.0,0.9533333333333333,0.0002999375,0.0,0.046666666666666745
openai/gpt-4o-mini,careful_bm25,L1,24,1.0,1.0,0.4166666666666667,0.0,0.0,0.0,0.0,0.0,1.0,0.94375,0.00032013125,0.0,0.05625000000000002
openai/gpt-4o-mini,careful_bm25,L2,24,1.0,1.0,0.375,0.0,0.0,0.0,0.0,0.0,1.0,0.9479166666666666,0.00029120625,0.0,0.05208333333333337
openai/gpt-4o-mini,careful_bm25,L3,24,1.0,1.0,0.7083333333333334,0.0,0.0,0.0,0.0,0.0,1.0,0.9354166666666667,0.00031009375,0.0,0.06458333333333333
openai/gpt-4o-mini,careful_bm25,L4,24,1.0,0.0,0.0,0.20833333333333334,1.0,0.0,0.0,0.20833333333333334,0.0,0.84375,0.00028118125,0.0,0.84375
openai/gpt-4o-mini,careful_bm25,L5,24,1.0,1.0,0.875,0.11458333333333333,0.0,0.0,0.0,0.0,0.0,0.3229166666666667,0.00028395625,1.0,0.6770833333333333
openai/gpt-4o-mini,hygienic_combo,L0,24,1.0,1.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,1.0,0.94375,0.00027484374999999997,0.0,0.05625000000000002
openai/gpt-4o-mini,hygienic_combo,L1,24,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9479166666666666,0.00027898749999999997,0.0,0.05208333333333337
openai/gpt-4o-mini,hygienic_combo,L2,24,1.0,1.0,0.8333333333333334,0.0,0.0,0.0,0.0,0.0,1.0,0.9458333333333333,0.00027531874999999997,0.0,0.054166666666666696
openai/gpt-4o-mini,hygienic_combo,L3,24,1.0,1.0,0.9166666666666666,0.0,0.0,0.0,0.0,0.0,1.0,0.9416666666666665,0.00027661875,0.0,0.05833333333333346
openai/gpt-4o-mini,hygienic_combo,L4,24,1.0,1.0,0.9166666666666666,0.0,0.0,0.0,0.0,0.0,1.0,0.9458333333333333,0.0002864375,0.0,0.054166666666666696
openai/gpt-4o-mini,hygienic_combo,L5,24,1.0,0.9583333333333334,0.7916666666666666,0.16666666666666666,0.0,0.0,0.041666666666666664,0.0,0.0,0.3541666666666667,0.00026423749999999997,0.9583333333333334,0.6041666666666666
openai/gpt-4o-mini,naive_bm25,L0,24,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9458333333333333,0.0002694625,0.0,0.054166666666666696
openai/gpt-4o-mini,naive_bm25,L1,24,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9395833333333333,0.00028643125,0.0,0.060416666666666674
openai/gpt-4o-mini,naive_bm25,L2,24,1.0,1.0,0.9166666666666666,0.027777777777777776,0.0,0.0,0.0,0.0,1.0,0.9416666666666665,0.00026753125000000003,0.0,0.05833333333333346
openai/gpt-4o-mini,naive_bm25,L3,24,0.9583333333333334,0.9583333333333334,0.9583333333333334,0.0,0.0,0.0,0.0,0.0,1.0,0.8999999999999999,0.00028510625,0.0,0.058333333333333424
openai/gpt-4o-mini,naive_bm25,L4,24,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.9479166666666666,0.00029013125,0.0,0.9479166666666666
openai/gpt-4o-mini,naive_bm25,L5,24,1.0,0.375,0.0,0.9895833333333334,0.625,0.0,0.625,0.0,0.0,0.71875,0.00026325625,0.375,0.7770833333333333
openai/gpt-4o-mini,primary_preserve,L0,24,1.0,1.0,0.7916666666666666,0.0,0.0,0.0,0.0,0.0,1.0,0.9541666666666666,0.0002924375,0.0,0.04583333333333339
openai/gpt-4o-mini,primary_preserve,L1,24,1.0,1.0,0.9583333333333334,0.0,0.0,0.0,0.0,0.0,1.0,0.9416666666666665,0.00029533125,0.0,0.05833333333333346
openai/gpt-4o-mini,primary_preserve,L2,24,1.0,1.0,0.8333333333333334,0.0,0.0,0.0,0.0,0.0,1.0,0.9416666666666665,0.00029168125,0.0,0.05833333333333346
openai/gpt-4o-mini,primary_preserve,L3,24,1.0,1.0,0.875,0.0,0.0,0.0,0.0,0.0,1.0,0.9470833333333334,0.00030201875,0.0,0.05291666666666661
openai/gpt-4o-mini,primary_preserve,L4,24,1.0,1.0,0.9583333333333334,0.0,0.0,0.0,0.0,0.0,1.0,0.9479166666666666,0.00029604375,0.0,0.05208333333333337
openai/gpt-4o-mini,primary_preserve,L5,24,1.0,1.0,0.875,0.10416666666666667,0.0,0.0,0.0,0.0,0.0,0.36874999999999997,0.00025540625,1.0,0.6312499999999999
