schema_variant,model,family,n,parse_success,empty_output,schema_missing,belief_correctness,insufficient_verdict,primary_selected,primary_in_support,polluted_in_support,polluted_rejected,polluted_diagnostic,dual_role_pollutant,action_search_primary,action_trace_source,role_escape,operational_escape_proxy,cost_usd
clarified,gemini-3.1-pro-preview,active_verification,4,1.0,0.0,0.0,1.0,0.5,0.5,0.5,0.0,0.75,0.5,0.0,0.5,0.5,1.0,0.5,0.0034428125
clarified,gemini-3.1-pro-preview,evidence_selection,6,1.0,0.0,0.0,1.0,0.5,0.5,0.5,0.0,1.0,0.16666666666666666,0.0,0.5,0.3333333333333333,1.0,1.0,0.002664875
clarified,gemini-3.1-pro-preview,packet_judgment,6,1.0,0.0,0.0,1.0,0.5,0.5,0.5,0.0,0.8333333333333334,0.16666666666666666,0.0,0.5,0.3333333333333333,1.0,1.0,0.003616791666666666
clarified,gpt-5.5,active_verification,4,1.0,0.0,0.0,0.75,0.75,0.5,0.25,0.0,1.0,0.0,0.0,0.5,1.0,0.75,0.75,0.02935375
clarified,gpt-5.5,evidence_selection,6,1.0,0.0,0.0,1.0,0.5,0.5,0.5,0.0,1.0,0.0,0.0,0.5,0.8333333333333334,1.0,1.0,0.031643333333333336
clarified,gpt-5.5,packet_judgment,6,1.0,0.0,0.0,1.0,0.5,0.5,0.5,0.0,1.0,0.0,0.0,0.5,0.5,1.0,1.0,0.027260000000000003
current,gemini-3.1-pro-preview,active_verification,4,1.0,0.0,0.0,1.0,0.5,0.5,0.5,0.0,1.0,not_applicable,0.0,0.75,0.5,1.0,0.75,0.0025403125
current,gemini-3.1-pro-preview,evidence_selection,6,1.0,0.0,0.0,1.0,0.5,0.5,0.5,0.0,1.0,not_applicable,0.0,0.6666666666666666,0.5,1.0,1.0,0.0036005
current,gemini-3.1-pro-preview,packet_judgment,6,1.0,0.0,0.0,1.0,0.5,0.5,0.5,0.0,1.0,not_applicable,0.0,0.6666666666666666,0.16666666666666666,1.0,1.0,0.0030434583333333333
current,gpt-5.5,active_verification,4,1.0,0.0,0.0,1.0,0.5,0.5,0.5,0.0,1.0,not_applicable,0.0,0.5,0.75,1.0,1.0,0.02893375
current,gpt-5.5,evidence_selection,6,1.0,0.0,0.0,1.0,0.5,0.5,0.5,0.0,1.0,not_applicable,0.0,0.5,0.6666666666666666,1.0,1.0,0.02901833333333333
current,gpt-5.5,packet_judgment,6,1.0,0.0,0.0,1.0,0.5,0.5,0.5,0.0,1.0,not_applicable,0.0,0.5,0.6666666666666666,1.0,1.0,0.02933
diagnostic_no_hygiene,gemini-3.1-pro-preview,active_verification,4,1.0,0.0,0.0,1.0,0.5,0.5,0.5,0.0,1.0,0.25,0.0,0.5,0.25,1.0,0.5,0.0031088125
diagnostic_no_hygiene,gemini-3.1-pro-preview,evidence_selection,6,1.0,0.0,0.0,1.0,0.5,0.5,0.5,0.0,0.8333333333333334,0.16666666666666666,0.0,0.6666666666666666,0.3333333333333333,1.0,1.0,0.0024437083333333333
diagnostic_no_hygiene,gemini-3.1-pro-preview,packet_judgment,6,1.0,0.0,0.0,1.0,0.5,0.5,0.5,0.0,1.0,0.0,0.0,0.6666666666666666,0.0,1.0,1.0,0.0035999583333333335
diagnostic_no_hygiene,gpt-5.5,active_verification,4,1.0,0.0,0.0,1.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.75,0.5,0.5,0.03143125
diagnostic_no_hygiene,gpt-5.5,evidence_selection,6,1.0,0.0,0.0,1.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.8333333333333334,0.5,0.5,0.030903333333333335
diagnostic_no_hygiene,gpt-5.5,packet_judgment,6,1.0,0.0,0.0,1.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.6666666666666666,0.5,0.5,0.029585
minimal,gemini-3.1-pro-preview,active_verification,4,1.0,0.0,0.0,1.0,0.5,0.5,0.5,1.0,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,0.0,0.0,0.0024902500000000003
minimal,gemini-3.1-pro-preview,evidence_selection,6,1.0,0.0,0.0,1.0,0.5,0.5,0.5,1.0,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,0.0,0.0,0.00268
minimal,gemini-3.1-pro-preview,packet_judgment,6,1.0,0.0,0.0,1.0,0.5,0.5,0.5,1.0,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,0.0,0.0,0.0020710416666666668
minimal,gpt-5.5,active_verification,4,1.0,0.0,0.0,1.0,0.5,0.5,0.5,1.0,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,0.0,0.0,0.01764125
minimal,gpt-5.5,evidence_selection,6,1.0,0.0,0.0,1.0,0.5,0.5,0.5,1.0,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,0.0,0.0,0.017188333333333333
minimal,gpt-5.5,packet_judgment,6,1.0,0.0,0.0,1.0,0.5,0.5,0.5,1.0,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,0.0,0.0,0.01711
