task_id,episode_type,duplicate_count,primary_visibility_under_bm25_top8,retriever,k,retrieved_doc_ids,primary_recall_at_k,gold_evidence_recall_at_k,contaminant_fraction_at_k,unique_upstream_roots_at_k,source_type_entropy_at_k,primary_rank,pollutant_saturation_at_k
eha2_000,clean_control,1,True,bm25_top8,8,"eha2_000_primary_a,eha2_000_primary_b,eha2_000_pollutant_root,eha2_000_context_00,eha2_000_context_01,eha2_000_context_02,eha2_000_context_03,eha2_000_background_00",1.0,1.0,0.125,8,2.4056390622295662,1,0.125
eha2_000,clean_control,1,True,bm25_top12,12,"eha2_000_primary_a,eha2_000_primary_b,eha2_000_pollutant_root,eha2_000_context_00,eha2_000_context_01,eha2_000_context_02,eha2_000_context_03,eha2_000_background_00,eha2_000_background_01,eha2_000_background_02,eha2_000_repost_00,eha2_000_repost_01",1.0,1.0,0.25,10,3.0220552088742005,1,0.25
eha2_000,clean_control,1,True,primary_preserve_top8,8,"eha2_000_primary_a,eha2_000_primary_b,eha2_000_pollutant_root,eha2_000_context_00,eha2_000_context_01,eha2_000_context_02,eha2_000_context_03,eha2_000_background_00",1.0,1.0,0.125,8,2.4056390622295662,1,0.125
eha2_000,clean_control,1,True,heuristic_root_dedup_top8,8,"eha2_000_primary_a,eha2_000_primary_b,eha2_000_pollutant_root,eha2_000_context_00,eha2_000_background_00,eha2_000_repost_00,eha2_000_context_01,eha2_000_context_02",1.0,1.0,0.25,7,2.4056390622295662,1,0.25
eha2_000,clean_control,1,True,oracle_root_dedup_top8,8,"eha2_000_primary_a,eha2_000_primary_b,eha2_000_pollutant_root,eha2_000_context_00,eha2_000_context_01,eha2_000_context_02,eha2_000_context_03,eha2_000_background_00",1.0,1.0,0.125,8,2.4056390622295662,1,0.125
eha2_001,clean_control,1,True,bm25_top8,8,"eha2_001_primary_a,eha2_001_primary_b,eha2_001_pollutant_root,eha2_001_repost_00,eha2_001_repost_01,eha2_001_repost_02,eha2_001_context_00,eha2_001_context_01",1.0,1.0,0.5,5,2.75,1,0.5
eha2_001,clean_control,1,True,bm25_top12,12,"eha2_001_primary_a,eha2_001_primary_b,eha2_001_pollutant_root,eha2_001_repost_00,eha2_001_repost_01,eha2_001_repost_02,eha2_001_context_00,eha2_001_context_01,eha2_001_context_02,eha2_001_context_03,eha2_001_context_04,eha2_001_background_00",1.0,1.0,0.3333333333333333,9,3.084962500721156,1,0.3333333333333333
eha2_001,clean_control,1,True,primary_preserve_top8,8,"eha2_001_primary_a,eha2_001_primary_b,eha2_001_pollutant_root,eha2_001_repost_00,eha2_001_repost_01,eha2_001_repost_02,eha2_001_context_00,eha2_001_context_01",1.0,1.0,0.5,5,2.75,1,0.5
eha2_001,clean_control,1,True,heuristic_root_dedup_top8,8,"eha2_001_primary_a,eha2_001_primary_b,eha2_001_pollutant_root,eha2_001_repost_00,eha2_001_context_00,eha2_001_background_00,eha2_001_repost_01,eha2_001_repost_02",1.0,1.0,0.5,5,2.75,1,0.5
eha2_001,clean_control,1,True,oracle_root_dedup_top8,8,"eha2_001_primary_a,eha2_001_primary_b,eha2_001_pollutant_root,eha2_001_context_00,eha2_001_context_01,eha2_001_context_02,eha2_001_context_03,eha2_001_context_04",1.0,1.0,0.125,8,2.5,1,0.125
eha2_002,clean_control,1,True,bm25_top8,8,"eha2_002_primary_a,eha2_002_primary_b,eha2_002_pollutant_root,eha2_002_context_00,eha2_002_context_01,eha2_002_context_02,eha2_002_context_03,eha2_002_background_00",1.0,1.0,0.125,8,2.0,1,0.125
eha2_002,clean_control,1,True,bm25_top12,12,"eha2_002_primary_a,eha2_002_primary_b,eha2_002_pollutant_root,eha2_002_context_00,eha2_002_context_01,eha2_002_context_02,eha2_002_context_03,eha2_002_background_00,eha2_002_background_01,eha2_002_background_02,eha2_002_repost_00,eha2_002_repost_01",1.0,1.0,0.25,10,2.584962500721156,1,0.25
eha2_002,clean_control,1,True,primary_preserve_top8,8,"eha2_002_primary_a,eha2_002_primary_b,eha2_002_pollutant_root,eha2_002_context_00,eha2_002_context_01,eha2_002_context_02,eha2_002_context_03,eha2_002_background_00",1.0,1.0,0.125,8,2.0,1,0.125
eha2_002,clean_control,1,True,heuristic_root_dedup_top8,8,"eha2_002_primary_a,eha2_002_primary_b,eha2_002_pollutant_root,eha2_002_context_00,eha2_002_background_00,eha2_002_repost_00,eha2_002_context_01,eha2_002_context_02",1.0,1.0,0.25,7,2.4056390622295662,1,0.25
eha2_002,clean_control,1,True,oracle_root_dedup_top8,8,"eha2_002_primary_a,eha2_002_primary_b,eha2_002_pollutant_root,eha2_002_context_00,eha2_002_context_01,eha2_002_context_02,eha2_002_context_03,eha2_002_background_00",1.0,1.0,0.125,8,2.0,1,0.125
eha2_003,clean_control,1,True,bm25_top8,8,"eha2_003_primary_a,eha2_003_primary_b,eha2_003_pollutant_root,eha2_003_repost_00,eha2_003_repost_01,eha2_003_repost_02,eha2_003_context_00,eha2_003_context_01",1.0,1.0,0.5,5,2.75,1,0.5
eha2_003,clean_control,1,True,bm25_top12,12,"eha2_003_primary_a,eha2_003_primary_b,eha2_003_pollutant_root,eha2_003_repost_00,eha2_003_repost_01,eha2_003_repost_02,eha2_003_context_00,eha2_003_context_01,eha2_003_context_02,eha2_003_context_03,eha2_003_context_04,eha2_003_background_00",1.0,1.0,0.3333333333333333,9,3.084962500721156,1,0.3333333333333333
eha2_003,clean_control,1,True,primary_preserve_top8,8,"eha2_003_primary_a,eha2_003_primary_b,eha2_003_pollutant_root,eha2_003_repost_00,eha2_003_repost_01,eha2_003_repost_02,eha2_003_context_00,eha2_003_context_01",1.0,1.0,0.5,5,2.75,1,0.5
eha2_003,clean_control,1,True,heuristic_root_dedup_top8,8,"eha2_003_primary_a,eha2_003_primary_b,eha2_003_pollutant_root,eha2_003_repost_00,eha2_003_context_00,eha2_003_background_00,eha2_003_repost_01,eha2_003_repost_02",1.0,1.0,0.5,5,2.75,1,0.5
eha2_003,clean_control,1,True,oracle_root_dedup_top8,8,"eha2_003_primary_a,eha2_003_primary_b,eha2_003_pollutant_root,eha2_003_context_00,eha2_003_context_01,eha2_003_context_02,eha2_003_context_03,eha2_003_context_04",1.0,1.0,0.125,8,2.5,1,0.125
eha2_004,false_consensus,1,True,bm25_top8,8,"eha2_004_pollutant_root,eha2_004_primary_a,eha2_004_primary_b,eha2_004_repost_00,eha2_004_context_00,eha2_004_context_01,eha2_004_context_02,eha2_004_context_03",1.0,1.0,0.25,7,2.5,2,0.25
eha2_004,false_consensus,1,True,bm25_top12,12,"eha2_004_pollutant_root,eha2_004_primary_a,eha2_004_primary_b,eha2_004_repost_00,eha2_004_context_00,eha2_004_context_01,eha2_004_context_02,eha2_004_context_03,eha2_004_background_00,eha2_004_background_01,eha2_004_background_02,eha2_004_background_03",1.0,1.0,0.16666666666666666,11,3.084962500721156,2,0.16666666666666666
eha2_004,false_consensus,1,True,primary_preserve_top8,8,"eha2_004_primary_a,eha2_004_primary_b,eha2_004_pollutant_root,eha2_004_repost_00,eha2_004_context_00,eha2_004_context_01,eha2_004_context_02,eha2_004_context_03",1.0,1.0,0.25,7,2.5,2,0.25
eha2_004,false_consensus,1,True,heuristic_root_dedup_top8,8,"eha2_004_pollutant_root,eha2_004_primary_a,eha2_004_primary_b,eha2_004_repost_00,eha2_004_context_00,eha2_004_background_00,eha2_004_context_01,eha2_004_context_02",1.0,1.0,0.25,7,2.75,2,0.25
