model,budget_setting,condition,n,operational_epistemic_escape,conditional_epistemic_escape,parse_success,belief_correctness,evidence_cleanliness,uncertainty_discipline,verification_action_score,visible_output_tokens,answer_word_count,evidence_assessment_word_count,max_action_rationale_word_count,overlength_rate,cost_usd
deepseek-v4-pro,cap_4096_diagnostic,buried_primary,4,0.75,0.75,1.0,0.75,1.0,0.75,0.6666666666666666,429.75,53.75,65.75,19.0,0.0,0.0043633125
deepseek-v4-pro,cap_4096_diagnostic,clean,4,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,345.0,27.5,52.5,16.75,0.0,0.0039446875
deepseek-v4-pro,cap_4096_diagnostic,conflicting_evidence,4,1.0,1.0,1.0,1.0,1.0,1.0,0.6666666666666666,390.25,31.25,54.5,21.75,0.0,0.0042506875
deepseek-v4-pro,cap_4096_diagnostic,false_consensus,4,1.0,1.0,1.0,1.0,1.0,1.0,0.0,383.0,38.25,56.75,15.0,0.0,0.004228875
deepseek-v4-pro,cap_4096_diagnostic,generated_lore,4,0.75,0.75,1.0,1.0,1.0,1.0,0.6666666666666666,415.75,45.25,64.0,20.0,0.0,0.0037971874999999998
deepseek-v4-pro,cap_8192,buried_primary,4,0.5,0.6666666666666666,0.75,0.5,1.0,0.5,0.3333333333333333,281.5,36.333333333333336,62.666666666666664,15.333333333333334,0.0,0.0033228125000000002
deepseek-v4-pro,cap_8192,clean,4,0.75,1.0,0.75,0.75,1.0,0.75,0.0,283.5,43.0,60.333333333333336,16.666666666666668,0.0,0.0041646875
deepseek-v4-pro,cap_8192,conflicting_evidence,4,0.75,0.75,1.0,1.0,1.0,1.0,0.6666666666666666,376.0,29.0,54.0,19.5,0.0,0.0048801875
deepseek-v4-pro,cap_8192,false_consensus,4,0.75,1.0,0.75,0.75,1.0,0.75,0.0,307.25,50.666666666666664,55.333333333333336,20.0,0.0,0.003187375
deepseek-v4-pro,cap_8192,generated_lore,4,0.75,0.75,1.0,1.0,1.0,1.0,0.6666666666666666,392.0,39.75,53.25,21.0,0.0,0.0042331875
deepseek-v4-pro,no_cap,buried_primary,4,0.75,0.75,1.0,0.75,1.0,0.75,0.3333333333333333,388.75,42.25,54.75,20.75,0.0,0.0037983124999999996
deepseek-v4-pro,no_cap,clean,4,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,375.5,35.0,55.0,19.0,0.0,0.0040056875
deepseek-v4-pro,no_cap,conflicting_evidence,4,1.0,1.0,1.0,1.0,1.0,1.0,0.6666666666666666,451.0,39.75,72.25,21.75,0.0,0.0046066875
deepseek-v4-pro,no_cap,false_consensus,4,1.0,1.0,1.0,1.0,1.0,1.0,0.0,421.75,45.25,67.0,15.75,0.0,0.004500375
deepseek-v4-pro,no_cap,generated_lore,4,0.75,0.75,1.0,1.0,1.0,1.0,0.6666666666666666,432.0,53.75,62.25,22.75,0.0,0.0037156875
kimi-k2.6,cap_4096_diagnostic,buried_primary,4,0.25,0.5,0.5,0.25,1.0,0.25,0.3333333333333333,211.25,45.0,57.5,25.5,0.0,0.00808875
kimi-k2.6,cap_4096_diagnostic,clean,4,0.25,1.0,0.25,0.25,1.0,0.25,0.0,88.75,39.0,59.0,22.0,0.0,0.008583312499999999
kimi-k2.6,cap_4096_diagnostic,conflicting_evidence,4,0.25,1.0,0.25,0.25,1.0,0.25,0.0,189.25,47.0,62.0,15.0,0.0,0.008670062499999999
kimi-k2.6,cap_4096_diagnostic,false_consensus,4,0.25,1.0,0.25,0.25,1.0,0.25,0.0,168.25,68.0,72.0,0.0,0.0,0.0086274375
kimi-k2.6,cap_4096_diagnostic,generated_lore,4,0.25,0.3333333333333333,0.75,1.0,1.0,1.0,0.6666666666666666,315.75,46.333333333333336,40.666666666666664,25.666666666666668,0.0,0.0072505625
kimi-k2.6,cap_8192,buried_primary,4,0.75,0.75,1.0,0.75,1.0,0.75,0.0,437.0,57.75,68.0,20.5,0.0,0.01219075
kimi-k2.6,cap_8192,clean,4,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,303.25,45.5,55.5,9.25,0.0,0.009233812499999999
kimi-k2.6,cap_8192,conflicting_evidence,4,0.5,0.6666666666666666,0.75,0.75,1.0,0.75,0.3333333333333333,276.25,45.666666666666664,55.0,17.0,0.0,0.0119630625
kimi-k2.6,cap_8192,false_consensus,4,1.0,1.0,1.0,1.0,1.0,1.0,0.0,383.25,60.25,56.5,19.25,0.0,0.0096079375
kimi-k2.6,cap_8192,generated_lore,4,0.5,0.5,1.0,1.0,1.0,1.0,0.6666666666666666,421.75,50.75,58.5,22.5,0.0,0.0075445625
kimi-k2.6,no_cap,buried_primary,4,0.75,0.75,1.0,0.75,1.0,0.75,0.6666666666666666,404.75,45.0,56.75,18.5,0.0,0.00920825
kimi-k2.6,no_cap,clean,4,0.75,0.75,1.0,1.0,1.0,1.0,0.0,269.0,39.75,47.0,5.5,0.0,0.0080318125
kimi-k2.6,no_cap,conflicting_evidence,4,0.75,0.75,1.0,1.0,1.0,1.0,0.3333333333333333,433.25,55.75,70.25,25.5,0.0,0.013175062500000001
kimi-k2.6,no_cap,false_consensus,4,1.0,1.0,1.0,1.0,1.0,1.0,0.0,410.0,49.0,55.5,22.0,0.0,0.0084789375
kimi-k2.6,no_cap,generated_lore,4,0.75,0.75,1.0,1.0,1.0,1.0,0.6666666666666666,405.75,54.25,54.75,20.75,0.0,0.0086970625
