task_id,family,condition,difficulty,model,prompt_condition,backend,parse_success,belief_correctness,evidence_cleanliness,uncertainty_discipline,primary_seeking_rate,duplicate_avoidance_rate,generated_lore_avoidance_rate,contradiction_seeking_rate,evidence_value_score,primary_action_rate,contradiction_action_rate,generated_lore_trace_rate,epistemic_escape,confidence,cost_usd,gold_verdict,predicted_verdict,supporting_evidence,selected_doc_ids,actions
ert_000,packet_judgment,clean,L0,openai/gpt-5-mini,epistemic_hygiene_instruction,api_parse_repair,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,supported,insufficient,,,[]
ert_001,packet_judgment,clean,L0,openai/gpt-5-mini,standard_answer,api_parse_repair,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,supported,insufficient,,,[]
ert_002,packet_judgment,clean,L0,openai/gpt-5-mini,epistemic_hygiene_instruction,api_parse_repair,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,supported,insufficient,,,[]
ert_003,packet_judgment,clean,L0,openai/gpt-5-mini,standard_answer,api_parse_repair,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,supported,insufficient,,,[]
ert_003,packet_judgment,clean,L0,openai/gpt-5-mini,epistemic_hygiene_instruction,api_parse_repair,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,supported,insufficient,,,[]
ert_005,packet_judgment,clean,L0,openai/gpt-5-mini,epistemic_hygiene_instruction,api_parse_repair,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,supported,insufficient,,,[]
ert_006,packet_judgment,clean,L0,openai/gpt-5-mini,epistemic_hygiene_instruction,api_parse_repair,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,supported,insufficient,,,[]
ert_007,packet_judgment,clean,L0,openai/gpt-5-mini,epistemic_hygiene_instruction,api_parse_repair,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,supported,insufficient,,,[]
ert_008,packet_judgment,conflicting_evidence,L2,openai/gpt-5-mini,standard_answer,api_parse_repair,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,refuted,insufficient,,,[]
ert_008,packet_judgment,conflicting_evidence,L2,openai/gpt-5-mini,epistemic_hygiene_instruction,api_parse_repair,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,refuted,insufficient,,,[]
