model,budget_setting,prompt_condition,n,operational_epistemic_escape,conditional_epistemic_escape,parse_success,belief_correctness,evidence_cleanliness,uncertainty_discipline,verification_action_score,visible_output_tokens,answer_word_count,evidence_assessment_word_count,max_action_rationale_word_count,overlength_rate,cost_usd
claude-opus-4-7,operational,epistemic_hygiene_instruction,100,0.88,0.88,1.0,0.96,1.0,0.96,0.6,418.98,55.03,65.43,17.14,0.0,0.002010965
claude-opus-4-7,operational,standard_answer,100,0.88,0.88,1.0,0.96,1.0,0.96,0.6,419.2,51.94,67.71,19.22,0.0,0.001959775
deepseek-v4-pro,operational,epistemic_hygiene_instruction,100,0.8,0.8080808080808081,0.99,0.95,1.0,0.95,0.5,395.65,40.313131313131315,61.18181818181818,18.2020202020202,0.0,0.00412276
deepseek-v4-pro,operational,standard_answer,100,0.78,0.78,1.0,0.95,0.87,0.95,0.45,404.0,41.11,63.19,19.91,0.0,0.00413987
gemini-3.1-pro-preview,operational,epistemic_hygiene_instruction,100,0.78,0.78,1.0,0.96,1.0,0.96,0.5,460.53,72.83,61.25,17.75,0.0,0.003864565
gemini-3.1-pro-preview,operational,standard_answer,100,0.78,0.78,1.0,0.96,1.0,0.96,0.41666666666666663,450.13,71.77,61.73,17.27,0.0,0.0038317025
gpt-5.4,operational,epistemic_hygiene_instruction,100,0.79,0.79,1.0,0.96,0.76,0.96,0.41666666666666663,382.5,61.89,63.0,12.97,0.0,0.001283955
gpt-5.4,operational,standard_answer,100,0.75,0.75,1.0,0.96,0.7,0.96,0.4,363.26,55.36,58.61,12.33,0.0,0.001232595
kimi-k2.6,operational,epistemic_hygiene_instruction,100,0.77,0.77,1.0,0.96,0.97,0.96,0.4666666666666666,392.87,51.34,57.67,18.86,0.0,0.009447695
kimi-k2.6,operational,standard_answer,100,0.81,0.81,1.0,0.96,0.93,0.96,0.4333333333333333,415.54,55.41,60.22,22.66,0.0,0.008448625
