report_dir,task_id,episode_type,model,retriever,strategy,gold_claim_verdict,predicted_claim_verdict,claim_accuracy,contaminated_citation_rate,gold_critical_risks,predicted_critical_risks,matched_critical_risks,missing_critical_risks,spurious_critical_risks,critical_risk_error_type,critical_risk_exact,critical_risk_has_false_negative,critical_risk_has_false_positive,critical_risk_mixed_error,repair_focus
reports-phase2s-v8-structural-schema-calibration-slice-gpt4omini,eha2r_000,clean_control,gpt-4o-mini,bm25_top8,evidence_diagnostics_v8_structural,supported,supported,1.0,0.0,,,,,,exact,1.0,0.0,0.0,0.0,preserve_current_boundary
reports-phase2s-v8-structural-schema-calibration-slice-gpt4omini,eha2r_001,clean_control,gpt-4o-mini,primary_preserve_top8,evidence_diagnostics_v8_structural,supported,supported,1.0,0.0,,,,,,exact,1.0,0.0,0.0,0.0,preserve_current_boundary
reports-phase2s-v8-structural-schema-calibration-slice-gpt4omini,eha2r_002,clean_control,gpt-4o-mini,hygienic_combo_top8,evidence_diagnostics_v8_structural,supported,supported,1.0,0.0,,,,,,exact,1.0,0.0,0.0,0.0,preserve_current_boundary
reports-phase2s-v8-structural-schema-calibration-slice-gpt4omini,eha2r_004,clean_control,gpt-4o-mini,bm25_top8,evidence_diagnostics_v8_structural,supported,supported,1.0,0.0,,,,,,exact,1.0,0.0,0.0,0.0,preserve_current_boundary
reports-phase2s-v8-structural-schema-calibration-slice-gpt4omini,eha2r_007,clean_control,gpt-4o-mini,primary_preserve_top8,evidence_diagnostics_v8_structural,supported,supported,1.0,0.0,,,,,,exact,1.0,0.0,0.0,0.0,preserve_current_boundary
reports-phase2s-v8-structural-schema-calibration-slice-gpt4omini,eha2r_008,false_consensus_stress,gpt-4o-mini,primary_preserve_top8,evidence_diagnostics_v8_structural,refuted,refuted,1.0,0.0,"conflicting_evidence,false_consensus",conflicting_evidence,conflicting_evidence,false_consensus,,false_negative_only,0.0,1.0,0.0,0.0,"require repeated same-root apparent support that could dominate the verdict, not ordinary visible repetition"
reports-phase2s-v8-structural-schema-calibration-slice-gpt4omini,eha2r_009,false_consensus_stress,gpt-4o-mini,bm25_top8,evidence_diagnostics_v8_structural,refuted,refuted,1.0,0.0,"conflicting_evidence,false_consensus",conflicting_evidence,conflicting_evidence,false_consensus,,false_negative_only,0.0,1.0,0.0,0.0,"require repeated same-root apparent support that could dominate the verdict, not ordinary visible repetition"
reports-phase2s-v8-structural-schema-calibration-slice-gpt4omini,eha2r_014,false_consensus_stress,gpt-4o-mini,bm25_top8,evidence_diagnostics_v8_structural,refuted,insufficient,0.0,0.0,"conflicting_evidence,false_consensus",no_primary_source,,"conflicting_evidence,false_consensus",no_primary_source,mixed_error,0.0,1.0,1.0,1.0,"require repeated same-root apparent support that could dominate the verdict, not ordinary visible repetition"
reports-phase2s-v8-structural-schema-calibration-slice-gpt4omini,eha2r_029,false_consensus_stress,gpt-4o-mini,bm25_top8,evidence_diagnostics_v8_structural,refuted,insufficient,0.0,0.0,"conflicting_evidence,false_consensus",,,"conflicting_evidence,false_consensus",,false_negative_only,0.0,1.0,0.0,0.0,"require repeated same-root apparent support that could dominate the verdict, not ordinary visible repetition"
reports-phase2s-v8-structural-schema-calibration-slice-gpt4omini,eha2r_031,false_consensus_stress,gpt-4o-mini,bm25_top8,evidence_diagnostics_v8_structural,refuted,insufficient,0.0,0.0,"conflicting_evidence,false_consensus",no_primary_source,,"conflicting_evidence,false_consensus",no_primary_source,mixed_error,0.0,1.0,1.0,1.0,"require repeated same-root apparent support that could dominate the verdict, not ordinary visible repetition"
reports-phase2s-v8-structural-schema-calibration-slice-gpt4omini,eha2r_040,citation_laundering_trace,gpt-4o-mini,hygienic_combo_top8,evidence_diagnostics_v8_structural,refuted,refuted,1.0,0.0,"citation_laundering,conflicting_evidence",conflicting_evidence,conflicting_evidence,citation_laundering,,false_negative_only,0.0,1.0,0.0,0.0,"require a visible source-chain problem, not same-root repetition or generic reposting"
reports-phase2s-v8-structural-schema-calibration-slice-gpt4omini,eha2r_041,citation_laundering_trace,gpt-4o-mini,bm25_top8,evidence_diagnostics_v8_structural,refuted,refuted,1.0,0.0,"citation_laundering,conflicting_evidence",conflicting_evidence,conflicting_evidence,citation_laundering,,false_negative_only,0.0,1.0,0.0,0.0,"require a visible source-chain problem, not same-root repetition or generic reposting"
reports-phase2s-v8-structural-schema-calibration-slice-gpt4omini,eha2r_043,citation_laundering_trace,gpt-4o-mini,primary_preserve_top8,evidence_diagnostics_v8_structural,refuted,refuted,1.0,0.0,"citation_laundering,conflicting_evidence",conflicting_evidence,conflicting_evidence,citation_laundering,,false_negative_only,0.0,1.0,0.0,0.0,"require a visible source-chain problem, not same-root repetition or generic reposting"
reports-phase2s-v8-structural-schema-calibration-slice-gpt4omini,eha2r_044,citation_laundering_trace,gpt-4o-mini,primary_preserve_top8,evidence_diagnostics_v8_structural,refuted,refuted,1.0,0.0,"citation_laundering,conflicting_evidence",no_primary_source,,"conflicting_evidence,citation_laundering",no_primary_source,mixed_error,0.0,1.0,1.0,1.0,"require a visible source-chain problem, not same-root repetition or generic reposting"
reports-phase2s-v8-structural-schema-calibration-slice-gpt4omini,eha2r_049,citation_laundering_trace,gpt-4o-mini,hygienic_combo_top8,evidence_diagnostics_v8_structural,refuted,refuted,1.0,0.0,"citation_laundering,conflicting_evidence",stale_evidence,,"conflicting_evidence,citation_laundering",stale_evidence,mixed_error,0.0,1.0,1.0,1.0,"require a visible source-chain problem, not same-root repetition or generic reposting"
