grouping,model,prompt_condition,condition,n,belief_correctness,evidence_cleanliness,uncertainty_discipline,primary_action_rate,contradiction_action_rate,generated_lore_trace_rate,verification_action_score,action_gate_pass,missing_primary_action,missing_contradiction_action,missing_trace_source_action,operational_epistemic_escape
model,claude-opus-4-7,,,40,0.8,0.9,0.8,0.925,0.6,0.175,0.5666666666666667,0.7,0.075,0.2,0.025,0.675
model,deepseek-v4-pro,,,40,0.8,0.825,0.8,0.85,0.4,0.2,0.4833333333333333,0.575,0.15,0.275,0.0,0.475
model,gemini-3.1-pro-preview,,,40,0.8,1.0,0.8,0.875,0.325,0.175,0.4583333333333333,0.425,0.125,0.45,0.025,0.4
model,gpt-5.4,,,40,0.8,0.6,0.8,0.65,0.425,0.2,0.425,0.725,0.225,0.2,0.0,0.525
model,kimi-k2.6,,,40,0.8,0.975,0.8,0.85,0.35,0.15,0.44999999999999996,0.375,0.15,0.425,0.05,0.375
model+prompt_condition,claude-opus-4-7,epistemic_hygiene_instruction,,20,0.8,1.0,0.8,1.0,0.6,0.15,0.5833333333333333,0.75,0.0,0.2,0.05,0.75
model+prompt_condition,claude-opus-4-7,standard_answer,,20,0.8,0.8,0.8,0.85,0.6,0.2,0.5499999999999999,0.65,0.15,0.2,0.0,0.6
model+prompt_condition,deepseek-v4-pro,epistemic_hygiene_instruction,,20,0.8,0.95,0.8,0.95,0.4,0.2,0.5166666666666666,0.7,0.05,0.25,0.0,0.65
model+prompt_condition,deepseek-v4-pro,standard_answer,,20,0.8,0.7,0.8,0.75,0.4,0.2,0.44999999999999996,0.45,0.25,0.3,0.0,0.3
model+prompt_condition,gemini-3.1-pro-preview,epistemic_hygiene_instruction,,20,0.8,1.0,0.8,0.8,0.45,0.15,0.4666666666666666,0.4,0.2,0.4,0.05,0.35
model+prompt_condition,gemini-3.1-pro-preview,standard_answer,,20,0.8,1.0,0.8,0.95,0.2,0.2,0.44999999999999996,0.45,0.05,0.5,0.0,0.45
model+prompt_condition,gpt-5.4,epistemic_hygiene_instruction,,20,0.8,0.6,0.8,0.6,0.4,0.2,0.39999999999999997,0.75,0.25,0.2,0.0,0.55
model+prompt_condition,gpt-5.4,standard_answer,,20,0.8,0.6,0.8,0.7,0.45,0.2,0.44999999999999996,0.7,0.2,0.2,0.0,0.5
model+prompt_condition,kimi-k2.6,epistemic_hygiene_instruction,,20,0.8,1.0,0.8,0.85,0.45,0.1,0.4666666666666666,0.35,0.15,0.4,0.1,0.35
model+prompt_condition,kimi-k2.6,standard_answer,,20,0.8,0.95,0.8,0.85,0.25,0.2,0.4333333333333333,0.4,0.15,0.45,0.0,0.4
model+condition,claude-opus-4-7,,buried_primary,8,0.0,0.625,0.0,1.0,0.0,0.0,0.3333333333333333,0.0,0.0,1.0,0.0,0.0
model+condition,claude-opus-4-7,,clean,8,1.0,1.0,1.0,0.625,1.0,0.0,0.5416666666666666,0.625,0.375,0.0,0.0,0.625
model+condition,claude-opus-4-7,,conflicting_evidence,8,1.0,1.0,1.0,1.0,1.0,0.0,0.6666666666666666,1.0,0.0,0.0,0.0,1.0
model+condition,claude-opus-4-7,,false_consensus,8,1.0,1.0,1.0,1.0,1.0,0.0,0.6666666666666666,1.0,0.0,0.0,0.0,1.0
model+condition,claude-opus-4-7,,generated_lore,8,1.0,0.875,1.0,1.0,0.0,0.875,0.625,0.875,0.0,0.0,0.125,0.75
model+condition,deepseek-v4-pro,,buried_primary,8,0.0,0.625,0.0,1.0,0.0,0.0,0.3333333333333333,0.0,0.0,1.0,0.0,0.0
model+condition,deepseek-v4-pro,,clean,8,1.0,1.0,1.0,0.875,0.375,0.0,0.41666666666666663,0.875,0.125,0.0,0.0,0.875
model+condition,deepseek-v4-pro,,conflicting_evidence,8,1.0,1.0,1.0,0.75,0.75,0.0,0.5,0.5,0.25,0.25,0.0,0.5
