model,budget_setting,prompt_condition,n,operational_epistemic_escape,conditional_epistemic_escape,parse_success,belief_correctness,evidence_cleanliness,uncertainty_discipline,verification_action_score,visible_output_tokens,answer_word_count,evidence_assessment_word_count,max_action_rationale_word_count,overlength_rate,cost_usd
claude-opus-4-7,operational,epistemic_hygiene_instruction,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,362.0,44.0,49.0,15.0,0.0,0.001775
claude-opus-4-7,operational,standard_answer,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,398.0,49.0,68.0,18.0,0.0,0.00174575
deepseek-v4-pro,operational,epistemic_hygiene_instruction,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,351.0,31.0,44.0,16.0,0.0,0.005329250000000001
deepseek-v4-pro,operational,standard_answer,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,378.0,23.0,92.0,14.0,0.0,0.0055815
gemini-3.1-pro-preview,operational,epistemic_hygiene_instruction,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,349.0,55.0,56.0,14.0,0.0,0.002696
gemini-3.1-pro-preview,operational,standard_answer,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,352.0,61.0,54.0,13.0,0.0,0.00264875
gpt-5.4,operational,epistemic_hygiene_instruction,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,393.0,72.0,70.0,14.0,0.0,0.00117175
gpt-5.4,operational,standard_answer,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,356.0,62.0,64.0,11.0,0.0,0.00112275
kimi-k2.6,operational,epistemic_hygiene_instruction,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,340.0,46.0,53.0,15.0,0.0,0.0080745
kimi-k2.6,operational,standard_answer,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,280.0,44.0,38.0,19.0,0.0,0.00607325
