model,prompt_condition,family,n,epistemic_escape,belief_correctness,evidence_cleanliness,uncertainty_discipline,primary_seeking_rate,duplicate_avoidance_rate,generated_lore_avoidance_rate,contradiction_seeking_rate,evidence_value_score,primary_action_rate,contradiction_action_rate,generated_lore_trace_rate,parse_success,cost_usd
openai/gpt-4o-mini,epistemic_hygiene_instruction,active_verification,20,0.5,0.75,0.95,0.75,0.6,0.4,0.8,0.4,0.24500000000000002,0.7,0.6,0.05,1.0,0.00040445250000000003
openai/gpt-4o-mini,epistemic_hygiene_instruction,evidence_selection,40,0.8,0.875,0.95,0.875,0.8,0.8,0.8,0.6,0.45041666666666663,0.525,0.475,0.025,1.0,0.00057081375
openai/gpt-4o-mini,epistemic_hygiene_instruction,packet_judgment,40,0.925,0.95,0.975,0.95,0.8,0.8,0.8,0.6,0.47333333333333333,0.75,0.675,0.05,1.0,0.00043434750000000003
openai/gpt-4o-mini,standard_answer,active_verification,20,0.65,0.8,0.9,0.9,0.6,0.4,0.8,0.4,0.2425,0.75,0.75,0.1,1.0,0.0003832125
openai/gpt-4o-mini,standard_answer,evidence_selection,40,0.8,1.0,0.975,1.0,0.8,0.8,0.8,0.6,0.42125,0.5,0.725,0.1,1.0,0.00054328875
openai/gpt-4o-mini,standard_answer,packet_judgment,40,0.925,1.0,0.925,1.0,0.8,0.775,0.8,0.6,0.40875000000000006,0.825,0.85,0.15,1.0,0.00042294749999999997
openai/gpt-5-mini,epistemic_hygiene_instruction,active_verification,20,0.2,0.45,1.0,0.45,0.25,0.9,0.95,0.15,0.11666666666666665,0.2,0.2,0.05,0.3,0.0031129875
openai/gpt-5-mini,epistemic_hygiene_instruction,evidence_selection,40,0.325,0.525,0.975,0.525,0.325,0.95,0.95,0.225,0.17916666666666664,0.325,0.275,0.025,0.375,0.00337860625
openai/gpt-5-mini,epistemic_hygiene_instruction,packet_judgment,40,0.475,0.475,1.0,0.475,0.275,0.95,0.95,0.225,0.14583333333333331,0.225,0.25,0.05,0.325,0.0031616125
openai/gpt-5-mini,standard_answer,active_verification,20,0.1,0.45,0.9,0.45,0.25,0.75,0.9,0.2,0.05833333333333333,0.2,0.25,0.1,0.35,0.0031051875
openai/gpt-5-mini,standard_answer,evidence_selection,40,0.375,0.575,0.925,0.575,0.375,1.0,1.0,0.325,0.19583333333333333,0.225,0.325,0.0,0.375,0.0033390062499999997
openai/gpt-5-mini,standard_answer,packet_judgment,40,0.65,0.675,0.975,0.675,0.475,0.975,0.975,0.325,0.25416666666666665,0.2,0.4,0.025,0.5,0.0030756125
openai/gpt-5.4-mini,epistemic_hygiene_instruction,active_verification,20,0.2,0.8,0.6,0.8,0.6,0.25,0.8,0.4,0.125,0.25,0.75,0.2,1.0,0.0032483625
openai/gpt-5.4-mini,epistemic_hygiene_instruction,evidence_selection,40,0.7,1.0,0.4,1.0,0.8,0.725,0.8,0.6,0.35,0.25,0.9,0.175,1.0,0.0042803812500000005
openai/gpt-5.4-mini,epistemic_hygiene_instruction,packet_judgment,40,0.625,1.0,0.625,1.0,0.8,0.75,0.8,0.6,0.37916666666666665,0.275,0.875,0.075,1.0,0.0034139250000000004
openai/gpt-5.4-mini,standard_answer,active_verification,20,0.1,0.8,0.5,0.8,0.6,0.4,0.8,0.4,0.2,0.3,0.75,0.15,1.0,0.0030923625
openai/gpt-5.4-mini,standard_answer,evidence_selection,40,0.775,1.0,0.375,1.0,0.8,0.775,0.8,0.6,0.3875,0.225,0.9,0.15,1.0,0.00407409375
openai/gpt-5.4-mini,standard_answer,packet_judgment,40,0.4,1.0,0.4,1.0,0.8,0.775,0.8,0.6,0.3875,0.275,0.8,0.2,1.0,0.003249375
openai/gpt-5.5,epistemic_hygiene_instruction,active_verification,4,0.75,0.75,1.0,0.75,0.5,0.5,0.75,0.25,0.25,1.0,0.5,0.25,1.0,0.0270825
openai/gpt-5.5,epistemic_hygiene_instruction,evidence_selection,4,0.75,1.0,1.0,1.0,0.75,0.75,0.75,0.5,0.375,1.0,0.75,0.0,1.0,0.0325775
openai/gpt-5.5,epistemic_hygiene_instruction,packet_judgment,4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.75,0.5416666666666666,1.0,1.0,0.0,1.0,0.02409
openai/gpt-5.5,standard_answer,active_verification,4,0.75,0.75,1.0,0.75,0.5,0.5,0.75,0.25,0.25,1.0,0.25,0.25,1.0,0.024715
openai/gpt-5.5,standard_answer,evidence_selection,4,0.75,1.0,0.75,1.0,0.75,0.75,0.75,0.5,0.375,0.5,0.5,0.25,1.0,0.031665
openai/gpt-5.5,standard_answer,packet_judgment,4,0.75,1.0,0.75,1.0,1.0,1.0,1.0,0.75,0.5,0.25,0.25,0.0,1.0,0.0264325
