retriever,strategy,duplicate_count,primary_visibility_under_bm25_top8,stress_score,n,wrong_answer_rate,mean_wrong_confidence,mean_pollutant_saturation_at_k,escape_rate
bm25_top12,evidence_graph_v3,5,False,3,4,0.0,0.0,0.6666666666666666,1.0
bm25_top12,evidence_graph_v3,5,True,1,4,0.0,0.0,0.6666666666666666,1.0
bm25_top12,evidence_graph_v3,20,False,4,4,1.0,0.82,0.9166666666666666,0.0
bm25_top12,evidence_graph_v3,20,True,2,4,0.0,0.0,0.8333333333333334,1.0
bm25_top12,evidence_graph_v3,50,False,4,4,1.0,0.82,1.0,0.0
bm25_top12,evidence_graph_v3,50,True,2,4,0.0,0.0,0.8333333333333334,1.0
bm25_top12,evidence_graph_v3,100,False,4,4,1.0,0.82,1.0,0.0
bm25_top12,evidence_graph_v3,100,True,2,4,0.0,0.0,0.8333333333333334,1.0
bm25_top8,evidence_graph_v3,5,False,3,4,0.0,0.0,1.0,0.0
bm25_top8,evidence_graph_v3,5,True,1,4,0.0,0.0,0.75,1.0
bm25_top8,evidence_graph_v3,20,False,4,4,1.0,0.82,1.0,0.0
bm25_top8,evidence_graph_v3,20,True,2,4,0.0,0.0,0.75,1.0
bm25_top8,evidence_graph_v3,50,False,4,4,1.0,0.82,1.0,0.0
bm25_top8,evidence_graph_v3,50,True,2,4,0.0,0.0,0.75,1.0
bm25_top8,evidence_graph_v3,100,False,4,4,1.0,0.82,1.0,0.0
bm25_top8,evidence_graph_v3,100,True,2,4,0.0,0.0,0.75,1.0
bm25_top8,forced_primary_append,5,False,3,4,0.0,0.0,1.0,1.0
bm25_top8,forced_primary_append,5,True,1,4,0.0,0.0,0.75,1.0
bm25_top8,forced_primary_append,20,False,4,4,0.0,0.0,1.0,1.0
bm25_top8,forced_primary_append,50,False,4,4,0.0,0.0,1.0,1.0
bm25_top8,forced_primary_append,100,False,4,4,0.0,0.0,1.0,1.0
bm25_top8,forced_triage_tools,5,False,3,4,0.0,0.0,1.0,1.0
bm25_top8,forced_triage_tools,5,True,1,4,0.0,0.0,0.75,1.0
bm25_top8,forced_triage_tools,20,False,4,4,0.0,0.0,1.0,1.0
bm25_top8,forced_triage_tools,50,False,4,4,0.0,0.0,1.0,1.0
bm25_top8,forced_triage_tools,100,False,4,4,0.0,0.0,1.0,1.0
bm25_top8,tool_agent_3call_policy,5,False,3,4,0.0,0.0,1.0,1.0
bm25_top8,tool_agent_3call_policy,5,True,1,4,0.0,0.0,0.75,1.0
bm25_top8,tool_agent_3call_policy,20,False,4,4,0.0,0.0,1.0,1.0
bm25_top8,tool_agent_3call_policy,50,False,4,4,0.0,0.0,1.0,1.0
bm25_top8,tool_agent_3call_policy,100,False,4,4,0.0,0.0,1.0,1.0
heuristic_root_dedup_top8,evidence_graph_v3,5,False,3,4,0.0,0.0,0.75,1.0
heuristic_root_dedup_top8,evidence_graph_v3,5,True,1,4,0.0,0.0,0.625,1.0
heuristic_root_dedup_top8,evidence_graph_v3,20,False,4,4,0.0,0.0,0.75,1.0
heuristic_root_dedup_top8,evidence_graph_v3,20,True,2,4,0.0,0.0,0.625,1.0
heuristic_root_dedup_top8,evidence_graph_v3,50,False,4,4,0.0,0.0,0.875,1.0
heuristic_root_dedup_top8,evidence_graph_v3,50,True,2,4,0.0,0.0,0.75,1.0
heuristic_root_dedup_top8,evidence_graph_v3,100,False,4,4,0.0,0.0,0.875,1.0
heuristic_root_dedup_top8,evidence_graph_v3,100,True,2,4,0.0,0.0,0.75,1.0
hygienic_combo_top8,evidence_graph_v3,5,False,3,4,0.0,0.0,0.375,1.0
hygienic_combo_top8,evidence_graph_v3,5,True,1,4,0.0,0.0,0.375,1.0
hygienic_combo_top8,evidence_graph_v3,20,False,4,4,0.0,0.0,0.625,1.0
hygienic_combo_top8,evidence_graph_v3,20,True,2,4,0.0,0.0,0.625,1.0
hygienic_combo_top8,evidence_graph_v3,50,False,4,4,0.0,0.0,0.75,1.0
hygienic_combo_top8,evidence_graph_v3,50,True,2,4,0.0,0.0,0.75,1.0
hygienic_combo_top8,evidence_graph_v3,100,False,4,4,0.0,0.0,0.75,1.0
hygienic_combo_top8,evidence_graph_v3,100,True,2,4,0.0,0.0,0.75,1.0
hygienic_combo_top8,static_hygienic_combo,5,False,3,4,0.0,0.0,0.375,1.0
hygienic_combo_top8,static_hygienic_combo,5,True,1,4,0.0,0.0,0.375,1.0
hygienic_combo_top8,static_hygienic_combo,20,False,4,4,0.0,0.0,0.625,1.0
hygienic_combo_top8,static_hygienic_combo,50,False,4,4,0.0,0.0,0.75,1.0
hygienic_combo_top8,static_hygienic_combo,100,False,4,4,0.0,0.0,0.75,1.0
primary_preserve_top8,evidence_graph_v3,5,False,3,4,0.0,0.0,0.75,1.0
primary_preserve_top8,evidence_graph_v3,5,True,1,4,0.0,0.0,0.75,1.0
primary_preserve_top8,evidence_graph_v3,20,False,4,4,0.0,0.0,0.75,1.0
primary_preserve_top8,evidence_graph_v3,20,True,2,4,0.0,0.0,0.75,1.0
primary_preserve_top8,evidence_graph_v3,50,False,4,4,0.0,0.0,0.75,1.0
primary_preserve_top8,evidence_graph_v3,50,True,2,4,0.0,0.0,0.75,1.0
primary_preserve_top8,evidence_graph_v3,100,False,4,4,0.0,0.0,0.75,1.0
primary_preserve_top8,evidence_graph_v3,100,True,2,4,0.0,0.0,0.75,1.0
