model,episode_type,strategy,n,parse_success,verdict_accuracy,evidence_validity,contaminated_citation_rate,rejected_contaminated_rate,independent_evidence_score,provenance_recovery_f1,qips,confidence,polluted_mistake,cost_usd,ece
openai/gpt-4o-mini,citation_laundering,citation_prompt,10,1.0,0.1,1.0,0.0,0.0,1.0,0.0,0.0,0.95,0.0,0.00023890500000000003,0.85
openai/gpt-4o-mini,citation_laundering,evidence_graph_prompt,10,1.0,0.4,1.0,0.0,0.4,1.0,0.1,0.0,0.915,0.0,0.000295275,0.515
openai/gpt-4o-mini,citation_laundering,source_independence_prompt,10,1.0,0.1,1.0,0.0,0.38333333333333336,1.0,0.735,0.0,0.9099999999999999,0.0,0.000322425,0.8099999999999999
openai/gpt-4o-mini,citation_laundering,topk_rag,10,1.0,0.2,1.0,0.0,0.0,1.0,0.0,0.0,0.96,0.0,0.000245955,0.76
openai/gpt-4o-mini,clean_control,citation_prompt,10,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.9650000000000001,0.0,0.000265695,0.03499999999999992
openai/gpt-4o-mini,clean_control,evidence_graph_prompt,10,1.0,1.0,1.0,0.0,0.5833333333333333,1.0,0.39904761904761904,0.0,0.95,0.0,0.000314445,0.050000000000000044
openai/gpt-4o-mini,clean_control,source_independence_prompt,10,1.0,1.0,1.0,0.0,0.6833333333333333,1.0,0.23666666666666666,0.0,0.9400000000000001,0.0,0.000317475,0.05999999999999994
openai/gpt-4o-mini,clean_control,topk_rag,10,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.96,0.0,0.000253365,0.040000000000000036
openai/gpt-4o-mini,false_consensus,citation_prompt,15,1.0,0.2,0.2,0.8,0.0,0.3,0.0,0.0,0.9466666666666667,0.8,0.00029504,0.7466666666666666
openai/gpt-4o-mini,false_consensus,evidence_graph_prompt,15,1.0,0.2,0.2,0.8,0.15555555555555556,1.0,0.56,0.0,0.8966666666666667,0.8,0.00037481,0.6966666666666668
openai/gpt-4o-mini,false_consensus,source_independence_prompt,15,1.0,0.2,0.2,0.8,0.04126984126984127,1.0,0.8,0.0,0.91,0.8,0.00037912,0.71
openai/gpt-4o-mini,false_consensus,topk_rag,15,1.0,0.2,0.2,0.8,0.0,0.3,0.0,0.0,0.9333333333333333,0.8,0.00029035,0.7333333333333334
openai/gpt-4o-mini,halupedia_trap,citation_prompt,5,1.0,0.8,0.05,0.95,0.0,0.32333333333333336,0.0,1.0,0.74,0.2,0.00030767999999999995,0.42000000000000004
openai/gpt-4o-mini,halupedia_trap,evidence_graph_prompt,5,1.0,0.2,0.8,0.0,0.8,0.8,0.4,0.0,0.74,0.0,0.00033993,0.54
openai/gpt-4o-mini,halupedia_trap,source_independence_prompt,5,1.0,0.4,0.4,0.4,0.4428571428571429,0.8,0.2,0.3,0.77,0.4,0.00033072,0.73
openai/gpt-4o-mini,halupedia_trap,topk_rag,5,1.0,0.6,0.2,0.8,0.0,0.42333333333333334,0.0,0.8,0.7899999999999999,0.2,0.00028815,0.5500000000000002
openai/gpt-4o-mini,mixed_source_corruption,citation_prompt,10,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.905,0.0,0.00027921,0.905
openai/gpt-4o-mini,mixed_source_corruption,evidence_graph_prompt,10,1.0,0.0,1.0,0.0,0.85,1.0,0.03333333333333334,0.0,0.8949999999999999,0.0,0.00034374000000000004,0.8949999999999999
openai/gpt-4o-mini,mixed_source_corruption,source_independence_prompt,10,1.0,0.0,1.0,0.0,0.8166666666666667,1.0,0.5416666666666666,0.0,0.9,0.0,0.00036849,0.9
openai/gpt-4o-mini,mixed_source_corruption,topk_rag,10,1.0,0.0,1.0,0.0,0.2,1.0,0.0,0.0,0.8949999999999999,0.0,0.00025986,0.8949999999999999
openai/gpt-4o-mini,temporal_pollution,citation_prompt,10,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.9650000000000001,0.0,0.000269835,0.9650000000000001
openai/gpt-4o-mini,temporal_pollution,evidence_graph_prompt,10,1.0,0.7,1.0,0.0,0.6833333333333333,1.0,0.04,0.0,0.9549999999999998,0.0,0.00031690500000000003,0.2549999999999999
openai/gpt-4o-mini,temporal_pollution,source_independence_prompt,10,1.0,1.0,1.0,0.0,0.6333333333333333,1.0,0.42666666666666664,0.0,0.93,0.0,0.000346335,0.06999999999999995
openai/gpt-4o-mini,temporal_pollution,topk_rag,10,1.0,0.8,1.0,0.0,0.0,1.0,0.0,0.0,0.95,0.0,0.000253065,0.1499999999999999
