model,prompt_condition,n,operational_epistemic_escape,conditional_epistemic_escape,parse_success,belief_correctness,evidence_cleanliness,uncertainty_discipline,verification_action_score,cost_usd
claude-opus-4-7,epistemic_hygiene_instruction,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.00160925
claude-opus-4-7,standard_answer,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.001598
deepseek-v4-pro,epistemic_hygiene_instruction,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.004175
deepseek-v4-pro,standard_answer,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.00393725
gemini-3.1-pro-preview,epistemic_hygiene_instruction,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0029635
gemini-3.1-pro-preview,standard_answer,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.00300825
gpt-5.4,epistemic_hygiene_instruction,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0015312499999999998
gpt-5.4,standard_answer,1,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.00135625
kimi-k2.6,epistemic_hygiene_instruction,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.01141825
kimi-k2.6,standard_answer,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.007409000000000001
