schema_variant,model,condition,n,parse_success,empty_output,schema_missing,belief_correctness,insufficient_verdict,primary_selected,primary_in_support,polluted_in_support,polluted_rejected,polluted_diagnostic,dual_role_pollutant,action_search_primary,action_trace_source,role_escape,operational_escape_proxy,cost_usd
clarified,gemini-3.1-pro-preview,buried_primary,8,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.75,0.25,0.0,0.0,0.0,1.0,0.75,0.00301290625
clarified,gemini-3.1-pro-preview,generated_lore,8,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.25,0.0,1.0,0.75,1.0,1.0,0.00341975
clarified,gpt-5.5,buried_primary,8,1.0,0.0,0.0,0.875,0.125,1.0,0.875,0.0,1.0,0.0,0.0,0.0,0.5,0.875,0.875,0.032261875
clarified,gpt-5.5,generated_lore,8,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0265925
current,gemini-3.1-pro-preview,buried_primary,8,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,not_applicable,0.0,0.375,0.125,1.0,0.875,0.00240465625
current,gemini-3.1-pro-preview,generated_lore,8,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,not_applicable,0.0,1.0,0.625,1.0,1.0,0.00384846875
current,gpt-5.5,buried_primary,8,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,not_applicable,0.0,0.0,0.375,1.0,1.0,0.030574375
current,gpt-5.5,generated_lore,8,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,not_applicable,0.0,1.0,1.0,1.0,1.0,0.02765375
diagnostic_no_hygiene,gemini-3.1-pro-preview,buried_primary,8,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.875,0.125,0.0,0.25,0.0,1.0,0.75,0.00286575
diagnostic_no_hygiene,gemini-3.1-pro-preview,generated_lore,8,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.125,0.0,1.0,0.375,1.0,1.0,0.00322140625
diagnostic_no_hygiene,gpt-5.5,buried_primary,8,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.031230625
diagnostic_no_hygiene,gpt-5.5,generated_lore,8,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.02985125
minimal,gemini-3.1-pro-preview,buried_primary,8,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,0.0,0.0,0.0027524375
minimal,gemini-3.1-pro-preview,generated_lore,8,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,0.0,0.0,0.00205596875
minimal,gpt-5.5,buried_primary,8,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,0.0,0.0,0.019446875000000002
minimal,gpt-5.5,generated_lore,8,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,0.0,0.0,0.0150975
