task_id,base_task_id,condition,family,model,variant,baseline_variant,delta_operational_escape,delta_belief_correctness,delta_evidence_precision,delta_polluted_support_rate,delta_action_score,pass_to_fail_operational,fail_to_pass_operational,pass_to_fail_belief,fail_to_pass_belief,support_set_changed,verdict_changed,action_score_changed,baseline_operational_epistemic_escape,variant_operational_epistemic_escape,baseline_belief_correctness,variant_belief_correctness,baseline_evidence_precision,variant_evidence_precision,baseline_polluted_support_rate,variant_polluted_support_rate,baseline_action_score,variant_action_score,baseline_support_doc_ids,variant_support_doc_ids,baseline_selected_doc_ids,variant_selected_doc_ids,baseline_verdict,variant_verdict
uncued_013_visible,uncued_013,conflicting_evidence,packet_judgment,gemini-3.1-pro-preview,order_randomized,baseline_original,1.0,1.0,0.5,-1.0,,0,1,0,1,1,1,0,0.0,1.0,0.0,1.0,0.5,1.0,1.0,0.0,,,"uncued_013_d04,uncued_013_d01",uncued_013_d04,"uncued_013_d04,uncued_013_d01","uncued_013_d04,uncued_013_d01",insufficient,refuted
uncued_013_visible,uncued_013,conflicting_evidence,packet_judgment,gemini-3.1-pro-preview,source_type_masked,baseline_original,1.0,1.0,0.5,-1.0,,0,1,0,1,1,1,0,0.0,1.0,0.0,1.0,0.5,1.0,1.0,0.0,,,"uncued_013_d04,uncued_013_d01",uncued_013_d04,"uncued_013_d04,uncued_013_d01","uncued_013_d04,uncued_013_d01,uncued_013_d02",insufficient,refuted
uncued_013_visible,uncued_013,conflicting_evidence,packet_judgment,gemini-3.1-pro-preview,citation_masked,baseline_original,1.0,1.0,0.5,-1.0,,0,1,0,1,1,1,0,0.0,1.0,0.0,1.0,0.5,1.0,1.0,0.0,,,"uncued_013_d04,uncued_013_d01",uncued_013_d04,"uncued_013_d04,uncued_013_d01","uncued_013_d04,uncued_013_d01",insufficient,refuted
uncued_014_visible,uncued_014,conflicting_evidence,packet_judgment,gemini-3.1-pro-preview,order_randomized,baseline_original,1.0,1.0,0.5,-1.0,,0,1,0,1,1,1,0,0.0,1.0,0.0,1.0,0.5,1.0,1.0,0.0,,,"uncued_014_d01,uncued_014_d03",uncued_014_d03,"uncued_014_d01,uncued_014_d03","uncued_014_d03,uncued_014_d01,uncued_014_d04",insufficient,refuted
uncued_014_visible,uncued_014,conflicting_evidence,packet_judgment,gemini-3.1-pro-preview,prompt_paraphrase,baseline_original,1.0,1.0,0.5,-1.0,,0,1,0,1,1,1,0,0.0,1.0,0.0,1.0,0.5,1.0,1.0,0.0,,,"uncued_014_d01,uncued_014_d03",uncued_014_d03,"uncued_014_d01,uncued_014_d03","uncued_014_d03,uncued_014_d01",insufficient,refuted
uncued_014_visible,uncued_014,conflicting_evidence,packet_judgment,gemini-3.1-pro-preview,citation_masked,baseline_original,0.0,0.0,,-1.0,,0,0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.5,,1.0,0.0,,,"uncued_014_d01,uncued_014_d03",,"uncued_014_d01,uncued_014_d03","uncued_014_d01,uncued_014_d03",insufficient,insufficient
uncued_014_visible,uncued_014,conflicting_evidence,packet_judgment,gpt-5.5,order_randomized,baseline_original,0.0,0.0,-0.5,0.0,,0,0,0,0,1,0,0,1.0,1.0,1.0,1.0,1.0,0.5,0.0,0.0,,,uncued_014_d03,"uncued_014_d03,uncued_014_d04","uncued_014_d03,uncued_014_d01,uncued_014_d04","uncued_014_d03,uncued_014_d01,uncued_014_d04",refuted,refuted
uncued_018_visible,uncued_018,conflicting_evidence,evidence_selection,gemini-3.1-pro-preview,citation_masked,baseline_original,0.0,-1.0,-0.5,1.0,,0,0,1,0,1,1,0,0.0,0.0,1.0,0.0,1.0,0.5,0.0,1.0,,,uncued_018_d04,"uncued_018_d04,uncued_018_d01","uncued_018_d04,uncued_018_d01,uncued_018_d02","uncued_018_d04,uncued_018_d01",refuted,insufficient
uncued_020_visible,uncued_020,conflicting_evidence,evidence_selection,gemini-3.1-pro-preview,citation_masked,baseline_original,0.0,-1.0,-0.5,1.0,,0,0,1,0,1,1,0,0.0,0.0,1.0,0.0,1.0,0.5,0.0,1.0,,,uncued_020_d01,"uncued_020_d03,uncued_020_d01","uncued_020_d03,uncued_020_d01,uncued_020_d02","uncued_020_d03,uncued_020_d01",refuted,insufficient
uncued_023_visible,uncued_023,conflicting_evidence,active_verification,gemini-3.1-pro-preview,order_randomized,baseline_original,-1.0,0.0,0.0,0.0,-0.5,1,0,0,0,0,0,1,1.0,0.0,1.0,1.0,0.5,0.5,0.0,0.0,1.0,0.5,"uncued_023_d04,uncued_023_d02","uncued_023_d02,uncued_023_d04","uncued_023_d01,uncued_023_d04,uncued_023_d02","uncued_023_d01,uncued_023_d04,uncued_023_d02",refuted,refuted
