task_id,audit_doc_id,model_visible_doc_id,role
ert_000,eham_000_primary_a,doc_006,primary
ert_000,eham_000_primary_b,doc_001,primary
ert_000,eham_000_pollutant_root,doc_010,contaminant
ert_000,eham_000_repost_00,doc_004,contaminant
ert_000,eham_000_repost_01,doc_003,contaminant
ert_000,eham_000_context_07,doc_008,background
ert_000,eham_000_context_08,doc_007,background
ert_000,eham_000_context_09,doc_009,background
ert_000,eham_000_context_10,doc_005,background
ert_000,eham_000_context_11,doc_002,background
ert_001,eham_001_primary_a,doc_009,primary
ert_001,eham_001_primary_b,doc_010,primary
ert_001,eham_001_pollutant_root,doc_006,contaminant
ert_001,eham_001_repost_00,doc_007,contaminant
ert_001,eham_001_repost_01,doc_005,contaminant
ert_001,eham_001_context_07,doc_004,background
ert_001,eham_001_context_08,doc_001,background
ert_001,eham_001_context_09,doc_003,background
ert_001,eham_001_context_10,doc_002,background
ert_001,eham_001_context_11,doc_008,background
ert_002,eham_002_primary_a,doc_006,primary
ert_002,eham_002_primary_b,doc_007,primary
ert_002,eham_002_pollutant_root,doc_008,contaminant
ert_002,eham_002_repost_00,doc_010,contaminant
ert_002,eham_002_repost_01,doc_003,contaminant
ert_002,eham_002_context_07,doc_002,background
ert_002,eham_002_context_08,doc_005,background
ert_002,eham_002_context_09,doc_004,background
ert_002,eham_002_context_10,doc_009,background
ert_002,eham_002_context_11,doc_001,background
ert_003,eham_003_primary_a,doc_003,primary
ert_003,eham_003_primary_b,doc_005,primary
ert_003,eham_003_pollutant_root,doc_007,contaminant
ert_003,eham_003_repost_00,doc_009,contaminant
ert_003,eham_003_repost_01,doc_010,contaminant
ert_003,eham_003_context_07,doc_004,background
ert_003,eham_003_context_08,doc_008,background
ert_003,eham_003_context_09,doc_002,background
ert_003,eham_003_context_10,doc_006,background
ert_003,eham_003_context_11,doc_001,background
ert_004,eham_004_primary_a,doc_008,primary
ert_004,eham_004_primary_b,doc_006,primary
ert_004,eham_004_pollutant_root,doc_003,contaminant
ert_004,eham_004_repost_00,doc_009,contaminant
ert_004,eham_004_repost_01,doc_007,contaminant
ert_004,eham_004_context_06,doc_001,background
