model,budget_setting,family,n,operational_epistemic_escape,conditional_epistemic_escape,parse_success,belief_correctness,evidence_cleanliness,uncertainty_discipline,verification_action_score,visible_output_tokens,answer_word_count,evidence_assessment_word_count,max_action_rationale_word_count,overlength_rate,cost_usd
claude-opus-4-7,operational,active_verification,40,0.8,0.8,1.0,0.8,1.0,0.8,0.6,415.925,53.1,67.575,17.15,0.0,0.0017885874999999999
claude-opus-4-7,operational,evidence_selection,80,0.8,0.8,1.0,1.0,1.0,1.0,0.0,426.2,53.8875,66.5375,19.7375,0.0,0.0022068625
claude-opus-4-7,operational,packet_judgment,80,1.0,1.0,1.0,1.0,1.0,1.0,0.0,413.5625,53.275,66.1,17.1375,0.0,0.0018622687499999999
deepseek-v4-pro,operational,active_verification,40,0.5,0.5,1.0,0.8,0.85,0.8,0.475,397.475,41.8,59.3,19.85,0.0,0.0038626374999999997
deepseek-v4-pro,operational,evidence_selection,80,0.7625,0.7625,1.0,1.0,0.925,1.0,0.0,408.15,41.975,64.4625,18.9125,0.0,0.0044303875
deepseek-v4-pro,operational,packet_judgment,80,0.9625,0.9746835443037974,0.9875,0.975,0.9875,0.975,0.0,392.675,38.88607594936709,61.35443037974684,18.810126582278482,0.0,0.00396658125
gemini-3.1-pro-preview,operational,active_verification,40,0.3,0.3,1.0,0.8,1.0,0.8,0.4583333333333333,445.85,69.925,58.425,18.325,0.0,0.00365380625
gemini-3.1-pro-preview,operational,evidence_selection,80,0.8,0.8,1.0,1.0,1.0,1.0,0.0,454.6125,72.1625,61.3625,16.775,0.0,0.00405216875
gemini-3.1-pro-preview,operational,packet_judgment,80,1.0,1.0,1.0,1.0,1.0,1.0,0.0,460.7875,73.625,63.15,17.8375,0.0,0.0037412624999999997
gpt-5.4,operational,active_verification,40,0.6,0.6,1.0,0.8,0.625,0.8,0.4083333333333333,374.75,59.2,59.925,12.825,0.0,0.0011367875
gpt-5.4,operational,evidence_selection,80,0.7875,0.7875,1.0,1.0,0.675,1.0,0.0,378.9625,60.15,62.0375,12.6125,0.0,0.0014090812499999998
gpt-5.4,operational,packet_judgment,80,0.8375,0.8375,1.0,1.0,0.8375,1.0,0.0,365.8625,56.8125,60.0125,12.6,0.0,0.0011682125
kimi-k2.6,operational,active_verification,40,0.4,0.4,1.0,0.8,1.0,0.8,0.45,405.65,50.625,56.65,22.75,0.0,0.00822895
kimi-k2.6,operational,evidence_selection,80,0.775,0.775,1.0,1.0,0.875,1.0,0.0,412.2375,55.725,61.8,20.2875,0.0,0.0094975
kimi-k2.6,operational,packet_judgment,80,1.0,1.0,1.0,1.0,1.0,1.0,0.0,395.45,52.4,57.2375,20.2375,0.0,0.008758425
