task_id,family,condition,model,prompt_condition,parse_success,empty_output,schema_missing,parse_error,response_format_used,json_extractor_used,cost_usd
uncued_000_visible,packet_judgment,clean,deepseek-v4-pro,standard_answer,1.0,0.0,0.0,,json_object,first_json_object,0.00151575
uncued_000_hidden,packet_judgment,clean,deepseek-v4-pro,standard_answer,1.0,0.0,0.0,,json_object,first_json_object,0.002332
uncued_005_visible,evidence_selection,clean,deepseek-v4-pro,standard_answer,1.0,0.0,0.0,,json_object,first_json_object,0.00598825
uncued_010_visible,active_verification,clean,deepseek-v4-pro,standard_answer,1.0,0.0,0.0,,json_object,first_json_object,0.00436775
uncued_012_visible,packet_judgment,conflicting_evidence,deepseek-v4-pro,standard_answer,1.0,0.0,0.0,,json_object,first_json_object,0.0035885
uncued_017_visible,evidence_selection,conflicting_evidence,deepseek-v4-pro,standard_answer,1.0,0.0,0.0,,json_object,first_json_object,0.0059240000000000004
uncued_017_hidden,evidence_selection,conflicting_evidence,deepseek-v4-pro,standard_answer,1.0,0.0,0.0,,json_object,first_json_object,0.00558025
uncued_022_visible,active_verification,conflicting_evidence,deepseek-v4-pro,standard_answer,1.0,0.0,0.0,,json_object,first_json_object,0.005603
uncued_024_visible,packet_judgment,false_consensus,deepseek-v4-pro,standard_answer,1.0,0.0,0.0,,json_object,first_json_object,0.004745999999999999
uncued_024_hidden,packet_judgment,false_consensus,deepseek-v4-pro,standard_answer,1.0,0.0,0.0,,json_object,first_json_object,0.00415625
uncued_029_visible,evidence_selection,false_consensus,deepseek-v4-pro,standard_answer,1.0,0.0,0.0,,json_object,first_json_object,0.005327
uncued_029_hidden,evidence_selection,false_consensus,deepseek-v4-pro,standard_answer,1.0,0.0,0.0,,json_object,first_json_object,0.00806125
uncued_036_visible,packet_judgment,buried_primary,deepseek-v4-pro,standard_answer,1.0,0.0,0.0,,json_object,first_json_object,0.00319325
uncued_041_visible,evidence_selection,buried_primary,deepseek-v4-pro,standard_answer,1.0,0.0,0.0,,json_object,first_json_object,0.0039305
uncued_041_hidden,evidence_selection,buried_primary,deepseek-v4-pro,standard_answer,1.0,0.0,0.0,,json_object,first_json_object,0.0027847500000000003
uncued_046_visible,active_verification,buried_primary,deepseek-v4-pro,standard_answer,0.0,0.0,0.0,API call exceeded 240.0s process timeout,json_object,not_attempted,0.0
uncued_048_visible,packet_judgment,generated_lore,deepseek-v4-pro,standard_answer,1.0,0.0,0.0,,json_object,first_json_object,0.00357025
uncued_048_hidden,packet_judgment,generated_lore,deepseek-v4-pro,standard_answer,1.0,0.0,0.0,,json_object,first_json_object,0.0048585
uncued_052_visible,evidence_selection,generated_lore,deepseek-v4-pro,standard_answer,1.0,0.0,0.0,,json_object,first_json_object,0.0046717500000000006
uncued_056_visible,active_verification,generated_lore,deepseek-v4-pro,standard_answer,1.0,0.0,0.0,,json_object,first_json_object,0.00363275
