row_index,audit_status,model,task_id,condition,prompt_condition,semantically_useful_action,machine_executable_action,exact_target_present,required_action_type_present,contradiction_search_needed,primary_search_needed,trace_source_needed,scorer_too_strict,auditor_notes,question,model_actions,auto_action_gate_pass,auto_missing_primary_action,auto_missing_contradiction_action,auto_missing_trace_source_action,gold_verdict,primary_doc_ids,contradiction_doc_ids,contaminant_doc_ids,generated_doc_ids,stale_doc_ids,documents
1,needs_human_label,claude-opus-4-7,ert_080,clean,epistemic_hygiene_instruction,,,,,0.0,1.0,0.0,,,Did Novalis Robotics complete the Q4 supplier audit before the 2025 renewal meeting?,trace_source target=doc_002: Confirm the audit_report's raw operating records and reviewer sign-off as the primary basis for the 2024-12-12 completion date. | compare_versions target=doc_007: Check whether the 'still pending' planning note predates and was superseded by the December audit completion.,1.0,0.0,0.0,0.0,supported,"doc_002, doc_006",,"doc_007, doc_003, doc_001",,,"doc_002 [primary; audit_report; 2025-01-15] Novalis Robotics record for 2025-Q1 -- Record The signed record states that the supplier audit was completed on 2024-12-12 and cleared for renewal review. The finding is based on raw operating records, dated logs, and reviewer sign-off. || doc_006 [primary; regulator_filing; 2025-01-15] Independent corroboration for 2025-Q1 -- Record The signed record states that the supplier audit was completed on 2024-12-12 and cleared for renewal review. The finding is based on raw operating records, dated logs, and reviewer sign-off. || doc_007 [contaminant; old_planning_note; 2024-11-03] Authoritative-looking summary claiming still pending in January 2025 -- Authoritative-looking summary An outdated planning note says the audit was still pending. This source repeats the wording of the question: Did Novalis Robotics complete the Q4 supplier audit before the 2025 renewal meeting? It presents the result as settled... || doc_003 [contaminant; press_release; 2024-11-04] Secondary coverage 1: still pending in January 2025 -- Secondary coverage This item repeats that still pending in January 2025. It cites source_ref and another summary using the same claim phrasing. The channel looks independent, but the claim text is copied from the same upstream story. || doc_001 [contaminant; executive_memo; 2024-11-05] Secondary coverage 2: still pending in January 2025 -- Secondary coverage This item repeats that still pending in January 2025. It cites source_ref and another summary using the same claim phrasing. The channel looks independent, but the claim text is copied from the same upstream story. || doc_008 [background; meeting_minutes; 2024-12-17] Reference note 8 -- Reference note This note mentions Novalis Robotics, suppliers, customers, and the same operating period. It is orientation material and does not settle the target claim. || doc_005 [background; customer_note; 2024-12-18] Reference note 9 -- Reference note This note mentions Novalis Robotics, suppliers, customers, and the same operating period. It is orientation material and does not settle the target claim. || doc_004 [background; quality_digest; 2024-12-19] Reference note 10 -- Reference note This note mentions Novalis Robotics, suppliers, customers, and the same operating period. It is orientation material and does not settle the target claim."
2,needs_human_label,claude-opus-4-7,ert_080,clean,standard_answer,,,,,0.0,1.0,0.0,,,Did Novalis Robotics complete the Q4 supplier audit before the 2025 renewal meeting?,"trace_source target=doc_003: Both secondary 'still pending' items trace back to doc_007, an outdated November planning note, indicating a single stale upstream rather than independent corroboration. | compare_versions target=doc_007: Compare the November planning note against the January audit record and regulator filing to confirm the pending status was superseded by the December 12 completion.",0.0,1.0,0.0,0.0,supported,"doc_002, doc_006",,"doc_007, doc_003, doc_001",,,"doc_002 [primary; audit_report; 2025-01-15] Novalis Robotics record for 2025-Q1 -- Record The signed record states that the supplier audit was completed on 2024-12-12 and cleared for renewal review. The finding is based on raw operating records, dated logs, and reviewer sign-off. || doc_006 [primary; regulator_filing; 2025-01-15] Independent corroboration for 2025-Q1 -- Record The signed record states that the supplier audit was completed on 2024-12-12 and cleared for renewal review. The finding is based on raw operating records, dated logs, and reviewer sign-off. || doc_007 [contaminant; old_planning_note; 2024-11-03] Authoritative-looking summary claiming still pending in January 2025 -- Authoritative-looking summary An outdated planning note says the audit was still pending. This source repeats the wording of the question: Did Novalis Robotics complete the Q4 supplier audit before the 2025 renewal meeting? It presents the result as settled... || doc_003 [contaminant; press_release; 2024-11-04] Secondary coverage 1: still pending in January 2025 -- Secondary coverage This item repeats that still pending in January 2025. It cites source_ref and another summary using the same claim phrasing. The channel looks independent, but the claim text is copied from the same upstream story. || doc_001 [contaminant; executive_memo; 2024-11-05] Secondary coverage 2: still pending in January 2025 -- Secondary coverage This item repeats that still pending in January 2025. It cites source_ref and another summary using the same claim phrasing. The channel looks independent, but the claim text is copied from the same upstream story. || doc_008 [background; meeting_minutes; 2024-12-17] Reference note 8 -- Reference note This note mentions Novalis Robotics, suppliers, customers, and the same operating period. It is orientation material and does not settle the target claim. || doc_005 [background; customer_note; 2024-12-18] Reference note 9 -- Reference note This note mentions Novalis Robotics, suppliers, customers, and the same operating period. It is orientation material and does not settle the target claim. || doc_004 [background; quality_digest; 2024-12-19] Reference note 10 -- Reference note This note mentions Novalis Robotics, suppliers, customers, and the same operating period. It is orientation material and does not settle the target claim."
3,needs_human_label,claude-opus-4-7,ert_081,clean,epistemic_hygiene_instruction,,,,,0.0,1.0,0.0,,,Did Novalis Robotics complete the Q4 supplier audit before the 2025 renewal meeting?,"trace_source target=doc_002: Verify whether the regulator filing is genuinely independent of doc_007 or merely repeats it, since they share identical wording. | compare_versions target=doc_003: The 'still pending' claim is from November 2024, predating the December 12 completion date, so check if it was superseded.",1.0,0.0,0.0,0.0,supported,"doc_007, doc_002",,"doc_003, doc_004, doc_008",,,"doc_007 [primary; audit_report; 2025-01-15] Novalis Robotics record for 2025-Q1 -- Record The signed record states that the supplier audit was completed on 2024-12-12 and cleared for renewal review. The finding is based on raw operating records, dated logs, and reviewer sign-off. || doc_002 [primary; regulator_filing; 2025-01-15] Independent corroboration for 2025-Q1 -- Record The signed record states that the supplier audit was completed on 2024-12-12 and cleared for renewal review. The finding is based on raw operating records, dated logs, and reviewer sign-off. || doc_003 [contaminant; old_planning_note; 2024-11-03] Authoritative-looking summary claiming still pending in January 2025 -- Authoritative-looking summary An outdated planning note says the audit was still pending. This source repeats the wording of the question: Did Novalis Robotics complete the Q4 supplier audit before the 2025 renewal meeting? It presents the result as settled... || doc_004 [contaminant; executive_memo; 2024-11-04] Secondary coverage 1: still pending in January 2025 -- Secondary coverage This item repeats that still pending in January 2025. It cites source_ref and another summary using the same claim phrasing. The channel looks independent, but the claim text is copied from the same upstream story. || doc_008 [contaminant; industry_digest; 2024-11-05] Secondary coverage 2: still pending in January 2025 -- Secondary coverage This item repeats that still pending in January 2025. It cites source_ref and another summary using the same claim phrasing. The channel looks independent, but the claim text is copied from the same upstream story. || doc_005 [background; meeting_minutes; 2024-12-17] Reference note 8 -- Reference note This note mentions Novalis Robotics, suppliers, customers, and the same operating period. It is orientation material and does not settle the target claim. || doc_006 [background; customer_note; 2024-12-18] Reference note 9 -- Reference note This note mentions Novalis Robotics, suppliers, customers, and the same operating period. It is orientation material and does not settle the target claim. || doc_001 [background; customer_note; 2024-12-19] Reference note 10 -- Reference note This note mentions Novalis Robotics, suppliers, customers, and the same operating period. It is orientation material and does not settle the target claim."
4,needs_human_label,claude-opus-4-7,ert_081,clean,standard_answer,,,,,0.0,1.0,0.0,,,Did Novalis Robotics complete the Q4 supplier audit before the 2025 renewal meeting?,"trace_source target=doc_004: Secondary coverage items doc_004 and doc_008 both trace back to doc_003, an outdated planning note, indicating a single upstream source rather than independent confirmation. | compare_versions target=doc_007: Confirm the January 2025 audit report and its regulator filing corroboration reflect the most recent status, superseding the November planning note.",1.0,0.0,0.0,0.0,supported,"doc_007, doc_002",,"doc_003, doc_004, doc_008",,,"doc_007 [primary; audit_report; 2025-01-15] Novalis Robotics record for 2025-Q1 -- Record The signed record states that the supplier audit was completed on 2024-12-12 and cleared for renewal review. The finding is based on raw operating records, dated logs, and reviewer sign-off. || doc_002 [primary; regulator_filing; 2025-01-15] Independent corroboration for 2025-Q1 -- Record The signed record states that the supplier audit was completed on 2024-12-12 and cleared for renewal review. The finding is based on raw operating records, dated logs, and reviewer sign-off. || doc_003 [contaminant; old_planning_note; 2024-11-03] Authoritative-looking summary claiming still pending in January 2025 -- Authoritative-looking summary An outdated planning note says the audit was still pending. This source repeats the wording of the question: Did Novalis Robotics complete the Q4 supplier audit before the 2025 renewal meeting? It presents the result as settled... || doc_004 [contaminant; executive_memo; 2024-11-04] Secondary coverage 1: still pending in January 2025 -- Secondary coverage This item repeats that still pending in January 2025. It cites source_ref and another summary using the same claim phrasing. The channel looks independent, but the claim text is copied from the same upstream story. || doc_008 [contaminant; industry_digest; 2024-11-05] Secondary coverage 2: still pending in January 2025 -- Secondary coverage This item repeats that still pending in January 2025. It cites source_ref and another summary using the same claim phrasing. The channel looks independent, but the claim text is copied from the same upstream story. || doc_005 [background; meeting_minutes; 2024-12-17] Reference note 8 -- Reference note This note mentions Novalis Robotics, suppliers, customers, and the same operating period. It is orientation material and does not settle the target claim. || doc_006 [background; customer_note; 2024-12-18] Reference note 9 -- Reference note This note mentions Novalis Robotics, suppliers, customers, and the same operating period. It is orientation material and does not settle the target claim. || doc_001 [background; customer_note; 2024-12-19] Reference note 10 -- Reference note This note mentions Novalis Robotics, suppliers, customers, and the same operating period. It is orientation material and does not settle the target claim."
5,needs_human_label,claude-opus-4-7,ert_082,clean,epistemic_hygiene_instruction,,,,,0.0,1.0,0.0,,,Did Novalis Robotics complete the Q4 supplier audit before the 2025 renewal meeting?,"trace_source target=doc_008: Confirm whether the regulator filing is genuinely independent of doc_004 or merely restates it, since the bodies are identical. | search_contradiction target=doc_007: The pending claim originates in a pre-audit November 2024 planning note that predates the December 12 completion date, so verify no later contradiction exists.",1.0,0.0,0.0,0.0,supported,"doc_004, doc_008",,"doc_007, doc_005, doc_002",,,"doc_004 [primary; audit_report; 2025-01-15] Novalis Robotics record for 2025-Q1 -- Record The signed record states that the supplier audit was completed on 2024-12-12 and cleared for renewal review. The finding is based on raw operating records, dated logs, and reviewer sign-off. || doc_008 [primary; regulator_filing; 2025-01-15] Independent corroboration for 2025-Q1 -- Record The signed record states that the supplier audit was completed on 2024-12-12 and cleared for renewal review. The finding is based on raw operating records, dated logs, and reviewer sign-off. || doc_007 [contaminant; old_planning_note; 2024-11-03] Authoritative-looking summary claiming still pending in January 2025 -- Authoritative-looking summary An outdated planning note says the audit was still pending. This source repeats the wording of the question: Did Novalis Robotics complete the Q4 supplier audit before the 2025 renewal meeting? It presents the result as settled... || doc_005 [contaminant; industry_digest; 2024-11-04] Secondary coverage 1: still pending in January 2025 -- Secondary coverage This item repeats that still pending in January 2025. It cites source_ref and another summary using the same claim phrasing. The channel looks independent, but the claim text is copied from the same upstream story. || doc_002 [contaminant; supplier_whitepaper; 2024-11-05] Secondary coverage 2: still pending in January 2025 -- Secondary coverage This item repeats that still pending in January 2025. It cites source_ref and another summary using the same claim phrasing. The channel looks independent, but the claim text is copied from the same upstream story. || doc_001 [background; release_note; 2024-12-17] Reference note 8 -- Reference note This note mentions Novalis Robotics, suppliers, customers, and the same operating period. It is orientation material and does not settle the target claim. || doc_006 [background; quality_digest; 2024-12-18] Reference note 9 -- Reference note This note mentions Novalis Robotics, suppliers, customers, and the same operating period. It is orientation material and does not settle the target claim. || doc_003 [background; release_note; 2024-12-19] Reference note 10 -- Reference note This note mentions Novalis Robotics, suppliers, customers, and the same operating period. It is orientation material and does not settle the target claim."
6,needs_human_label,claude-opus-4-7,ert_082,clean,standard_answer,,,,,0.0,1.0,0.0,,,Did Novalis Robotics complete the Q4 supplier audit before the 2025 renewal meeting?,"trace_source target=doc_005: Both secondary 'pending' items cite doc_007, indicating a single upstream source rather than independent corroboration. | compare_versions target=doc_007: doc_007 predates the audit completion date (2024-12-12), so its 'pending' claim is stale relative to the primary audit record.",0.0,1.0,0.0,0.0,supported,"doc_004, doc_008",,"doc_007, doc_005, doc_002",,,"doc_004 [primary; audit_report; 2025-01-15] Novalis Robotics record for 2025-Q1 -- Record The signed record states that the supplier audit was completed on 2024-12-12 and cleared for renewal review. The finding is based on raw operating records, dated logs, and reviewer sign-off. || doc_008 [primary; regulator_filing; 2025-01-15] Independent corroboration for 2025-Q1 -- Record The signed record states that the supplier audit was completed on 2024-12-12 and cleared for renewal review. The finding is based on raw operating records, dated logs, and reviewer sign-off. || doc_007 [contaminant; old_planning_note; 2024-11-03] Authoritative-looking summary claiming still pending in January 2025 -- Authoritative-looking summary An outdated planning note says the audit was still pending. This source repeats the wording of the question: Did Novalis Robotics complete the Q4 supplier audit before the 2025 renewal meeting? It presents the result as settled... || doc_005 [contaminant; industry_digest; 2024-11-04] Secondary coverage 1: still pending in January 2025 -- Secondary coverage This item repeats that still pending in January 2025. It cites source_ref and another summary using the same claim phrasing. The channel looks independent, but the claim text is copied from the same upstream story. || doc_002 [contaminant; supplier_whitepaper; 2024-11-05] Secondary coverage 2: still pending in January 2025 -- Secondary coverage This item repeats that still pending in January 2025. It cites source_ref and another summary using the same claim phrasing. The channel looks independent, but the claim text is copied from the same upstream story. || doc_001 [background; release_note; 2024-12-17] Reference note 8 -- Reference note This note mentions Novalis Robotics, suppliers, customers, and the same operating period. It is orientation material and does not settle the target claim. || doc_006 [background; quality_digest; 2024-12-18] Reference note 9 -- Reference note This note mentions Novalis Robotics, suppliers, customers, and the same operating period. It is orientation material and does not settle the target claim. || doc_003 [background; release_note; 2024-12-19] Reference note 10 -- Reference note This note mentions Novalis Robotics, suppliers, customers, and the same operating period. It is orientation material and does not settle the target claim."
7,needs_human_label,claude-opus-4-7,ert_083,clean,epistemic_hygiene_instruction,,,,,0.0,1.0,0.0,,,Did Novalis Robotics complete the Q4 supplier audit before the 2025 renewal meeting?,"trace_source target=doc_008: doc_008 cites doc_004, so confirm whether it is independent corroboration or pseudo-consensus repeating the same upstream record. | search_contradiction target=doc_005: Check whether the 'still pending' claim has any primary backing beyond stale planning notes copied across doc_007 and doc_001.",1.0,0.0,0.0,0.0,supported,"doc_004, doc_008",,"doc_005, doc_007, doc_001",,,"doc_004 [primary; audit_report; 2025-01-15] Novalis Robotics record for 2025-Q1 -- Record The signed record states that the supplier audit was completed on 2024-12-12 and cleared for renewal review. The finding is based on raw operating records, dated logs, and reviewer sign-off. || doc_008 [primary; regulator_filing; 2025-01-15] Independent corroboration for 2025-Q1 -- Record The signed record states that the supplier audit was completed on 2024-12-12 and cleared for renewal review. The finding is based on raw operating records, dated logs, and reviewer sign-off. || doc_005 [contaminant; old_planning_note; 2024-11-03] Authoritative-looking summary claiming still pending in January 2025 -- Authoritative-looking summary An outdated planning note says the audit was still pending. This source repeats the wording of the question: Did Novalis Robotics complete the Q4 supplier audit before the 2025 renewal meeting? It presents the result as settled... || doc_007 [contaminant; supplier_whitepaper; 2024-11-04] Secondary coverage 1: still pending in January 2025 -- Secondary coverage This item repeats that still pending in January 2025. It cites source_ref and another summary using the same claim phrasing. The channel looks independent, but the claim text is copied from the same upstream story. || doc_001 [contaminant; wiki_style_summary; 2024-11-05] Secondary coverage 2: still pending in January 2025 -- Secondary coverage This item repeats that still pending in January 2025. It cites source_ref and another summary using the same claim phrasing. The channel looks independent, but the claim text is copied from the same upstream story. || doc_003 [background; customer_note; 2024-12-17] Reference note 8 -- Reference note This note mentions Novalis Robotics, suppliers, customers, and the same operating period. It is orientation material and does not settle the target claim. || doc_006 [background; meeting_minutes; 2024-12-18] Reference note 9 -- Reference note This note mentions Novalis Robotics, suppliers, customers, and the same operating period. It is orientation material and does not settle the target claim. || doc_002 [background; customer_note; 2024-12-19] Reference note 10 -- Reference note This note mentions Novalis Robotics, suppliers, customers, and the same operating period. It is orientation material and does not settle the target claim."
8,needs_human_label,claude-opus-4-7,ert_083,clean,standard_answer,,,,,0.0,1.0,0.0,,,Did Novalis Robotics complete the Q4 supplier audit before the 2025 renewal meeting?,"trace_source target=doc_007: Secondary coverage cites doc_005, an outdated planning note; tracing confirms the 'pending' claim derives from a single stale upstream source. | compare_versions target=doc_005: Compare the November 2024 planning note against the January 2025 signed audit record to confirm the status changed before the renewal meeting.",0.0,1.0,0.0,0.0,supported,"doc_004, doc_008",,"doc_005, doc_007, doc_001",,,"doc_004 [primary; audit_report; 2025-01-15] Novalis Robotics record for 2025-Q1 -- Record The signed record states that the supplier audit was completed on 2024-12-12 and cleared for renewal review. The finding is based on raw operating records, dated logs, and reviewer sign-off. || doc_008 [primary; regulator_filing; 2025-01-15] Independent corroboration for 2025-Q1 -- Record The signed record states that the supplier audit was completed on 2024-12-12 and cleared for renewal review. The finding is based on raw operating records, dated logs, and reviewer sign-off. || doc_005 [contaminant; old_planning_note; 2024-11-03] Authoritative-looking summary claiming still pending in January 2025 -- Authoritative-looking summary An outdated planning note says the audit was still pending. This source repeats the wording of the question: Did Novalis Robotics complete the Q4 supplier audit before the 2025 renewal meeting? It presents the result as settled... || doc_007 [contaminant; supplier_whitepaper; 2024-11-04] Secondary coverage 1: still pending in January 2025 -- Secondary coverage This item repeats that still pending in January 2025. It cites source_ref and another summary using the same claim phrasing. The channel looks independent, but the claim text is copied from the same upstream story. || doc_001 [contaminant; wiki_style_summary; 2024-11-05] Secondary coverage 2: still pending in January 2025 -- Secondary coverage This item repeats that still pending in January 2025. It cites source_ref and another summary using the same claim phrasing. The channel looks independent, but the claim text is copied from the same upstream story. || doc_003 [background; customer_note; 2024-12-17] Reference note 8 -- Reference note This note mentions Novalis Robotics, suppliers, customers, and the same operating period. It is orientation material and does not settle the target claim. || doc_006 [background; meeting_minutes; 2024-12-18] Reference note 9 -- Reference note This note mentions Novalis Robotics, suppliers, customers, and the same operating period. It is orientation material and does not settle the target claim. || doc_002 [background; customer_note; 2024-12-19] Reference note 10 -- Reference note This note mentions Novalis Robotics, suppliers, customers, and the same operating period. It is orientation material and does not settle the target claim."
9,needs_human_label,deepseek-v4-pro,ert_080,clean,epistemic_hygiene_instruction,,,,,0.0,1.0,0.0,,,Did Novalis Robotics complete the Q4 supplier audit before the 2025 renewal meeting?,"search_primary target=audit record for Q4 supplier audit: Looked for primary audit document to verify completion date directly. | trace_source target=doc_007: Traced the 'still pending' claims back to the outdated planning note from November, revealing staleness.",1.0,0.0,0.0,0.0,supported,"doc_002, doc_006",,"doc_007, doc_003, doc_001",,,"doc_002 [primary; audit_report; 2025-01-15] Novalis Robotics record for 2025-Q1 -- Record The signed record states that the supplier audit was completed on 2024-12-12 and cleared for renewal review. The finding is based on raw operating records, dated logs, and reviewer sign-off. || doc_006 [primary; regulator_filing; 2025-01-15] Independent corroboration for 2025-Q1 -- Record The signed record states that the supplier audit was completed on 2024-12-12 and cleared for renewal review. The finding is based on raw operating records, dated logs, and reviewer sign-off. || doc_007 [contaminant; old_planning_note; 2024-11-03] Authoritative-looking summary claiming still pending in January 2025 -- Authoritative-looking summary An outdated planning note says the audit was still pending. This source repeats the wording of the question: Did Novalis Robotics complete the Q4 supplier audit before the 2025 renewal meeting? It presents the result as settled... || doc_003 [contaminant; press_release; 2024-11-04] Secondary coverage 1: still pending in January 2025 -- Secondary coverage This item repeats that still pending in January 2025. It cites source_ref and another summary using the same claim phrasing. The channel looks independent, but the claim text is copied from the same upstream story. || doc_001 [contaminant; executive_memo; 2024-11-05] Secondary coverage 2: still pending in January 2025 -- Secondary coverage This item repeats that still pending in January 2025. It cites source_ref and another summary using the same claim phrasing. The channel looks independent, but the claim text is copied from the same upstream story. || doc_008 [background; meeting_minutes; 2024-12-17] Reference note 8 -- Reference note This note mentions Novalis Robotics, suppliers, customers, and the same operating period. It is orientation material and does not settle the target claim. || doc_005 [background; customer_note; 2024-12-18] Reference note 9 -- Reference note This note mentions Novalis Robotics, suppliers, customers, and the same operating period. It is orientation material and does not settle the target claim. || doc_004 [background; quality_digest; 2024-12-19] Reference note 10 -- Reference note This note mentions Novalis Robotics, suppliers, customers, and the same operating period. It is orientation material and does not settle the target claim."
10,needs_human_label,deepseek-v4-pro,ert_080,clean,standard_answer,,,,,0.0,1.0,0.0,,,Did Novalis Robotics complete the Q4 supplier audit before the 2025 renewal meeting?,"trace_source target=doc_007: Document claims audit still pending but is from November 2024, before the reported completion date. Tracing its source reveals it's an outdated planning note, not reflecting the December 12 completion. | search_primary target=Novalis Robotics 2024-Q4 supplier audit report: The official audit report (doc_002) and regulator filing (doc_006) consistently show completion on 2024-12-12. Searching for the primary raw records would further confirm the date and sign-offs.",1.0,0.0,0.0,0.0,supported,"doc_002, doc_006",,"doc_007, doc_003, doc_001",,,"doc_002 [primary; audit_report; 2025-01-15] Novalis Robotics record for 2025-Q1 -- Record The signed record states that the supplier audit was completed on 2024-12-12 and cleared for renewal review. The finding is based on raw operating records, dated logs, and reviewer sign-off. || doc_006 [primary; regulator_filing; 2025-01-15] Independent corroboration for 2025-Q1 -- Record The signed record states that the supplier audit was completed on 2024-12-12 and cleared for renewal review. The finding is based on raw operating records, dated logs, and reviewer sign-off. || doc_007 [contaminant; old_planning_note; 2024-11-03] Authoritative-looking summary claiming still pending in January 2025 -- Authoritative-looking summary An outdated planning note says the audit was still pending. This source repeats the wording of the question: Did Novalis Robotics complete the Q4 supplier audit before the 2025 renewal meeting? It presents the result as settled... || doc_003 [contaminant; press_release; 2024-11-04] Secondary coverage 1: still pending in January 2025 -- Secondary coverage This item repeats that still pending in January 2025. It cites source_ref and another summary using the same claim phrasing. The channel looks independent, but the claim text is copied from the same upstream story. || doc_001 [contaminant; executive_memo; 2024-11-05] Secondary coverage 2: still pending in January 2025 -- Secondary coverage This item repeats that still pending in January 2025. It cites source_ref and another summary using the same claim phrasing. The channel looks independent, but the claim text is copied from the same upstream story. || doc_008 [background; meeting_minutes; 2024-12-17] Reference note 8 -- Reference note This note mentions Novalis Robotics, suppliers, customers, and the same operating period. It is orientation material and does not settle the target claim. || doc_005 [background; customer_note; 2024-12-18] Reference note 9 -- Reference note This note mentions Novalis Robotics, suppliers, customers, and the same operating period. It is orientation material and does not settle the target claim. || doc_004 [background; quality_digest; 2024-12-19] Reference note 10 -- Reference note This note mentions Novalis Robotics, suppliers, customers, and the same operating period. It is orientation material and does not settle the target claim."
