model,retriever,strategy,duplicate_count,primary_visibility_under_bm25_top8,n,wrong_answer_rate,mean_wrong_confidence,polluted_mistake_rate,mean_pollutant_saturation_at_k
openai/gpt-4o-mini,bm25_top12,evidence_graph_v2,1,True,2,0.0,0.0,0.0,0.16666666666666666
openai/gpt-4o-mini,bm25_top12,evidence_graph_v2,5,True,2,0.0,0.0,0.0,0.5
openai/gpt-4o-mini,bm25_top12,evidence_graph_v2,20,False,1,0.0,0.0,0.0,0.75
openai/gpt-4o-mini,bm25_top12,evidence_graph_v2,20,True,1,0.0,0.0,0.0,0.75
openai/gpt-4o-mini,bm25_top12,evidence_graph_v2,50,False,1,1.0,0.6,1.0,1.0
openai/gpt-4o-mini,bm25_top12,evidence_graph_v2,50,True,1,0.0,0.0,0.0,0.8333333333333334
openai/gpt-4o-mini,bm25_top8,evidence_graph_v2,1,True,2,0.0,0.0,0.0,0.25
openai/gpt-4o-mini,bm25_top8,evidence_graph_v2,5,True,2,0.0,0.0,0.0,0.75
openai/gpt-4o-mini,bm25_top8,evidence_graph_v2,20,False,1,1.0,0.5,1.0,1.0
openai/gpt-4o-mini,bm25_top8,evidence_graph_v2,20,True,1,0.0,0.0,0.0,0.75
openai/gpt-4o-mini,bm25_top8,evidence_graph_v2,50,False,1,1.0,0.7,1.0,1.0
openai/gpt-4o-mini,bm25_top8,evidence_graph_v2,50,True,1,0.0,0.0,0.0,0.75
openai/gpt-4o-mini,bm25_top8,forced_primary_append,1,True,2,0.0,0.0,0.0,0.25
openai/gpt-4o-mini,bm25_top8,forced_primary_append,5,True,2,0.0,0.0,0.0,0.75
openai/gpt-4o-mini,bm25_top8,forced_primary_append,20,False,1,0.0,0.0,0.0,1.0
openai/gpt-4o-mini,bm25_top8,forced_primary_append,20,True,1,0.0,0.0,0.0,0.75
openai/gpt-4o-mini,bm25_top8,forced_primary_append,50,False,1,0.0,0.0,0.0,1.0
openai/gpt-4o-mini,bm25_top8,forced_primary_append,50,True,1,0.0,0.0,0.0,0.75
openai/gpt-4o-mini,bm25_top8,tool_agent_2call,1,True,2,0.0,0.0,0.0,0.25
openai/gpt-4o-mini,bm25_top8,tool_agent_2call,5,True,2,0.0,0.0,0.0,0.75
openai/gpt-4o-mini,bm25_top8,tool_agent_2call,20,False,1,0.0,0.0,0.0,1.0
openai/gpt-4o-mini,bm25_top8,tool_agent_2call,20,True,1,0.0,0.0,0.0,0.75
openai/gpt-4o-mini,bm25_top8,tool_agent_2call,50,False,1,0.0,0.0,0.0,1.0
openai/gpt-4o-mini,bm25_top8,tool_agent_2call,50,True,1,0.0,0.0,0.0,0.75
openai/gpt-4o-mini,heuristic_root_dedup_top8,evidence_graph_v2,1,True,2,0.0,0.0,0.0,0.25
openai/gpt-4o-mini,heuristic_root_dedup_top8,evidence_graph_v2,5,True,2,0.0,0.0,0.0,0.625
openai/gpt-4o-mini,heuristic_root_dedup_top8,evidence_graph_v2,20,False,1,0.0,0.0,0.0,0.625
openai/gpt-4o-mini,heuristic_root_dedup_top8,evidence_graph_v2,20,True,1,0.0,0.0,0.0,0.625
openai/gpt-4o-mini,heuristic_root_dedup_top8,evidence_graph_v2,50,False,1,0.0,0.0,0.0,0.625
openai/gpt-4o-mini,heuristic_root_dedup_top8,evidence_graph_v2,50,True,1,0.0,0.0,0.0,0.625
openai/gpt-4o-mini,oracle_root_dedup_top8,evidence_graph_v2,1,True,2,0.0,0.0,0.0,0.125
openai/gpt-4o-mini,oracle_root_dedup_top8,evidence_graph_v2,5,True,2,0.0,0.0,0.0,0.125
openai/gpt-4o-mini,oracle_root_dedup_top8,evidence_graph_v2,20,False,1,0.0,0.0,0.0,0.125
openai/gpt-4o-mini,oracle_root_dedup_top8,evidence_graph_v2,20,True,1,0.0,0.0,0.0,0.125
openai/gpt-4o-mini,oracle_root_dedup_top8,evidence_graph_v2,50,False,1,0.0,0.0,0.0,0.125
openai/gpt-4o-mini,oracle_root_dedup_top8,evidence_graph_v2,50,True,1,0.0,0.0,0.0,0.125
openai/gpt-4o-mini,primary_preserve_top8,evidence_graph_v2,1,True,2,0.0,0.0,0.0,0.25
openai/gpt-4o-mini,primary_preserve_top8,evidence_graph_v2,5,True,2,0.0,0.0,0.0,0.75
openai/gpt-4o-mini,primary_preserve_top8,evidence_graph_v2,20,False,1,0.0,0.0,0.0,0.75
openai/gpt-4o-mini,primary_preserve_top8,evidence_graph_v2,20,True,1,0.0,0.0,0.0,0.75
openai/gpt-4o-mini,primary_preserve_top8,evidence_graph_v2,50,False,1,0.0,0.0,0.0,0.75
openai/gpt-4o-mini,primary_preserve_top8,evidence_graph_v2,50,True,1,0.0,0.0,0.0,0.75
