task_id,family,condition,difficulty,model,provider,budget_setting,prompt_condition,backend,parse_success,empty_output,schema_missing,attempt_count,visible_output_tokens,answer_word_count,evidence_assessment_word_count,max_action_rationale_word_count,supporting_evidence_count,rejected_evidence_count,overlength_rate,belief_correctness,evidence_cleanliness,uncertainty_discipline,support_empty_rate,evidence_precision,clean_support_recall,rejected_pollutant_rate,dual_role_rate,required_action_recall,primary_seeking_rate,duplicate_avoidance_rate,generated_lore_avoidance_rate,contradiction_seeking_rate,evidence_value_score,primary_action_rate,contradiction_action_rate,generated_lore_trace_rate,epistemic_escape,operational_epistemic_escape,conditional_epistemic_escape,confidence,cost_usd,gold_verdict,predicted_verdict,supporting_evidence,selected_doc_ids,actions,verification_action_score
ert_000,packet_judgment,clean,L0,metadata_only_baseline,baseline,opaque_no_api,standard_answer,baseline,1.0,0.0,0.0,1,0,,,,,,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,,1.0,1.0,1.0,0.0,0.6666666666666666,0.0,0.0,0.0,1.0,1.0,1.0,0.55,0.0,supported,supported,"doc_006,doc_001","doc_006,doc_001",[],0.0
ert_000,packet_judgment,clean,L0,metadata_only_baseline,baseline,opaque_no_api,epistemic_hygiene_instruction,baseline,1.0,0.0,0.0,1,0,,,,,,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,,1.0,1.0,1.0,0.0,0.6666666666666666,0.0,0.0,0.0,1.0,1.0,1.0,0.55,0.0,supported,supported,"doc_006,doc_001","doc_006,doc_001",[],0.0
ert_001,packet_judgment,clean,L0,metadata_only_baseline,baseline,opaque_no_api,standard_answer,baseline,1.0,0.0,0.0,1,0,,,,,,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,,1.0,1.0,1.0,0.0,0.6666666666666666,0.0,0.0,0.0,1.0,1.0,1.0,0.55,0.0,supported,supported,"doc_009,doc_010","doc_009,doc_010",[],0.0
ert_001,packet_judgment,clean,L0,metadata_only_baseline,baseline,opaque_no_api,epistemic_hygiene_instruction,baseline,1.0,0.0,0.0,1,0,,,,,,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,,1.0,1.0,1.0,0.0,0.6666666666666666,0.0,0.0,0.0,1.0,1.0,1.0,0.55,0.0,supported,supported,"doc_009,doc_010","doc_009,doc_010",[],0.0
ert_002,packet_judgment,clean,L0,metadata_only_baseline,baseline,opaque_no_api,standard_answer,baseline,1.0,0.0,0.0,1,0,,,,,,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,,1.0,1.0,1.0,0.0,0.6666666666666666,0.0,0.0,0.0,1.0,1.0,1.0,0.55,0.0,supported,supported,"doc_006,doc_007","doc_006,doc_007",[],0.0
ert_002,packet_judgment,clean,L0,metadata_only_baseline,baseline,opaque_no_api,epistemic_hygiene_instruction,baseline,1.0,0.0,0.0,1,0,,,,,,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,,1.0,1.0,1.0,0.0,0.6666666666666666,0.0,0.0,0.0,1.0,1.0,1.0,0.55,0.0,supported,supported,"doc_006,doc_007","doc_006,doc_007",[],0.0
ert_003,packet_judgment,clean,L0,metadata_only_baseline,baseline,opaque_no_api,standard_answer,baseline,1.0,0.0,0.0,1,0,,,,,,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,,1.0,1.0,1.0,0.0,0.6666666666666666,0.0,0.0,0.0,1.0,1.0,1.0,0.55,0.0,supported,supported,"doc_003,doc_005","doc_003,doc_005",[],0.0
ert_003,packet_judgment,clean,L0,metadata_only_baseline,baseline,opaque_no_api,epistemic_hygiene_instruction,baseline,1.0,0.0,0.0,1,0,,,,,,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,,1.0,1.0,1.0,0.0,0.6666666666666666,0.0,0.0,0.0,1.0,1.0,1.0,0.55,0.0,supported,supported,"doc_003,doc_005","doc_003,doc_005",[],0.0
ert_004,packet_judgment,clean,L0,metadata_only_baseline,baseline,opaque_no_api,standard_answer,baseline,1.0,0.0,0.0,1,0,,,,,,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,,1.0,1.0,1.0,0.0,0.6666666666666666,0.0,0.0,0.0,1.0,1.0,1.0,0.55,0.0,supported,supported,"doc_008,doc_006","doc_008,doc_006",[],0.0
ert_004,packet_judgment,clean,L0,metadata_only_baseline,baseline,opaque_no_api,epistemic_hygiene_instruction,baseline,1.0,0.0,0.0,1,0,,,,,,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,,1.0,1.0,1.0,0.0,0.6666666666666666,0.0,0.0,0.0,1.0,1.0,1.0,0.55,0.0,supported,supported,"doc_008,doc_006","doc_008,doc_006",[],0.0
