task_id,module,dataset,episode_type,model,strategy,prompt,confidence,gold_critical_risks,predicted_critical_risks,supporting_evidence
eha2s_a_020,A,EHA-v2S-scope-diagnostic,stale_evidence,gpt-4o-mini,evidence_graph_v3,evidence_graph_v3,0.9,stale_evidence,partial_support,eha2s_a_020_current_primary
eha2s_a_020,A,EHA-v2S-scope-diagnostic,stale_evidence,gpt-4o-mini,evidence_diagnostics_v2,evidence_diagnostics_v2,1.0,stale_evidence,,eha2s_a_020_current_primary
eha2s_a_021,A,EHA-v2S-scope-diagnostic,stale_evidence,gpt-4o-mini,evidence_graph_v3,evidence_graph_v3,0.9,stale_evidence,,eha2s_a_021_current_primary
eha2s_a_021,A,EHA-v2S-scope-diagnostic,stale_evidence,gpt-4o-mini,evidence_diagnostics_v2,evidence_diagnostics_v2,1.0,stale_evidence,,eha2s_a_021_current_primary
eha2s_a_022,A,EHA-v2S-scope-diagnostic,stale_evidence,gpt-4o-mini,evidence_graph_v3,evidence_graph_v3,0.9,stale_evidence,,eha2s_a_022_current_primary
eha2s_a_023,A,EHA-v2S-scope-diagnostic,stale_evidence,gpt-4o-mini,evidence_graph_v3,evidence_graph_v3,0.9,stale_evidence,,eha2s_a_023_current_primary
eha2s_a_023,A,EHA-v2S-scope-diagnostic,stale_evidence,gpt-4o-mini,evidence_diagnostics_v2,evidence_diagnostics_v2,1.0,stale_evidence,,eha2s_a_023_current_primary
eha2s_a_024,A,EHA-v2S-scope-diagnostic,stale_evidence,gpt-4o-mini,evidence_graph_v3,evidence_graph_v3,0.9,stale_evidence,,eha2s_a_024_current_primary
eha2s_a_024,A,EHA-v2S-scope-diagnostic,stale_evidence,gpt-4o-mini,evidence_diagnostics_v2,evidence_diagnostics_v2,1.0,stale_evidence,,eha2s_a_024_current_primary
eha2s_a_025,A,EHA-v2S-scope-diagnostic,stale_evidence,gpt-4o-mini,evidence_graph_v3,evidence_graph_v3,0.9,stale_evidence,,eha2s_a_025_current_primary
eha2s_a_025,A,EHA-v2S-scope-diagnostic,stale_evidence,gpt-4o-mini,evidence_diagnostics_v2,evidence_diagnostics_v2,1.0,stale_evidence,,eha2s_a_025_current_primary
eha2s_a_026,A,EHA-v2S-scope-diagnostic,stale_evidence,gpt-4o-mini,evidence_graph_v3,evidence_graph_v3,0.9,stale_evidence,,eha2s_a_026_current_primary
eha2s_a_026,A,EHA-v2S-scope-diagnostic,stale_evidence,gpt-4o-mini,evidence_diagnostics_v1,evidence_diagnostics_v1,0.95,stale_evidence,,eha2s_a_026_current_primary
eha2s_a_026,A,EHA-v2S-scope-diagnostic,stale_evidence,gpt-4o-mini,evidence_diagnostics_v2,evidence_diagnostics_v2,1.0,stale_evidence,,eha2s_a_026_current_primary
eha2s_a_027,A,EHA-v2S-scope-diagnostic,stale_evidence,gpt-4o-mini,evidence_diagnostics_v2,evidence_diagnostics_v2,1.0,stale_evidence,,eha2s_a_027_current_primary
eha2s_a_028,A,EHA-v2S-scope-diagnostic,stale_evidence,gpt-4o-mini,evidence_graph_v3,evidence_graph_v3,0.95,stale_evidence,,"eha2s_a_028_current_primary,eha2s_a_028_context_2,eha2s_a_028_context_3,eha2s_a_028_context_4,eha2s_a_028_context_5,eha2s_a_028_context_6"
eha2s_a_028,A,EHA-v2S-scope-diagnostic,stale_evidence,gpt-4o-mini,evidence_diagnostics_v2,evidence_diagnostics_v2,1.0,stale_evidence,,eha2s_a_028_current_primary
eha2s_a_029,A,EHA-v2S-scope-diagnostic,stale_evidence,gpt-4o-mini,evidence_graph_v3,evidence_graph_v3,0.9,stale_evidence,,eha2s_a_029_current_primary
eha2s_a_029,A,EHA-v2S-scope-diagnostic,stale_evidence,gpt-4o-mini,evidence_diagnostics_v2,evidence_diagnostics_v2,0.95,stale_evidence,,eha2s_a_029_current_primary
eha2s_a_030,A,EHA-v2S-scope-diagnostic,stale_evidence,gpt-4o-mini,evidence_graph_v3,evidence_graph_v3,0.9,stale_evidence,,eha2s_a_030_current_primary
eha2s_a_030,A,EHA-v2S-scope-diagnostic,stale_evidence,gpt-4o-mini,evidence_diagnostics_v2,evidence_diagnostics_v2,1.0,stale_evidence,,eha2s_a_030_current_primary
eha2s_a_031,A,EHA-v2S-scope-diagnostic,stale_evidence,gpt-4o-mini,evidence_graph_v3,evidence_graph_v3,1.0,stale_evidence,,eha2s_a_031_current_primary
eha2s_a_031,A,EHA-v2S-scope-diagnostic,stale_evidence,gpt-4o-mini,evidence_diagnostics_v2,evidence_diagnostics_v2,0.9,stale_evidence,,eha2s_a_031_current_primary
eha2s_a_032,A,EHA-v2S-scope-diagnostic,stale_evidence,gpt-4o-mini,evidence_graph_v3,evidence_graph_v3,0.85,stale_evidence,,eha2s_a_032_current_primary
eha2s_a_032,A,EHA-v2S-scope-diagnostic,stale_evidence,gpt-4o-mini,evidence_diagnostics_v2,evidence_diagnostics_v2,1.0,stale_evidence,,eha2s_a_032_current_primary
