task_id,family,condition,model,prompt_condition,parse_success,empty_output,schema_missing,parse_error,response_format_used,json_extractor_used,cost_usd
ert_000,packet_judgment,clean,claude-opus-4-7,epistemic_hygiene_instruction,1.0,0.0,0.0,,json_schema,first_json_object,0.0
ert_001,packet_judgment,clean,claude-opus-4-7,epistemic_hygiene_instruction,1.0,0.0,0.0,,json_schema,first_json_object,0.0
ert_008,packet_judgment,conflicting_evidence,claude-opus-4-7,epistemic_hygiene_instruction,1.0,0.0,0.0,,json_schema,first_json_object,0.0
ert_016,packet_judgment,false_consensus,claude-opus-4-7,epistemic_hygiene_instruction,1.0,0.0,0.0,,json_schema,first_json_object,0.0
ert_017,packet_judgment,false_consensus,claude-opus-4-7,epistemic_hygiene_instruction,1.0,0.0,0.0,,json_schema,first_json_object,0.0
ert_024,packet_judgment,buried_primary,claude-opus-4-7,epistemic_hygiene_instruction,1.0,0.0,0.0,,json_schema,first_json_object,0.0
ert_032,packet_judgment,generated_lore,claude-opus-4-7,epistemic_hygiene_instruction,1.0,0.0,0.0,,json_schema,first_json_object,0.0
ert_033,packet_judgment,generated_lore,claude-opus-4-7,epistemic_hygiene_instruction,1.0,0.0,0.0,,json_schema,first_json_object,0.0
ert_040,evidence_selection,clean,claude-opus-4-7,epistemic_hygiene_instruction,1.0,0.0,0.0,,json_schema,first_json_object,0.0
ert_048,evidence_selection,conflicting_evidence,claude-opus-4-7,epistemic_hygiene_instruction,1.0,0.0,0.0,,json_schema,first_json_object,0.0
ert_049,evidence_selection,conflicting_evidence,claude-opus-4-7,epistemic_hygiene_instruction,1.0,0.0,0.0,,json_schema,first_json_object,0.0
ert_056,evidence_selection,false_consensus,claude-opus-4-7,epistemic_hygiene_instruction,1.0,0.0,0.0,,json_schema,first_json_object,0.0
ert_057,evidence_selection,false_consensus,claude-opus-4-7,epistemic_hygiene_instruction,1.0,0.0,0.0,,json_schema,first_json_object,0.0
ert_064,evidence_selection,buried_primary,claude-opus-4-7,epistemic_hygiene_instruction,1.0,0.0,0.0,,json_schema,first_json_object,0.0
ert_065,evidence_selection,buried_primary,claude-opus-4-7,epistemic_hygiene_instruction,1.0,0.0,0.0,,json_schema,first_json_object,0.0
ert_072,evidence_selection,generated_lore,claude-opus-4-7,epistemic_hygiene_instruction,1.0,0.0,0.0,,json_schema,first_json_object,0.0
ert_080,active_verification,clean,claude-opus-4-7,epistemic_hygiene_instruction,1.0,0.0,0.0,,json_schema,first_json_object,0.0
ert_084,active_verification,conflicting_evidence,claude-opus-4-7,epistemic_hygiene_instruction,1.0,0.0,0.0,,json_schema,first_json_object,0.0
ert_092,active_verification,buried_primary,claude-opus-4-7,epistemic_hygiene_instruction,1.0,0.0,0.0,,json_schema,first_json_object,0.0
ert_096,active_verification,generated_lore,claude-opus-4-7,epistemic_hygiene_instruction,1.0,0.0,0.0,,json_schema,first_json_object,0.0
