model_or_baseline,prompt_condition,slice,n,epistemic_escape,evidence_cleanliness,primary_seeking_rate,duplicate_avoidance_rate,generated_lore_avoidance_rate,evidence_value_score,active_primary_action_rate,parse_success,uses_gold_metadata,is_model_comparable,interpretation
openai/gpt-4o-mini,epistemic_hygiene_instruction,all,100,0.79,0.96,0.76,0.72,0.8,0.41850000000000004,0.65,1.0,0,1,Model run scored from visible prompt output.
openai/gpt-4o-mini,epistemic_hygiene_instruction,evidence_selection,40,0.8,0.95,0.8,0.8,0.8,0.45041666666666663,0.525,1.0,0,1,Model run scored from visible prompt output.
openai/gpt-4o-mini,epistemic_hygiene_instruction,generated_lore,20,0.4,0.9,0.0,0.0,0.0,0.0,0.55,1.0,0,1,Model run scored from visible prompt output.
openai/gpt-4o-mini,epistemic_hygiene_instruction,buried_primary,20,0.8,0.95,0.8,0.8,1.0,0.44749999999999995,0.55,1.0,0,1,Model run scored from visible prompt output.
openai/gpt-4o-mini,epistemic_hygiene_instruction,false_consensus,20,0.95,1.0,1.0,0.8,1.0,0.44749999999999995,0.75,1.0,0,1,Model run scored from visible prompt output.
openai/gpt-4o-mini,epistemic_hygiene_instruction,active_verification,20,0.5,0.95,0.6,0.4,0.8,0.24500000000000002,0.7,1.0,0,1,Model run scored from visible prompt output.
openai/gpt-4o-mini,standard_answer,all,100,0.82,0.94,0.76,0.71,0.8,0.38049999999999995,0.68,1.0,0,1,Model run scored from visible prompt output.
openai/gpt-4o-mini,standard_answer,evidence_selection,40,0.8,0.975,0.8,0.8,0.8,0.42125,0.5,1.0,0,1,Model run scored from visible prompt output.
openai/gpt-4o-mini,standard_answer,generated_lore,20,0.4,0.9,0.0,0.0,0.0,0.0,0.45,1.0,0,1,Model run scored from visible prompt output.
openai/gpt-4o-mini,standard_answer,buried_primary,20,0.75,0.85,0.8,0.75,1.0,0.375,0.65,1.0,0,1,Model run scored from visible prompt output.
openai/gpt-4o-mini,standard_answer,false_consensus,20,1.0,0.95,1.0,0.8,1.0,0.4141666666666667,0.85,1.0,0,1,Model run scored from visible prompt output.
