variant,model,n,parse_success,belief_correctness,operational_epistemic_escape,conditional_epistemic_escape,evidence_precision,polluted_support_rate,rejected_pollutant_rate,clean_support_recall,verification_action_score,exact_target_rate,required_action_recall,cost_usd
baseline_original,gemini-3.1-pro-preview,20,1.0,0.9,0.25,0.25,0.675,0.3,0.8,1.0,0.75,1.0,0.75,0.0029265375
baseline_original,gpt-5.5,20,1.0,0.95,0.25,0.25,0.75,0.25,0.8,1.0,0.375,1.0,0.375,0.02239225
citation_masked,gemini-3.1-pro-preview,20,1.0,0.7,0.2,0.2,0.587719298245614,0.45,0.6,0.9333333333333333,0.75,1.0,0.75,0.0031015749999999996
citation_masked,gpt-5.5,20,1.0,1.0,0.45,0.45,0.75,0.25,0.8,1.0,0.75,1.0,0.75,0.023762250000000002
order_randomized,gemini-3.1-pro-preview,20,1.0,1.0,0.35,0.35,0.7631578947368421,0.15,0.95,1.0,0.375,1.0,0.375,0.0033889124999999997
order_randomized,gpt-5.5,20,1.0,1.0,0.4,0.4,0.725,0.25,0.95,1.0,0.625,1.0,0.625,0.02422525
prompt_paraphrase,gemini-3.1-pro-preview,20,1.0,0.9,0.25,0.25,0.725,0.25,0.85,1.0,0.625,1.0,0.625,0.0038639875
prompt_paraphrase,gpt-5.5,20,1.0,1.0,0.45,0.45,0.75,0.25,1.0,1.0,0.75,1.0,0.75,0.02213475
source_type_masked,gemini-3.1-pro-preview,20,1.0,0.95,0.35,0.35,0.7631578947368421,0.25,0.95,1.0,0.625,1.0,0.625,0.002752075
source_type_masked,gpt-5.5,20,1.0,1.0,0.35,0.35,0.75,0.25,0.85,1.0,0.5,1.0,0.5,0.022190750000000002
