audit_row,review_mode,task_id,model,schema_variant,condition,family,semantic_verdict_agrees,support_hygiene_agrees,action_quality_agrees,scorer_fix_needed,note
1,local_codex_assisted_manual_schema_ablation_audit,uncued_048_visible,gpt-5.5,current,generated_lore,packet_judgment,1,1,not_applicable,0,No local scorer disagreement found.
2,local_codex_assisted_manual_schema_ablation_audit,uncued_048_visible,gemini-3.1-pro-preview,current,generated_lore,packet_judgment,1,1,not_applicable,0,No local scorer disagreement found.
3,local_codex_assisted_manual_schema_ablation_audit,uncued_037_visible,gpt-5.5,current,buried_primary,packet_judgment,1,1,not_applicable,0,No local scorer disagreement found.
4,local_codex_assisted_manual_schema_ablation_audit,uncued_037_visible,gemini-3.1-pro-preview,current,buried_primary,packet_judgment,1,1,not_applicable,0,No local scorer disagreement found.
5,local_codex_assisted_manual_schema_ablation_audit,uncued_048_visible,gpt-5.5,clarified,generated_lore,packet_judgment,1,1,not_applicable,0,No local scorer disagreement found.
6,local_codex_assisted_manual_schema_ablation_audit,uncued_048_visible,gemini-3.1-pro-preview,clarified,generated_lore,packet_judgment,1,1,not_applicable,0,No local scorer disagreement found.
7,local_codex_assisted_manual_schema_ablation_audit,uncued_037_visible,gpt-5.5,clarified,buried_primary,packet_judgment,1,1,not_applicable,0,No local scorer disagreement found.
8,local_codex_assisted_manual_schema_ablation_audit,uncued_037_visible,gemini-3.1-pro-preview,clarified,buried_primary,packet_judgment,1,1,not_applicable,0,No local scorer disagreement found.
9,local_codex_assisted_manual_schema_ablation_audit,uncued_048_visible,gpt-5.5,minimal,generated_lore,packet_judgment,1,1,not_applicable,0,No local scorer disagreement found.
10,local_codex_assisted_manual_schema_ablation_audit,uncued_048_visible,gemini-3.1-pro-preview,minimal,generated_lore,packet_judgment,1,1,not_applicable,0,No local scorer disagreement found.
11,local_codex_assisted_manual_schema_ablation_audit,uncued_037_visible,gpt-5.5,minimal,buried_primary,packet_judgment,1,1,not_applicable,0,No local scorer disagreement found.
12,local_codex_assisted_manual_schema_ablation_audit,uncued_037_visible,gemini-3.1-pro-preview,minimal,buried_primary,packet_judgment,1,1,not_applicable,0,No local scorer disagreement found.
13,local_codex_assisted_manual_schema_ablation_audit,uncued_048_visible,gpt-5.5,diagnostic_no_hygiene,generated_lore,packet_judgment,1,1,not_applicable,0,No local scorer disagreement found.
14,local_codex_assisted_manual_schema_ablation_audit,uncued_048_visible,gemini-3.1-pro-preview,diagnostic_no_hygiene,generated_lore,packet_judgment,1,1,not_applicable,0,No local scorer disagreement found.
15,local_codex_assisted_manual_schema_ablation_audit,uncued_037_visible,gpt-5.5,diagnostic_no_hygiene,buried_primary,packet_judgment,1,1,not_applicable,0,No local scorer disagreement found.
16,local_codex_assisted_manual_schema_ablation_audit,uncued_037_visible,gemini-3.1-pro-preview,diagnostic_no_hygiene,buried_primary,packet_judgment,1,1,not_applicable,0,No local scorer disagreement found.
