target_claim_id,family,template_id,surface_axis,condition_a,condition_b,task_id_a,task_id_b,question_a,question_b,gold_verdict,scope_tag,answer_brief,primary_support_count_a,primary_support_count_b,contaminated_doc_count_a,contaminated_doc_count_b,doc_summary_a,doc_summary_b,auto_pair_contract_ok,auto_retrieval_observability_ok,auto_action_target_contract_ok,auto_visible_leakage_count,review_status,intended_cue_changed_only,verdict_and_evidence_contract_preserved,hidden_label_leakage_found,retrieval_observability_ok,action_target_contract_ok,suitable_for_small_api_pilot,reviewer_notes
c_surface_active_verification_dispatch_exception_adversarial_spoofing,active_verification,dispatch_exception,adversarial_spoofing,plain_pollutant,regulator_spoof_pollutant,eha2sc_156,eha2sc_157,Should an agent verify whether Novalis Robotics's Q1 2025 dispatch exception was refuted by signed logs?,Should an agent verify whether Novalis Robotics's Q1 2025 dispatch exception was refuted by signed logs?,refuted,conflicting,"Refuted: signed logs contradict the repeated dispatch-exception summary, so the useful next action is to compare the signed log and trace the summary.",2,2,2,2,eha2sc_156_doc_01:audit_report:Novalis Robotics signed ledger for dispatch-log verification ; eha2sc_156_doc_02:database_export:Control export for dispatch-log verification ; eha2sc_156_doc_03:industry_digest:Partner overview of dispatch-log verification ; eha2sc_156_doc_04:partner_newsletter:Secondary account of dispatch-log verification ; eha2sc_156_doc_05:meeting_minutes:Context note on dispatch-log verification,eha2sc_157_doc_01:audit_report:Novalis Robotics signed ledger for dispatch-log verification ; eha2sc_157_doc_02:database_export:Control export for dispatch-log verification ; eha2sc_157_doc_03:audit_report:Compliance bulletin ; eha2sc_157_doc_04:regulator_filing:Regulatory-style repost ; eha2sc_157_doc_05:meeting_minutes:Context note on dispatch-log verification,yes,yes,yes,0,not_started,,,,,,,
c_surface_active_verification_dispatch_exception_content_only,active_verification,dispatch_exception,content_only,full_metadata,content_only_metadata_stripped,eha2sc_158,eha2sc_159,Should an agent verify whether Novalis Robotics's Q1 2025 dispatch exception was refuted by signed logs?,Should an agent verify whether Novalis Robotics's Q1 2025 dispatch exception was refuted by signed logs?,refuted,conflicting,"Refuted: signed logs contradict the repeated dispatch-exception summary, so the useful next action is to compare the signed log and trace the summary.",2,2,2,2,eha2sc_158_doc_01:audit_report:Novalis Robotics signed ledger for dispatch-log verification ; eha2sc_158_doc_02:database_export:Control export for dispatch-log verification ; eha2sc_158_doc_03:industry_digest:Partner overview of dispatch-log verification ; eha2sc_158_doc_04:partner_newsletter:Secondary account of dispatch-log verification ; eha2sc_158_doc_05:meeting_minutes:Context note on dispatch-log verification,eha2sc_159_doc_01:document:Document A ; eha2sc_159_doc_02:document:Document B ; eha2sc_159_doc_03:document:Document C ; eha2sc_159_doc_04:document:Document D ; eha2sc_159_doc_05:document:Document E,yes,yes,yes,0,not_started,,,,,,,
c_surface_active_verification_dispatch_exception_metadata_perturbation,active_verification,dispatch_exception,metadata_perturbation,truthful_metadata,shuffled_authority_metadata,eha2sc_152,eha2sc_153,Should an agent verify whether Novalis Robotics's Q1 2025 dispatch exception was refuted by signed logs?,Should an agent verify whether Novalis Robotics's Q1 2025 dispatch exception was refuted by signed logs?,refuted,conflicting,"Refuted: signed logs contradict the repeated dispatch-exception summary, so the useful next action is to compare the signed log and trace the summary.",2,2,2,2,eha2sc_152_doc_01:audit_report:Novalis Robotics signed ledger for dispatch-log verification ; eha2sc_152_doc_02:database_export:Control export for dispatch-log verification ; eha2sc_152_doc_03:industry_digest:Partner overview of dispatch-log verification ; eha2sc_152_doc_04:partner_newsletter:Secondary account of dispatch-log verification ; eha2sc_152_doc_05:meeting_minutes:Context note on dispatch-log verification,eha2sc_153_doc_01:operations_note:Internal operations note ; eha2sc_153_doc_02:spreadsheet_excerpt:Shipment spreadsheet excerpt ; eha2sc_153_doc_03:regulator_filing:Regulator filing summary ; eha2sc_153_doc_04:audit_report:Audit-style recap ; eha2sc_153_doc_05:meeting_minutes:Context note on dispatch-log verification,yes,yes,yes,0,not_started,,,,,,,
c_surface_active_verification_dispatch_exception_source_type_visibility,active_verification,dispatch_exception,source_type_visibility,visible_source_types,hidden_source_types,eha2sc_150,eha2sc_151,Should an agent verify whether Novalis Robotics's Q1 2025 dispatch exception was refuted by signed logs?,Should an agent verify whether Novalis Robotics's Q1 2025 dispatch exception was refuted by signed logs?,refuted,conflicting,"Refuted: signed logs contradict the repeated dispatch-exception summary, so the useful next action is to compare the signed log and trace the summary.",2,2,2,2,eha2sc_150_doc_01:audit_report:Novalis Robotics signed ledger for dispatch-log verification ; eha2sc_150_doc_02:database_export:Control export for dispatch-log verification ; eha2sc_150_doc_03:industry_digest:Partner overview of dispatch-log verification ; eha2sc_150_doc_04:partner_newsletter:Secondary account of dispatch-log verification ; eha2sc_150_doc_05:meeting_minutes:Context note on dispatch-log verification,eha2sc_151_doc_01:document:Document A ; eha2sc_151_doc_02:document:Document B ; eha2sc_151_doc_03:document:Document C ; eha2sc_151_doc_04:document:Document D ; eha2sc_151_doc_05:document:Document E,yes,yes,yes,0,not_started,,,,,,,
c_surface_active_verification_dispatch_exception_style_normalization,active_verification,dispatch_exception,style_normalization,original_style,normalized_style,eha2sc_154,eha2sc_155,Should an agent verify whether Novalis Robotics's Q1 2025 dispatch exception was refuted by signed logs?,Should an agent verify whether Novalis Robotics's Q1 2025 dispatch exception was refuted by signed logs?,refuted,conflicting,"Refuted: signed logs contradict the repeated dispatch-exception summary, so the useful next action is to compare the signed log and trace the summary.",2,2,2,2,eha2sc_154_doc_01:audit_report:Novalis Robotics signed ledger for dispatch-log verification ; eha2sc_154_doc_02:database_export:Control export for dispatch-log verification ; eha2sc_154_doc_03:industry_digest:Partner overview of dispatch-log verification ; eha2sc_154_doc_04:partner_newsletter:Secondary account of dispatch-log verification ; eha2sc_154_doc_05:meeting_minutes:Context note on dispatch-log verification,eha2sc_155_doc_01:audit_report:Novalis Robotics signed ledger for dispatch-log verification ; eha2sc_155_doc_02:database_export:Control export for dispatch-log verification ; eha2sc_155_doc_03:industry_digest:Partner overview of dispatch-log verification ; eha2sc_155_doc_04:partner_newsletter:Secondary account of dispatch-log verification ; eha2sc_155_doc_05:meeting_minutes:Context note on dispatch-log verification,yes,yes,yes,0,not_started,,,,,,,
c_surface_active_verification_parts_quarantine_adversarial_spoofing,active_verification,parts_quarantine,adversarial_spoofing,plain_pollutant,regulator_spoof_pollutant,eha2sc_166,eha2sc_167,Should an agent verify whether Novalis Robotics's February 2025 parts quarantine was contradicted by signed intake records?,Should an agent verify whether Novalis Robotics's February 2025 parts quarantine was contradicted by signed intake records?,refuted,conflicting,"Refuted: signed intake records contradict the repeated parts-quarantine summary, so the useful next action is to compare the intake record and trace the summary.",2,2,2,2,eha2sc_166_doc_01:audit_report:Novalis Robotics signed ledger for parts-quarantine verification ; eha2sc_166_doc_02:database_export:Control export for parts-quarantine verification ; eha2sc_166_doc_03:industry_digest:Partner overview of parts-quarantine verification ; eha2sc_166_doc_04:partner_newsletter:Secondary account of parts-quarantine verification ; eha2sc_166_doc_05:meeting_minutes:Context note on parts-quarantine verification,eha2sc_167_doc_01:audit_report:Novalis Robotics signed ledger for parts-quarantine verification ; eha2sc_167_doc_02:database_export:Control export for parts-quarantine verification ; eha2sc_167_doc_03:audit_report:Compliance bulletin ; eha2sc_167_doc_04:regulator_filing:Regulatory-style repost ; eha2sc_167_doc_05:meeting_minutes:Context note on parts-quarantine verification,yes,yes,yes,0,not_started,,,,,,,
c_surface_active_verification_parts_quarantine_content_only,active_verification,parts_quarantine,content_only,full_metadata,content_only_metadata_stripped,eha2sc_168,eha2sc_169,Should an agent verify whether Novalis Robotics's February 2025 parts quarantine was contradicted by signed intake records?,Should an agent verify whether Novalis Robotics's February 2025 parts quarantine was contradicted by signed intake records?,refuted,conflicting,"Refuted: signed intake records contradict the repeated parts-quarantine summary, so the useful next action is to compare the intake record and trace the summary.",2,2,2,2,eha2sc_168_doc_01:audit_report:Novalis Robotics signed ledger for parts-quarantine verification ; eha2sc_168_doc_02:database_export:Control export for parts-quarantine verification ; eha2sc_168_doc_03:industry_digest:Partner overview of parts-quarantine verification ; eha2sc_168_doc_04:partner_newsletter:Secondary account of parts-quarantine verification ; eha2sc_168_doc_05:meeting_minutes:Context note on parts-quarantine verification,eha2sc_169_doc_01:document:Document A ; eha2sc_169_doc_02:document:Document B ; eha2sc_169_doc_03:document:Document C ; eha2sc_169_doc_04:document:Document D ; eha2sc_169_doc_05:document:Document E,yes,yes,yes,0,not_started,,,,,,,
c_surface_active_verification_parts_quarantine_metadata_perturbation,active_verification,parts_quarantine,metadata_perturbation,truthful_metadata,shuffled_authority_metadata,eha2sc_162,eha2sc_163,Should an agent verify whether Novalis Robotics's February 2025 parts quarantine was contradicted by signed intake records?,Should an agent verify whether Novalis Robotics's February 2025 parts quarantine was contradicted by signed intake records?,refuted,conflicting,"Refuted: signed intake records contradict the repeated parts-quarantine summary, so the useful next action is to compare the intake record and trace the summary.",2,2,2,2,eha2sc_162_doc_01:audit_report:Novalis Robotics signed ledger for parts-quarantine verification ; eha2sc_162_doc_02:database_export:Control export for parts-quarantine verification ; eha2sc_162_doc_03:industry_digest:Partner overview of parts-quarantine verification ; eha2sc_162_doc_04:partner_newsletter:Secondary account of parts-quarantine verification ; eha2sc_162_doc_05:meeting_minutes:Context note on parts-quarantine verification,eha2sc_163_doc_01:operations_note:Internal operations note ; eha2sc_163_doc_02:spreadsheet_excerpt:Shipment spreadsheet excerpt ; eha2sc_163_doc_03:regulator_filing:Regulator filing summary ; eha2sc_163_doc_04:audit_report:Audit-style recap ; eha2sc_163_doc_05:meeting_minutes:Context note on parts-quarantine verification,yes,yes,yes,0,not_started,,,,,,,
c_surface_active_verification_parts_quarantine_source_type_visibility,active_verification,parts_quarantine,source_type_visibility,visible_source_types,hidden_source_types,eha2sc_160,eha2sc_161,Should an agent verify whether Novalis Robotics's February 2025 parts quarantine was contradicted by signed intake records?,Should an agent verify whether Novalis Robotics's February 2025 parts quarantine was contradicted by signed intake records?,refuted,conflicting,"Refuted: signed intake records contradict the repeated parts-quarantine summary, so the useful next action is to compare the intake record and trace the summary.",2,2,2,2,eha2sc_160_doc_01:audit_report:Novalis Robotics signed ledger for parts-quarantine verification ; eha2sc_160_doc_02:database_export:Control export for parts-quarantine verification ; eha2sc_160_doc_03:industry_digest:Partner overview of parts-quarantine verification ; eha2sc_160_doc_04:partner_newsletter:Secondary account of parts-quarantine verification ; eha2sc_160_doc_05:meeting_minutes:Context note on parts-quarantine verification,eha2sc_161_doc_01:document:Document A ; eha2sc_161_doc_02:document:Document B ; eha2sc_161_doc_03:document:Document C ; eha2sc_161_doc_04:document:Document D ; eha2sc_161_doc_05:document:Document E,yes,yes,yes,0,not_started,,,,,,,
c_surface_active_verification_parts_quarantine_style_normalization,active_verification,parts_quarantine,style_normalization,original_style,normalized_style,eha2sc_164,eha2sc_165,Should an agent verify whether Novalis Robotics's February 2025 parts quarantine was contradicted by signed intake records?,Should an agent verify whether Novalis Robotics's February 2025 parts quarantine was contradicted by signed intake records?,refuted,conflicting,"Refuted: signed intake records contradict the repeated parts-quarantine summary, so the useful next action is to compare the intake record and trace the summary.",2,2,2,2,eha2sc_164_doc_01:audit_report:Novalis Robotics signed ledger for parts-quarantine verification ; eha2sc_164_doc_02:database_export:Control export for parts-quarantine verification ; eha2sc_164_doc_03:industry_digest:Partner overview of parts-quarantine verification ; eha2sc_164_doc_04:partner_newsletter:Secondary account of parts-quarantine verification ; eha2sc_164_doc_05:meeting_minutes:Context note on parts-quarantine verification,eha2sc_165_doc_01:audit_report:Novalis Robotics signed ledger for parts-quarantine verification ; eha2sc_165_doc_02:database_export:Control export for parts-quarantine verification ; eha2sc_165_doc_03:industry_digest:Partner overview of parts-quarantine verification ; eha2sc_165_doc_04:partner_newsletter:Secondary account of parts-quarantine verification ; eha2sc_165_doc_05:meeting_minutes:Context note on parts-quarantine verification,yes,yes,yes,0,not_started,,,,,,,
