model,budget_setting,prompt_condition,n,operational_epistemic_escape,conditional_epistemic_escape,parse_success,belief_correctness,evidence_cleanliness,uncertainty_discipline,verification_action_score,visible_output_tokens,answer_word_count,evidence_assessment_word_count,max_action_rationale_word_count,overlength_rate,cost_usd
claude-opus-4-7,operational,epistemic_hygiene_instruction,100,0.87,0.87,1.0,0.96,1.0,0.96,0.5833333333333333,420.69,59.68,69.72,20.59,0.0,0.0019867125
claude-opus-4-7,operational,standard_answer,100,0.79,0.79,1.0,0.96,0.89,0.96,0.55,421.33,59.52,71.39,21.26,0.0,0.0019407025
deepseek-v4-pro,operational,epistemic_hygiene_instruction,100,0.82,0.82,1.0,0.96,0.99,0.96,0.5166666666666666,365.04,40.12,62.39,19.29,0.0,0.004529585
deepseek-v4-pro,operational,standard_answer,100,0.73,0.73,1.0,0.96,0.82,0.96,0.45,375.64,44.61,61.58,21.22,0.0,0.004076735000000001
gemini-3.1-pro-preview,operational,epistemic_hygiene_instruction,100,0.79,0.79,1.0,0.96,1.0,0.96,0.4666666666666666,433.83,73.46,62.82,18.21,0.0,0.0037522425
gemini-3.1-pro-preview,operational,standard_answer,100,0.81,0.81,1.0,0.96,1.0,0.96,0.45,427.65,72.99,62.57,17.85,0.0,0.0036402875
gpt-5.4,operational,epistemic_hygiene_instruction,100,0.75,0.75,1.0,0.96,0.72,0.96,0.4,354.58,62.65,63.82,13.32,0.0,0.00117069
gpt-5.4,operational,standard_answer,100,0.74,0.74,1.0,0.96,0.69,0.96,0.45,337.68,56.88,60.98,12.37,0.0,0.00112225
kimi-k2.6,operational,epistemic_hygiene_instruction,100,0.63,0.63,1.0,0.96,0.95,0.96,0.4666666666666666,374.69,53.09,58.98,21.27,0.0,0.00982527
kimi-k2.6,operational,standard_answer,100,0.79,0.79,1.0,0.96,0.93,0.96,0.4333333333333333,381.08,55.16,57.19,23.12,0.0,0.00827408
