model,prompt_condition,family,condition,n,original_parse_success,parse_failure_count,original_epistemic_escape,original_belief_correctness,original_evidence_cleanliness,mean_completion_tokens,mean_reasoning_tokens,mean_prompt_tokens,top_parse_error_category,raw_response_available,repair_attempted,repaired_parse_success,repaired_epistemic_escape,interpretation
openai/gpt-4o-mini,epistemic_hygiene_instruction,active_verification,buried_primary,4,1.0,0,0.0,0.0,0.75,274.5,0.0,1720.5,,0,0,,,No offline repair needed for this slice.
openai/gpt-4o-mini,epistemic_hygiene_instruction,active_verification,clean,4,1.0,0,0.5,1.0,1.0,262.75,0.0,1549.75,,0,0,,,No offline repair needed for this slice.
openai/gpt-4o-mini,epistemic_hygiene_instruction,active_verification,conflicting_evidence,4,1.0,0,1.0,1.0,1.0,248.5,0.0,1537.75,,0,0,,,No offline repair needed for this slice.
openai/gpt-4o-mini,epistemic_hygiene_instruction,active_verification,false_consensus,4,1.0,0,0.75,0.75,1.0,278.5,0.0,1692.0,,0,0,,,No offline repair needed for this slice.
openai/gpt-4o-mini,epistemic_hygiene_instruction,active_verification,generated_lore,4,1.0,0,0.25,1.0,1.0,277.0,0.0,1616.75,,0,0,,,No offline repair needed for this slice.
openai/gpt-4o-mini,epistemic_hygiene_instruction,evidence_selection,buried_primary,8,1.0,0,1.0,0.625,1.0,271.125,0.0,2624.375,,0,0,,,No offline repair needed for this slice.
openai/gpt-4o-mini,epistemic_hygiene_instruction,evidence_selection,clean,8,1.0,0,1.0,0.75,1.0,292.625,0.0,2646.125,,0,0,,,No offline repair needed for this slice.
openai/gpt-4o-mini,epistemic_hygiene_instruction,evidence_selection,conflicting_evidence,8,1.0,0,1.0,1.0,0.875,299.375,0.0,2594.375,,0,0,,,No offline repair needed for this slice.
openai/gpt-4o-mini,epistemic_hygiene_instruction,evidence_selection,false_consensus,8,1.0,0,1.0,1.0,1.0,339.625,0.0,2622.125,,0,0,,,No offline repair needed for this slice.
openai/gpt-4o-mini,epistemic_hygiene_instruction,evidence_selection,generated_lore,8,1.0,0,0.0,1.0,0.875,268.5,0.0,2655.125,,0,0,,,No offline repair needed for this slice.
openai/gpt-4o-mini,epistemic_hygiene_instruction,packet_judgment,buried_primary,8,1.0,0,1.0,1.0,1.0,300.25,0.0,1959.375,,0,0,,,No offline repair needed for this slice.
