scope,value,subvalue,n,repair_attempted_count,original_parse_success,repaired_parse_success,delta_parse_success,original_epistemic_escape,repaired_epistemic_escape,delta_epistemic_escape,original_belief_correctness,repaired_belief_correctness,delta_belief_correctness,original_evidence_cleanliness,repaired_evidence_cleanliness,delta_evidence_cleanliness
all,all,all,200,124,0.38,0.38,0.0,0.395,0.395,0.0,0.54,0.54,0.0,0.965,0.965,0.0
condition,buried_primary,all,40,25,0.375,0.375,0.0,0.375,0.375,0.0,0.375,0.375,0.0,1.0,1.0,0.0
condition,clean,all,40,23,0.425,0.425,0.0,0.425,0.425,0.0,0.425,0.425,0.0,1.0,1.0,0.0
condition,conflicting_evidence,all,40,21,0.475,0.475,0.0,0.4,0.4,0.0,0.475,0.475,0.0,0.9,0.9,0.0
condition,false_consensus,all,40,23,0.425,0.425,0.0,0.375,0.375,0.0,0.425,0.425,0.0,1.0,1.0,0.0
condition,generated_lore,all,40,32,0.2,0.2,0.0,0.4,0.4,0.0,1.0,1.0,0.0,0.925,0.925,0.0
family,active_verification,all,40,27,0.325,0.325,0.0,0.15,0.15,0.0,0.45,0.45,0.0,0.95,0.95,0.0
family,evidence_selection,all,80,50,0.375,0.375,0.0,0.35,0.35,0.0,0.55,0.55,0.0,0.95,0.95,0.0
family,packet_judgment,all,80,47,0.4125,0.4125,0.0,0.5625,0.5625,0.0,0.575,0.575,0.0,0.9875,0.9875,0.0
prompt_condition,epistemic_hygiene_instruction,all,100,66,0.34,0.34,0.0,0.36,0.36,0.0,0.49,0.49,0.0,0.99,0.99,0.0
prompt_condition,standard_answer,all,100,58,0.42,0.42,0.0,0.43,0.43,0.0,0.59,0.59,0.0,0.94,0.94,0.0
prompt_family,epistemic_hygiene_instruction,active_verification,20,14,0.3,0.3,0.0,0.2,0.2,0.0,0.45,0.45,0.0,1.0,1.0,0.0
prompt_family,epistemic_hygiene_instruction,evidence_selection,40,25,0.375,0.375,0.0,0.325,0.325,0.0,0.525,0.525,0.0,0.975,0.975,0.0
prompt_family,epistemic_hygiene_instruction,packet_judgment,40,27,0.325,0.325,0.0,0.475,0.475,0.0,0.475,0.475,0.0,1.0,1.0,0.0
prompt_family,standard_answer,active_verification,20,13,0.35,0.35,0.0,0.1,0.1,0.0,0.45,0.45,0.0,0.9,0.9,0.0
prompt_family,standard_answer,evidence_selection,40,25,0.375,0.375,0.0,0.375,0.375,0.0,0.575,0.575,0.0,0.925,0.925,0.0
prompt_family,standard_answer,packet_judgment,40,20,0.5,0.5,0.0,0.65,0.65,0.0,0.675,0.675,0.0,0.975,0.975,0.0
