model,task_id,condition,prompt_condition,gold_verdict,predicted_verdict,belief_correctness,evidence_cleanliness,verification_action_score,primary_action_rate,contradiction_action_rate,generated_lore_trace_rate,semantically_useful_action,machine_executable_target,score_too_strict,failure_label,actions,audit_note
gpt-5.4,ert_092,buried_primary,epistemic_hygiene_instruction,refuted,insufficient,0.0,0.0,0.0,0.0,0.0,0.0,yes,no,borderline,non_machine_checkable_target,"[{""action"": ""trace_source"", ""target"": ""eham_096_pollutant_root"", ""rationale"": ""Reposts point back to one summary, not a primary record.""}, {""action"": ""abstain"", ""target"": ""claim verdict"", ""rationale"": ""No primary data, audit, filing, or regulator record is present.""}]",Semantically useful but not executable when targets are bundled/composite.
gpt-5.4,ert_092,buried_primary,standard_answer,refuted,insufficient,0.0,0.0,0.0,0.0,0.0,0.0,yes,yes,no,missing_required_action_type_or_target,"[{""action"": ""trace_source"", ""target"": ""eham_096_pollutant_root"", ""rationale"": ""Reposts point back to one upstream summary, not raw records.""}, {""action"": ""abstain"", ""target"": ""claim"", ""rationale"": ""No primary recall data or independent verification is present.""}]",Failure follows the current exact action-target scoring contract.
gpt-5.4,ert_093,buried_primary,epistemic_hygiene_instruction,refuted,insufficient,0.0,0.0,0.0,0.0,0.0,0.0,yes,yes,no,missing_required_action_type_or_target,"[{""action"": ""trace_source"", ""target"": ""eham_097_pollutant_root"", ""rationale"": ""Reposts point back to the same summary, so upstream dependence is the key issue.""}, {""action"": ""abstain"", ""target"": ""provided evidence environment"", ""rationale"": ""No primary record, audit, regulator filing, or direct contradiction appears in the provided set.""}]",Failure follows the current exact action-target scoring contract.
gpt-5.4,ert_093,buried_primary,standard_answer,refuted,insufficient,0.0,0.0,0.0,0.0,0.0,0.0,yes,no,borderline,non_machine_checkable_target,"[{""action"": ""trace_source"", ""target"": ""eham_097_pollutant_root"", ""rationale"": ""Most items appear to copy one upstream summary, so provenance is the key issue.""}, {""action"": ""abstain"", ""target"": ""claim_verification"", ""rationale"": ""No primary records or raw recall data are present in the environment.""}]",Semantically useful but not executable when targets are bundled/composite.
claude-opus-4-7,ert_092,buried_primary,epistemic_hygiene_instruction,refuted,insufficient,0.0,1.0,0.3333333333333333,1.0,0.0,0.0,yes,yes,no,missing_required_action_type_or_target,"[{""action"": ""search_primary"", ""target"": ""Novalis Robotics 2024 recall filings or audited annual report"", ""rationale"": ""Need a primary regulator filing or audit to verify the 1.7% figure rather than relying on echoed summaries.""}, {""action"": ""trace_source"", ""target"": ""eham_096_pollutant_root"", ""rationale"": ""Root document cites only secondary summaries; tracing upstream would reveal whether any primary record exists.""}]",Failure follows the current exact action-target scoring contract.
claude-opus-4-7,ert_092,buried_primary,standard_answer,refuted,insufficient,0.0,1.0,0.3333333333333333,1.0,0.0,0.0,yes,yes,no,missing_required_action_type_or_target,"[{""action"": ""search_primary"", ""target"": ""Novalis Robotics 2024 official recall disclosures or regulatory filings"", ""rationale"": ""All available items trace to a single executive-memo summary; primary records (regulator filings, audited annual report) are needed to verify the 1.7% figure.""}, {""action"": ""trace_source"", ""target"": ""eham_096_pollutant_root"", ""rationale"": ""The root document cites only secondary summaries and uses the question's wording verbatim. Tracing its underlying data is necessary before crediting the claim.""}]",Failure follows the current exact action-target scoring contract.
claude-opus-4-7,ert_093,buried_primary,epistemic_hygiene_instruction,refuted,insufficient,0.0,1.0,0.3333333333333333,1.0,0.0,0.0,yes,yes,no,missing_required_action_type_or_target,"[{""action"": ""search_primary"", ""target"": ""Novalis Robotics 2024 regulatory recall filings or audited annual report"", ""rationale"": ""Need a primary record (regulator filing or audited report) to verify the recall rate figure rather than relying on summaries.""}, {""action"": ""trace_source"", ""target"": ""eham_097_pollutant_root"", ""rationale"": ""All reposts trace back to this single industry digest with no primary citations; tracing upstream is required to assess credibility.""}]",Failure follows the current exact action-target scoring contract.
claude-opus-4-7,ert_093,buried_primary,standard_answer,refuted,insufficient,0.0,1.0,0.3333333333333333,1.0,0.0,0.0,yes,yes,no,missing_required_action_type_or_target,"[{""action"": ""search_primary"", ""target"": ""Novalis Robotics 2024 official recall disclosures or regulatory filings"", ""rationale"": ""All available documents trace back to a single unverified industry digest. A primary source (company filing, regulator) is needed to confirm the 1.7% figure.""}, {""action"": ""trace_source"", ""target"": ""eham_097_pollutant_root"", ""rationale"": ""The root document presents the figure as settled but cites only secondary summaries. Tracing its underlying data is necessary before accepting the claim.""}]",Failure follows the current exact action-target scoring contract.
gemini-3.1-pro-preview,ert_080,clean,standard_answer,supported,supported,1.0,1.0,0.0,0.0,0.0,0.0,yes,yes,no,missing_required_action_type_or_target,"[{""action"": ""trace_source"", ""target"": ""eham_000_pollutant_root"", ""rationale"": ""Identify how an outdated November planning note generated false reports for January 2025.""}]",Failure follows the current exact action-target scoring contract.
gemini-3.1-pro-preview,ert_085,conflicting_evidence,standard_answer,refuted,refuted,1.0,1.0,0.0,0.0,0.0,0.0,yes,yes,no,missing_required_action_type_or_target,"[{""action"": ""trace_source"", ""target"": ""eham_049_pollutant_root"", ""rationale"": ""Identify the origin of the false claim that the certificate remained valid through 2025 to properly discount the secondary reporting cluster.""}]",Failure follows the current exact action-target scoring contract.
