prompt_version,model,strategy,difficulty,n,escape_rate,escape_rate_ci_low,escape_rate_ci_high,claim_accuracy,claim_accuracy_ci_low,claim_accuracy_ci_high,contaminated_citation_rate,contaminated_citation_rate_ci_low,contaminated_citation_rate_ci_high,generated_lore_overclaim_rate,generated_lore_overclaim_rate_ci_low,generated_lore_overclaim_rate_ci_high,has_required_supporting_evidence,clean_supporting_evidence,primary_in_context,primary_cited,primary_ignored
claim_first_citation_v1,openai/gpt-4o-mini,hygienic_combo,L0,12,0.5833333333333334,0.25,0.8333333333333334,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5833333333333334,1.0,1.0,0.5833333333333334,0.4166666666666667
claim_first_citation_v1,openai/gpt-4o-mini,hygienic_combo,L3,12,0.9166666666666666,0.75,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9166666666666666,1.0,1.0,0.9166666666666666,0.08333333333333333
claim_first_citation_v1,openai/gpt-4o-mini,hygienic_combo,L4,12,0.8333333333333334,0.5833333333333334,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8333333333333334,1.0,1.0,0.8333333333333334,0.16666666666666666
claim_first_citation_v1,openai/gpt-4o-mini,hygienic_combo,L5,12,0.8333333333333334,0.5833333333333334,1.0,1.0,1.0,1.0,0.16666666666666666,0.0,0.4166666666666667,0.0,0.0,0.0,1.0,0.8333333333333334,0.0,0.0,0.0
claim_first_citation_v1,openai/gpt-4o-mini,primary_preserve,L0,12,0.8333333333333334,0.5833333333333334,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8333333333333334,1.0,1.0,0.8333333333333334,0.16666666666666666
claim_first_citation_v1,openai/gpt-4o-mini,primary_preserve,L3,12,0.8333333333333334,0.5833333333333334,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8333333333333334,1.0,1.0,0.8333333333333334,0.16666666666666666
claim_first_citation_v1,openai/gpt-4o-mini,primary_preserve,L4,12,0.9166666666666666,0.75,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9166666666666666,1.0,1.0,0.9166666666666666,0.08333333333333333
claim_first_citation_v1,openai/gpt-4o-mini,primary_preserve,L5,12,0.8333333333333334,0.5833333333333334,1.0,1.0,1.0,1.0,0.14583333333333334,0.0,0.3541666666666667,0.0,0.0,0.0,1.0,0.8333333333333334,0.0,0.0,0.0
claim_first_citation_v1_1,openai/gpt-4o-mini,hygienic_combo,L0,12,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0
claim_first_citation_v1_1,openai/gpt-4o-mini,hygienic_combo,L3,12,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0
claim_first_citation_v1_1,openai/gpt-4o-mini,hygienic_combo,L4,12,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0
claim_first_citation_v1_1,openai/gpt-4o-mini,hygienic_combo,L5,12,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
claim_first_citation_v1_1,openai/gpt-4o-mini,primary_preserve,L0,12,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0
claim_first_citation_v1_1,openai/gpt-4o-mini,primary_preserve,L3,12,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0
claim_first_citation_v1_1,openai/gpt-4o-mini,primary_preserve,L4,12,0.9166666666666666,0.75,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9166666666666666,1.0,1.0,0.9166666666666666,0.08333333333333333
claim_first_citation_v1_1,openai/gpt-4o-mini,primary_preserve,L5,12,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
